macro_frame,sim_time,t1_utc,t4_utc,t_step_utc,seq_ok
0,0.000000,1781246594.974548340,1781246595.310029984,1781246595.310045481,1
1,0.020000,1781246595.312009335,1781246595.421435118,1781246595.421455622,1
2,0.040000,1781246595.424148083,1781246595.547015429,1781246595.547033787,1
3,0.060000,1781246595.549425602,1781246595.677763939,1781246595.677785873,1
4,0.080000,1781246595.681217909,1781246595.814817429,1781246595.814831018,1
5,0.100000,1781246595.816792488,1781246595.950291157,1781246595.950311184,1
6,0.120000,1781246595.953562260,1781246596.082075596,1781246596.082096577,1
7,0.140000,1781246596.084132671,1781246596.219429493,1781246596.219447374,1
8,0.160000,1781246596.222026825,1781246596.346496344,1781246596.346514702,1
9,0.180000,1781246596.350168467,1781246596.482374191,1781246596.482394218,1
10,0.200000,1781246596.484742641,1781246596.615613699,1781246596.615632057,1
11,0.220000,1781246596.617789030,1781246596.746643782,1781246596.746661425,1
12,0.240000,1781246596.750160217,1781246596.880525112,1781246596.880543470,1
13,0.260000,1781246596.884068251,1781246597.014043331,1781246597.014054298,1
14,0.280000,1781246597.015981674,1781246597.146207571,1781246597.146226168,1
15,0.300000,1781246597.148564339,1781246597.279467106,1781246597.279485941,1
16,0.320000,1781246597.283048391,1781246597.413659334,1781246597.413677931,1
17,0.340000,1781246597.416246414,1781246597.548038244,1781246597.548056841,1
18,0.360000,1781246597.551598310,1781246597.683880806,1781246597.683894157,1
19,0.380000,1781246597.685804129,1781246597.815603971,1781246597.815624952,1
20,0.400000,1781246597.818159342,1781246597.952520609,1781246597.952538967,1
21,0.420000,1781246597.956072092,1781246598.084386826,1781246598.084406853,1
22,0.440000,1781246598.086612940,1781246598.217020988,1781246598.217038870,1
23,0.460000,1781246598.220521212,1781246598.351515293,1781246598.351533651,1
24,0.480000,1781246598.355037451,1781246598.482326746,1781246598.482344866,1
25,0.500000,1781246598.485911131,1781246598.616286516,1781246598.616305113,1
26,0.520000,1781246598.619948387,1781246598.748468637,1781246598.748488188,1
27,0.540000,1781246598.752016783,1781246598.882059097,1781246598.882078648,1
28,0.560000,1781246598.885109663,1781246599.013989687,1781246599.014008045,1
29,0.580000,1781246599.017703533,1781246599.150099993,1781246599.150118828,1
