macro_frame,sim_time_mjc,sim_time_xpbd,t1_utc,t1w_utc,t2_utc,t3_utc,t_force_utc,t4_utc,t_step_utc,t1_next_utc,dt_t1_t1w,dt_t1w_t2,dt_t2_t3,dt_t3_tforce,dt_tforce_t4,dt_t4_tstep,dt_tstep_t1next,dt_t1_t1next,cycle_order_ok,paired,note
0,0.000000,0.000000,1781246594.974548340,1781246595.230724096,1781246595.231018305,1781246595.307562590,1781246595.307571173,1781246595.310029984,1781246595.310045481,1781246595.312009335,0.256176,0.000294,0.076544,0.000009,0.002459,0.000015,0.001964,0.337461,1,1,
1,0.020000,0.020000,1781246595.312009335,1781246595.313593388,1781246595.314000607,1781246595.419163465,1781246595.419170856,1781246595.421435118,1781246595.421455622,1781246595.424148083,0.001584,0.000407,0.105163,0.000007,0.002264,0.000021,0.002692,0.112139,1,1,
2,0.040000,0.040000,1781246595.424148083,1781246595.430634022,1781246595.431001425,1781246595.545767784,1781246595.545778990,1781246595.547015429,1781246595.547033787,1781246595.549425602,0.006486,0.000367,0.114766,0.000011,0.001236,0.000018,0.002392,0.125278,1,1,
3,0.060000,0.060000,1781246595.549425602,1781246595.562438726,1781246595.562816620,1781246595.676808119,1781246595.676814795,1781246595.677763939,1781246595.677785873,1781246595.681217909,0.013013,0.000378,0.113991,0.000007,0.000949,0.000022,0.003432,0.131792,1,1,
4,0.080000,0.080000,1781246595.681217909,1781246595.696272373,1781246595.696850538,1781246595.812499285,1781246595.812506676,1781246595.814817429,1781246595.814831018,1781246595.816792488,0.015054,0.000578,0.115649,0.000007,0.002311,0.000014,0.001961,0.135575,1,1,
5,0.100000,0.100000,1781246595.816792488,1781246595.830676079,1781246595.831130028,1781246595.948883295,1781246595.948890686,1781246595.950291157,1781246595.950311184,1781246595.953562260,0.013884,0.000454,0.117753,0.000007,0.001400,0.000020,0.003251,0.136770,1,1,
6,0.120000,0.120000,1781246595.953562260,1781246595.964173079,1781246595.964660168,1781246596.080274582,1781246596.080282688,1781246596.082075596,1781246596.082096577,1781246596.084132671,0.010611,0.000487,0.115614,0.000008,0.001793,0.000021,0.002036,0.130570,1,1,
7,0.140000,0.140000,1781246596.084132671,1781246596.097513199,1781246596.098073483,1781246596.218620300,1781246596.218626976,1781246596.219429493,1781246596.219447374,1781246596.222026825,0.013381,0.000560,0.120547,0.000007,0.000803,0.000018,0.002579,0.137894,1,1,
8,0.160000,0.160000,1781246596.222026825,1781246596.229606628,1781246596.230119705,1781246596.344005346,1781246596.344012737,1781246596.346496344,1781246596.346514702,1781246596.350168467,0.007580,0.000513,0.113886,0.000007,0.002484,0.000018,0.003654,0.128142,1,1,
9,0.180000,0.180000,1781246596.350168467,1781246596.364614487,1781246596.365411043,1781246596.481277943,1781246596.481285334,1781246596.482374191,1781246596.482394218,1781246596.484742641,0.014446,0.000797,0.115867,0.000007,0.001089,0.000020,0.002348,0.134574,1,1,
10,0.200000,0.200000,1781246596.484742641,1781246596.498103857,1781246596.498930931,1781246596.614202261,1781246596.614209890,1781246596.615613699,1781246596.615632057,1781246596.617789030,0.013361,0.000827,0.115271,0.000008,0.001404,0.000018,0.002157,0.133046,1,1,
11,0.220000,0.220000,1781246596.617789030,1781246596.631682634,1781246596.632266760,1781246596.745778084,1781246596.745786428,1781246596.746643782,1781246596.746661425,1781246596.750160217,0.013894,0.000584,0.113511,0.000008,0.000857,0.000018,0.003499,0.132371,1,1,
12,0.240000,0.240000,1781246596.750160217,1781246596.764747381,1781246596.765362024,1781246596.879015923,1781246596.879023790,1781246596.880525112,1781246596.880543470,1781246596.884068251,0.014587,0.000615,0.113654,0.000008,0.001501,0.000018,0.003525,0.133908,1,1,
13,0.260000,0.260000,1781246596.884068251,1781246596.896878958,1781246596.897651196,1781246597.012502670,1781246597.012510061,1781246597.014043331,1781246597.014054298,1781246597.015981674,0.012811,0.000772,0.114851,0.000007,0.001533,0.000011,0.001927,0.131913,1,1,
14,0.280000,0.280000,1781246597.015981674,1781246597.031759262,1781246597.032418966,1781246597.145439148,1781246597.145447254,1781246597.146207571,1781246597.146226168,1781246597.148564339,0.015778,0.000660,0.113020,0.000008,0.000760,0.000019,0.002338,0.132583,1,1,
15,0.300000,0.300000,1781246597.148564339,1781246597.163765669,1781246597.164459944,1781246597.278670311,1781246597.278678179,1781246597.279467106,1781246597.279485941,1781246597.283048391,0.015201,0.000694,0.114210,0.000008,0.000789,0.000019,0.003562,0.134484,1,1,
