macro_frame,sim_time,packet,coord_system,object_id,tag,v0,v1,v2,v3,v4,v5,v6,v7
0,0.000000,B,yup,gripper_l_finger1_body_p,pos,-0.460000038,0.689999938,-0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_l_finger1_body_q,pos,0.000000000,0.000000000,-0.000000000,0.073415547,0.441994516,0.146491139,0.881924799,0.000000000
0,0.000000,B,yup,gripper_l_finger1_body_v,vel,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_l_finger1_body_w,vel,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_l_finger2_body_p,pos,-0.460000038,0.690000057,-0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_l_finger2_body_q,pos,0.000000000,0.000000000,-0.000000000,0.881916404,-0.146489501,0.442011327,-0.073418461,0.000000000
0,0.000000,B,yup,gripper_l_finger2_body_v,vel,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_l_finger2_body_w,vel,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_l_palm_body_p,pos,-0.460000038,0.709999919,-0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_l_palm_body_q,pos,0.000000000,0.000000000,-0.000000000,0.364463862,0.260634569,-0.520025249,0.727192860,0.000000000
0,0.000000,B,yup,gripper_l_palm_body_v,vel,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_l_palm_body_w,vel,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_r_finger1_body_p,pos,0.460000038,0.689999998,-0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_r_finger1_body_q,pos,0.000000000,0.000000000,-0.000000000,-0.073421188,-0.442027364,0.146488444,0.881908314,0.000000000
0,0.000000,B,yup,gripper_r_finger1_body_v,vel,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_r_finger1_body_w,vel,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_r_finger2_body_p,pos,0.460000038,0.689999998,-0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_r_finger2_body_q,pos,0.000000000,0.000000000,-0.000000000,0.881916783,-0.146489607,-0.442010527,0.073418514,0.000000000
0,0.000000,B,yup,gripper_r_finger2_body_v,vel,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_r_finger2_body_w,vel,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_r_palm_body_p,pos,0.460000038,0.709999979,-0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_r_palm_body_q,pos,0.000000000,0.000000000,-0.000000000,-0.364463327,-0.260633944,-0.520025429,0.727193223,0.000000000
0,0.000000,B,yup,gripper_r_palm_body_v,vel,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
0,0.000000,B,yup,gripper_r_palm_body_w,vel,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
1,0.020000,B,yup,gripper_l_finger1_body_p,pos,-0.469211102,0.707578897,-0.024309158,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,0.020000,B,yup,gripper_l_finger1_body_q,pos,0.000000000,0.000000000,-0.000000000,0.107552216,0.418804708,0.162468509,0.886926784,0.000000000
1,0.020000,B,yup,gripper_l_finger1_body_v,vel,2.265455484,3.397786379,-1.536043763,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
1,0.020000,B,yup,gripper_l_finger1_body_w,vel,0.000000000,0.000000000,-0.000000000,-3.441774368,5.082500935,3.325972795,0.000000000,0.000000000
1,0.020000,B,yup,gripper_l_finger2_body_p,pos,-0.473010540,0.700265288,-0.020198822,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,0.020000,B,yup,gripper_l_finger2_body_q,pos,0.000000000,0.000000000,-0.000000000,0.886921174,-0.162466810,0.418816657,-0.107554518,0.000000000
1,0.020000,B,yup,gripper_l_finger2_body_v,vel,2.265866995,3.397724152,-1.536255240,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
1,0.020000,B,yup,gripper_l_finger2_body_w,vel,0.000000000,0.000000000,-0.000000000,-3.441867590,5.084074020,3.325328827,0.000000000,0.000000000
1,0.020000,B,yup,gripper_l_palm_body_p,pos,-0.468437672,0.724452615,-0.018804073,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,0.020000,B,yup,gripper_l_palm_body_q,pos,0.000000000,0.000000000,-0.000000000,0.372186277,0.220085742,-0.512270753,0.742036601,0.000000000
1,0.020000,B,yup,gripper_l_palm_body_v,vel,2.265249252,3.397803068,-1.535972834,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
1,0.020000,B,yup,gripper_l_palm_body_w,vel,0.000000000,0.000000000,-0.000000000,-3.441731691,5.081778526,3.326268673,0.000000000,0.000000000
1,0.020000,B,yup,gripper_r_finger1_body_p,pos,0.470585823,0.684406579,-0.019247532,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,0.020000,B,yup,gripper_r_finger1_body_q,pos,0.000000000,0.000000000,-0.000000000,-0.104900502,-0.417594344,0.181594983,0.884100736,0.000000000
1,0.020000,B,yup,gripper_r_finger1_body_v,vel,-1.483490705,3.062271595,-0.650138736,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
1,0.020000,B,yup,gripper_r_finger1_body_w,vel,0.000000000,0.000000000,-0.000000000,-6.628240585,-4.702457905,-0.904008925,0.000000000,0.000000000
1,0.020000,B,yup,gripper_r_finger2_body_p,pos,0.468065262,0.691742241,-0.026685238,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,0.020000,B,yup,gripper_r_finger2_body_q,pos,0.000000000,0.000000000,-0.000000000,0.884117093,-0.181598859,-0.417559778,0.104893522,0.000000000
1,0.020000,B,yup,gripper_r_finger2_body_v,vel,-1.484967470,3.062056303,-0.650741756,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
1,0.020000,B,yup,gripper_r_finger2_body_w,vel,0.000000000,0.000000000,-0.000000000,-6.628435612,-4.707715034,-0.901653111,0.000000000,0.000000000
1,0.020000,B,yup,gripper_r_palm_body_p,pos,0.466494083,0.712665975,-0.020788670,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,0.020000,B,yup,gripper_r_palm_body_q,pos,0.000000000,0.000000000,-0.000000000,-0.369433314,-0.221090496,-0.496754408,0.753573538,0.000000000
1,0.020000,B,yup,gripper_r_palm_body_v,vel,-1.483675480,3.062241793,-0.650220513,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
1,0.020000,B,yup,gripper_r_palm_body_w,vel,0.000000000,0.000000000,-0.000000000,-6.628264904,-4.703115940,-0.903714120,0.000000000,0.000000000
2,0.040000,B,yup,gripper_l_finger1_body_p,pos,-0.494966984,0.761862516,-0.082601547,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2,0.040000,B,yup,gripper_l_finger1_body_q,pos,0.000000000,0.000000000,-0.000000000,0.158437060,0.368246082,0.151460008,0.903522212,0.000000000
2,0.040000,B,yup,gripper_l_finger1_body_v,vel,3.465889692,3.892858505,-4.138344765,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
2,0.040000,B,yup,gripper_l_finger1_body_w,vel,0.000000000,0.000000000,-0.000000000,0.372726291,7.283641338,4.657762051,0.000000000,0.000000000
2,0.040000,B,yup,gripper_l_finger2_body_p,pos,-0.506281853,0.746956944,-0.069496632,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2,0.040000,B,yup,gripper_l_finger2_body_q,pos,0.000000000,0.000000000,-0.000000000,0.903504379,-0.151452080,0.368289889,-0.158444509,0.000000000
2,0.040000,B,yup,gripper_l_finger2_body_v,vel,3.465133667,3.892789841,-4.138165474,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
2,0.040000,B,yup,gripper_l_finger2_body_w,vel,0.000000000,0.000000000,-0.000000000,0.373199582,7.281193256,4.658819675,0.000000000,0.000000000
2,0.040000,B,yup,gripper_l_palm_body_p,pos,-0.490566730,0.770223022,-0.062679291,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2,0.040000,B,yup,gripper_l_palm_body_q,pos,0.000000000,0.000000000,-0.000000000,0.372438696,0.148369773,-0.531784888,0.745976314,0.000000000
2,0.040000,B,yup,gripper_l_palm_body_v,vel,3.464495897,3.892752409,-4.137966633,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
2,0.040000,B,yup,gripper_l_palm_body_w,vel,0.000000000,0.000000000,-0.000000000,0.373608589,7.279077530,4.659733295,0.000000000,0.000000000
2,0.040000,B,yup,gripper_r_finger1_body_p,pos,0.500055313,0.690714657,-0.069375515,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2,0.040000,B,yup,gripper_r_finger1_body_q,pos,0.000000000,0.000000000,-0.000000000,-0.141304955,-0.358640553,0.219901488,0.896132356,0.000000000
2,0.040000,B,yup,gripper_r_finger1_body_v,vel,-2.030915499,3.170588493,-2.965190887,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
2,0.040000,B,yup,gripper_r_finger1_body_w,vel,0.000000000,0.000000000,-0.000000000,-4.175465584,-7.213416576,-0.239651918,0.000000000,0.000000000
2,0.040000,B,yup,gripper_r_finger2_body_p,pos,0.491158485,0.704684675,-0.090570450,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2,0.040000,B,yup,gripper_r_finger2_body_q,pos,0.000000000,0.000000000,-0.000000000,0.896155678,-0.219910415,-0.358582381,0.141290785,0.000000000
2,0.040000,B,yup,gripper_r_finger2_body_v,vel,-2.030857563,3.170585871,-2.965184212,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
2,0.040000,B,yup,gripper_r_finger2_body_w,vel,0.000000000,0.000000000,-0.000000000,-4.175436974,-7.213161469,-0.239798158,0.000000000,0.000000000
2,0.040000,B,yup,gripper_r_palm_body_p,pos,0.484565258,0.729093254,-0.070824146,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2,0.040000,B,yup,gripper_r_palm_body_q,pos,0.000000000,0.000000000,-0.000000000,-0.353491304,-0.153665139,-0.478172120,0.789165602,0.000000000
2,0.040000,B,yup,gripper_r_palm_body_v,vel,-2.030532360,3.170644283,-2.965019941,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000
2,0.040000,B,yup,gripper_r_palm_body_w,vel,0.000000000,0.000000000,-0.000000000,-4.175311089,-7.212022781,-0.240451828,0.000000000,0.000000000
