macro_frame,sim_time,gripper_state,grip_count,cloth_max_speed_mps,cloth_mean_speed_mps,cloth_com_x,cloth_com_y,cloth_com_z
68,1.360000,Open,0,0.000364,0.000090,0.00006722,0.30799887,0.00002959
69,1.380000,Open,0,0.000374,0.000093,0.00006747,0.30799887,0.00002813
70,1.400000,Open,0,0.000486,0.000104,0.00006768,0.30799887,0.00002652
71,1.420000,Open,0,0.000405,0.000111,0.00006778,0.30799887,0.00002467
72,1.440000,Open,0,0.000379,0.000103,0.00006784,0.30799887,0.00002273
73,1.460000,Open,0,0.000354,0.000094,0.00006794,0.30799887,0.00002117
74,1.480000,Open,0,0.000320,0.000089,0.00006803,0.30799887,0.00001975
75,1.500000,Open,0,0.000324,0.000088,0.00006804,0.30799887,0.00001846
76,1.520000,Open,0,0.000331,0.000088,0.00006802,0.30799887,0.00001713
77,1.540000,Open,0,0.000285,0.000097,0.00006784,0.30799887,0.00001551
78,1.560000,Open,0,0.000341,0.000107,0.00006761,0.30799887,0.00001375
79,1.580000,Open,0,0.000313,0.000110,0.00006730,0.30799887,0.00001189
80,1.600000,Open,0,0.000197,0.000099,0.00006697,0.30799887,0.00001020
81,1.620000,Open,0,0.000261,0.000100,0.00006673,0.30799887,0.00000862
82,1.640000,Open,0,0.000238,0.000096,0.00006651,0.30799887,0.00000723
83,1.660000,Open,0,0.000211,0.000093,0.00006635,0.30799887,0.00000584
84,1.680000,Open,0,0.000192,0.000099,0.00006622,0.30799887,0.00000438
85,1.700000,Open,0,0.000238,0.000111,0.00006611,0.30799887,0.00000289
86,1.720000,Open,0,0.000278,0.000113,0.00006592,0.30799887,0.00000129
87,1.740000,Open,0,0.000258,0.000102,0.00006564,0.30799887,-0.00000023
88,1.760000,Open,0,0.000278,0.000091,0.00006531,0.30799887,-0.00000141
89,1.780000,Open,0,0.000363,0.000092,0.00006498,0.30799887,-0.00000265
90,1.800000,Open,0,0.000302,0.000096,0.00006459,0.30799887,-0.00000395
91,1.820000,Open,0,0.000248,0.000094,0.00006408,0.30799887,-0.00000539
92,1.840000,Open,0,0.000302,0.000098,0.00006346,0.30799887,-0.00000693
93,1.860000,Open,0,0.000304,0.000098,0.00006271,0.30799887,-0.00000864
94,1.880000,Open,0,0.000341,0.000100,0.00006188,0.30799887,-0.00001014
95,1.900000,Open,0,0.000349,0.000107,0.00006095,0.30799887,-0.00001169
96,1.920000,Open,0,0.000364,0.000105,0.00005999,0.30799887,-0.00001323
97,1.940000,Open,0,0.000395,0.000097,0.00005919,0.30799887,-0.00001451
98,1.960000,Open,0,0.000324,0.000088,0.00005854,0.30799887,-0.00001576
99,1.980000,Open,0,0.000333,0.000081,0.00005811,0.30799887,-0.00001693
100,2.000000,Open,0,0.000324,0.000078,0.00005793,0.30799887,-0.00001813
101,2.020000,Open,0,0.000416,0.000079,0.00005793,0.30799887,-0.00001932
102,2.040000,Open,0,0.000288,0.000081,0.00005797,0.30799887,-0.00002047
103,2.060000,Open,0,0.000307,0.000072,0.00005789,0.30799887,-0.00002147
104,2.080000,Open,0,0.000222,0.000076,0.00005758,0.30799887,-0.00002221
105,2.100000,Open,0,0.000238,0.000089,0.00005697,0.30799887,-0.00002281
106,2.120000,Open,0,0.000246,0.000096,0.00005615,0.30799887,-0.00002342
107,2.140000,Open,0,0.000288,0.000098,0.00005517,0.30799887,-0.00002416
108,2.160000,Open,0,0.000252,0.000090,0.00005416,0.30799887,-0.00002482
109,2.180000,Open,0,0.000263,0.000077,0.00005336,0.30799887,-0.00002543
110,2.200000,Open,0,0.000296,0.000078,0.00005275,0.30799887,-0.00002626
111,2.220000,Open,0,0.000321,0.000078,0.00005225,0.30799887,-0.00002720
112,2.240000,Open,0,0.000191,0.000083,0.00005170,0.30799887,-0.00002832
113,2.260000,Open,0,0.000246,0.000078,0.00005113,0.30799887,-0.00002946
114,2.280000,Open,0,0.000235,0.000066,0.00005065,0.30799887,-0.00003045
115,2.300000,Open,0,0.000278,0.000069,0.00005030,0.30799887,-0.00003140
116,2.320000,Open,0,0.000312,0.000070,0.00004993,0.30799887,-0.00003230
117,2.340000,Open,0,0.000331,0.000070,0.00004957,0.30799887,-0.00003325
118,2.360000,Open,0,0.000344,0.000071,0.00004929,0.30799887,-0.00003413
119,2.380000,Open,0,0.000344,0.000066,0.00004906,0.30799887,-0.00003491
120,2.400000,Open,0,0.000324,0.000067,0.00004887,0.30799887,-0.00003576
121,2.420000,Open,0,0.000426,0.000074,0.00004877,0.30799887,-0.00003682
122,2.440000,Open,0,0.000320,0.000068,0.00004879,0.30799887,-0.00003782
123,2.460000,Open,0,0.000278,0.000064,0.00004890,0.30799887,-0.00003867
124,2.480000,Open,0,0.000226,0.000069,0.00004907,0.30799887,-0.00003932
125,2.500000,Open,0,0.000275,0.000072,0.00004918,0.30799887,-0.00003995
126,2.520000,Open,0,0.000370,0.000084,0.00004932,0.30799887,-0.00004055
127,2.540000,Open,0,0.000324,0.000092,0.00004962,0.30799887,-0.00004110
128,2.560000,Open,0,0.000274,0.000091,0.00004997,0.30799887,-0.00004162
129,2.580000,Open,0,0.000305,0.000091,0.00005045,0.30799887,-0.00004202
130,2.600000,Open,0,0.000253,0.000091,0.00005104,0.30799887,-0.00004258
131,2.620000,Open,0,0.000309,0.000080,0.00005165,0.30799887,-0.00004284
132,2.640000,Open,0,0.000302,0.000072,0.00005229,0.30799887,-0.00004316
133,2.660000,Open,0,0.000287,0.000064,0.00005276,0.30799887,-0.00004369
134,2.680000,Open,0,0.000241,0.000071,0.00005302,0.30799887,-0.00004433
135,2.700000,Open,0,0.000208,0.000071,0.00005317,0.30799887,-0.00004490
136,2.720000,Open,0,0.000224,0.000071,0.00005316,0.30799887,-0.00004528
137,2.740000,Open,0,0.000235,0.000066,0.00005310,0.30799887,-0.00004573
138,2.760000,Open,0,0.000264,0.000075,0.00005307,0.30799887,-0.00004589
139,2.780000,Open,0,0.000331,0.000073,0.00005290,0.30799887,-0.00004631
140,2.800000,Open,0,0.000288,0.000069,0.00005269,0.30799887,-0.00004664
141,2.820000,Open,0,0.000267,0.000065,0.00005250,0.30799887,-0.00004700
142,2.840000,Open,0,0.000270,0.000071,0.00005229,0.30799887,-0.00004743
143,2.860000,Open,0,0.000302,0.000076,0.00005210,0.30799887,-0.00004786
144,2.880000,Open,0,0.000302,0.000083,0.00005190,0.30799887,-0.00004829
145,2.900000,Open,0,0.000249,0.000079,0.00005170,0.30799887,-0.00004863
146,2.920000,Open,0,0.000278,0.000071,0.00005156,0.30799887,-0.00004895
147,2.940000,Open,0,0.000262,0.000062,0.00005150,0.30799887,-0.00004919
148,2.960000,Open,0,0.000240,0.000069,0.00005160,0.30799887,-0.00004956
149,2.980000,Open,0,0.000324,0.000075,0.00005190,0.30799887,-0.00004987
150,3.000000,Open,0,0.000253,0.000076,0.00005211,0.30799887,-0.00005029
151,3.020000,Open,0,0.000279,0.000087,0.00005218,0.30799887,-0.00005077
152,3.040000,Open,0,0.000270,0.000095,0.00005214,0.30799887,-0.00005167
153,3.060000,Open,0,0.000278,0.000092,0.00005198,0.30799887,-0.00005201
154,3.080000,Open,0,0.000339,0.000084,0.00005188,0.30799887,-0.00005226
155,3.100000,Open,0,0.000352,0.000078,0.00005180,0.30799887,-0.00005305
156,3.120000,Open,0,0.000374,0.000074,0.00005167,0.30799887,-0.00005322
157,3.140000,Open,0,0.000390,0.000081,0.00005163,0.30799887,-0.00005330
158,3.160000,Open,0,0.000302,0.000090,0.00005170,0.30799887,-0.00005377
159,3.180000,Open,0,0.000334,0.000098,0.00005179,0.30799887,-0.00005445
160,3.200000,Open,0,0.000296,0.000092,0.00005195,0.30799887,-0.00005526
161,3.220000,Open,0,0.000341,0.000092,0.00005202,0.30799887,-0.00005606
162,3.240000,Open,0,0.000203,0.000083,0.00005190,0.30799887,-0.00005679
163,3.260000,Open,0,0.000225,0.000076,0.00005158,0.30799887,-0.00005735
164,3.280000,Open,0,0.000220,0.000072,0.00005107,0.30799887,-0.00005808
165,3.300000,Open,0,0.000215,0.000073,0.00005050,0.30799887,-0.00005864
166,3.320000,Open,0,0.000238,0.000076,0.00004986,0.30799887,-0.00005950
167,3.340000,Open,0,0.000258,0.000082,0.00004909,0.30799887,-0.00006023
168,3.360000,Open,0,0.000215,0.000076,0.00004830,0.30799887,-0.00006091
169,3.380000,Open,0,0.000220,0.000073,0.00004749,0.30799887,-0.00006152
170,3.400000,Open,0,0.000267,0.000067,0.00004673,0.30799887,-0.00006202
171,3.420000,Open,0,0.000229,0.000068,0.00004599,0.30799887,-0.00006225
172,3.440000,Open,0,0.000315,0.000063,0.00004528,0.30799887,-0.00006254
173,3.460000,Open,0,0.000270,0.000072,0.00004455,0.30799887,-0.00006292
174,3.480000,Open,0,0.000299,0.000080,0.00004377,0.30799887,-0.00006340
175,3.500000,Open,0,0.000320,0.000089,0.00004296,0.30799887,-0.00006403
176,3.520000,Open,0,0.000278,0.000085,0.00004214,0.30799887,-0.00006467
177,3.540000,Open,0,0.000278,0.000084,0.00004138,0.30799887,-0.00006525
178,3.560000,Open,0,0.000250,0.000079,0.00004062,0.30799887,-0.00006594
179,3.580000,Open,0,0.000243,0.000078,0.00003993,0.30799887,-0.00006651
180,3.600000,Open,0,0.000258,0.000072,0.00003928,0.30799887,-0.00006699
181,3.620000,Open,0,0.000299,0.000074,0.00003882,0.30799887,-0.00006744
182,3.640000,Open,0,0.000374,0.000090,0.00003835,0.30799887,-0.00006816
183,3.660000,Open,0,0.000253,0.000093,0.00003786,0.30799887,-0.00006906
184,3.680000,Open,0,0.000257,0.000097,0.00003743,0.30799887,-0.00006995
185,3.700000,Open,0,0.000235,0.000091,0.00003702,0.30799887,-0.00007065
186,3.720000,Open,0,0.000215,0.000084,0.00003668,0.30799887,-0.00007130
187,3.740000,Open,0,0.000231,0.000090,0.00003639,0.30799887,-0.00007201
188,3.760000,Open,0,0.000204,0.000095,0.00003609,0.30799887,-0.00007310
189,3.780000,Open,0,0.000215,0.000096,0.00003568,0.30799887,-0.00007420
190,3.800000,Open,0,0.000257,0.000103,0.00003506,0.30799887,-0.00007526
191,3.820000,Open,0,0.000258,0.000107,0.00003430,0.30799887,-0.00007614
192,3.840000,Open,0,0.000258,0.000108,0.00003351,0.30799887,-0.00007723
193,3.860000,Open,0,0.000223,0.000105,0.00003283,0.30799887,-0.00007826
194,3.880000,Open,0,0.000255,0.000104,0.00003217,0.30799887,-0.00007908
195,3.900000,Open,0,0.000262,0.000110,0.00003140,0.30799887,-0.00007994
196,3.920000,Open,0,0.000279,0.000119,0.00003061,0.30799887,-0.00008048
197,3.940000,Open,0,0.000324,0.000126,0.00002967,0.30799887,-0.00008129
198,3.960000,Open,0,0.000352,0.000130,0.00002851,0.30799887,-0.00008199
