macro_frame,sim_time,body_index,logical_name,mjc_body_name,vertex_id,px,py,pz,vx,vy,vz
0,0.000000,6,gripper_r_finger2,gripper_r_finger2,5,0.461583,0.673920,0.014796,0.000000,0.000000,-0.000000
0,0.000000,6,gripper_r_finger2,gripper_r_finger2,6,0.467992,0.710224,-0.002666,0.000000,0.000000,0.000000
0,0.000000,6,gripper_r_finger2,gripper_r_finger2,7,0.461583,0.711772,0.001865,0.000000,0.000000,0.000000
1,0.020000,0,base,base,0,-1.200000,0.000000,-0.600000,0.000000,0.000000,0.000000
1,0.020000,0,base,base,1,-1.200000,0.000000,0.600000,0.000000,0.000000,0.000000
1,0.020000,0,base,base,2,-1.200000,0.300000,-0.600000,0.000000,0.000000,0.000000
1,0.020000,0,base,base,3,-1.200000,0.300000,0.600000,0.000000,0.000000,0.000000
1,0.020000,0,base,base,4,1.200000,0.000000,-0.600000,0.000000,0.000000,0.000000
1,0.020000,0,base,base,5,1.200000,0.000000,0.600000,0.000000,0.000000,0.000000
1,0.020000,0,base,base,6,1.200000,0.300000,-0.600000,0.000000,0.000000,0.000000
1,0.020000,0,base,base,7,1.200000,0.300000,0.600000,0.000000,0.000000,0.000000
1,0.020000,1,gripper_l_palm,gripper_l_palm,0,-0.433005,0.737090,-0.035680,2.137455,3.457582,-1.759532
1,0.020000,1,gripper_l_palm,gripper_l_palm,1,-0.435192,0.700127,-0.020548,2.337297,3.502382,-1.621197
1,0.020000,1,gripper_l_palm,gripper_l_palm,2,-0.464118,0.729166,-0.059536,2.042579,3.271981,-1.574146
1,0.020000,1,gripper_l_palm,gripper_l_palm,3,-0.466306,0.692203,-0.044405,2.242421,3.316781,-1.435811
1,0.020000,1,gripper_l_palm,gripper_l_palm,4,-0.470569,0.756702,0.006797,2.288077,3.478825,-1.636135
1,0.020000,1,gripper_l_palm,gripper_l_palm,5,-0.472757,0.719739,0.021928,2.487920,3.523625,-1.497800
1,0.020000,1,gripper_l_palm,gripper_l_palm,6,-0.501683,0.748778,-0.017060,2.193201,3.293224,-1.450749
1,0.020000,1,gripper_l_palm,gripper_l_palm,7,-0.503871,0.711815,-0.001929,2.393043,3.338024,-1.312414
1,0.020000,2,gripper_l_finger1,gripper_l_finger1,0,-0.466220,0.722653,-0.039924,2.135957,3.353992,-1.603128
1,0.020000,2,gripper_l_finger1,gripper_l_finger1,1,-0.459997,0.724238,-0.035153,2.154936,3.391110,-1.640210
1,0.020000,2,gripper_l_finger1,gripper_l_finger1,2,-0.468408,0.685690,-0.024793,2.335799,3.398793,-1.464790
1,0.020000,2,gripper_l_finger1,gripper_l_finger1,3,-0.462185,0.687275,-0.020021,2.354778,3.435912,-1.501872
1,0.020000,2,gripper_l_finger1,gripper_l_finger1,4,-0.476237,0.727883,-0.028597,2.176133,3.359661,-1.570216
1,0.020000,2,gripper_l_finger1,gripper_l_finger1,5,-0.470014,0.729468,-0.023826,2.195112,3.396779,-1.607298
1,0.020000,2,gripper_l_finger1,gripper_l_finger1,6,-0.478425,0.690920,-0.013466,2.375975,3.404462,-1.431878
1,0.020000,2,gripper_l_finger1,gripper_l_finger1,7,-0.472202,0.692505,-0.008694,2.394954,3.441581,-1.468960
1,0.020000,3,gripper_l_finger2,gripper_l_finger2,0,-0.482224,0.683606,-0.009355,2.376394,3.404408,-1.432074
1,0.020000,3,gripper_l_finger2,gripper_l_finger2,1,-0.476001,0.685191,-0.004584,2.395381,3.441523,-1.469166
