macro_frame,sim_time,body_index,logical_name,com_before_x,com_before_y,com_before_z,com_after_x,com_after_y,com_after_z,target_x,target_y,target_z,com_jump_m,com_to_target_before_m,max_vtx_jump_m,max_vtx_id
0,0.000000,1,gripper_l_palm,-0.460000,0.710000,0.000000,-0.460000,0.710000,-0.000000,-0.460000,0.710000,-0.000000,0.000000,0.000000,0.000000,0
0,0.000000,2,gripper_l_finger1,-0.460000,0.690000,0.000000,-0.460000,0.690000,-0.000000,-0.460000,0.690000,-0.000000,0.000000,0.000000,0.000000,0
0,0.000000,3,gripper_l_finger2,-0.460000,0.690000,0.000000,-0.460000,0.690000,-0.000000,-0.460000,0.690000,-0.000000,0.000000,0.000000,0.000000,0
0,0.000000,4,gripper_r_palm,0.460000,0.710000,0.000000,0.460000,0.710000,-0.000000,0.460000,0.710000,-0.000000,0.000000,0.000000,0.000000,0
0,0.000000,5,gripper_r_finger1,0.460000,0.690000,0.000000,0.460000,0.690000,-0.000000,0.460000,0.690000,-0.000000,0.000000,0.000000,0.000000,0
0,0.000000,6,gripper_r_finger2,0.460000,0.690000,0.000000,0.460000,0.690000,-0.000000,0.460000,0.690000,-0.000000,0.000000,0.000000,0.000000,0
1,0.020000,1,gripper_l_palm,-0.439516,0.743272,-0.016193,-0.468438,0.724453,-0.018804,-0.468438,0.724453,-0.018804,0.034604,0.034604,0.036045,5
1,0.020000,2,gripper_l_finger1,-0.439587,0.723565,-0.016711,-0.469211,0.707579,-0.024309,-0.469211,0.707579,-0.024309,0.034509,0.034509,0.035396,7
1,0.020000,3,gripper_l_finger2,-0.439929,0.722878,-0.016327,-0.473011,0.700265,-0.020199,-0.473011,0.700265,-0.020199,0.040258,0.040258,0.041087,1
1,0.020000,4,gripper_r_palm,0.446674,0.739013,-0.008060,0.466494,0.712666,-0.020789,0.466494,0.712666,-0.020789,0.035341,0.035341,0.036269,1
1,0.020000,5,gripper_r_finger1,0.447061,0.718252,-0.007914,0.470586,0.684407,-0.019248,0.470586,0.684407,-0.019248,0.042748,0.042748,0.043161,3
1,0.020000,6,gripper_r_finger2,0.446810,0.718924,-0.008619,0.468065,0.691742,-0.026685,0.468065,0.691742,-0.026685,0.038949,0.038949,0.039377,5
2,0.040000,1,gripper_l_palm,-0.415772,0.795167,-0.075286,-0.490567,0.770223,-0.062679,-0.490567,0.770223,-0.062679,0.079846,0.079846,0.083049,5
