macro_frame,sim_time,t1w_utc,t2_utc,t3_utc,t_force_utc,seq_ok
0,0.000000,1781608397.538052559,1781608397.538155556,1781608397.585507393,1781608397.585515261,1
0,0.020000,1781608397.651899576,1781608397.651899576,1781608397.651899576,1781608397.651899576,1
0,0.040000,1781608397.721798182,1781608397.721798182,1781608397.721798182,1781608397.721798182,1
0,0.060000,1781608397.789458752,1781608397.789458752,1781608397.789458752,1781608397.789458752,1
0,0.080000,1781608397.861504316,1781608397.861504316,1781608397.861504316,1781608397.861504316,1
0,0.100000,1781608397.918341637,1781608397.918341637,1781608397.918341637,1781608397.918341637,1
0,0.120000,1781608397.984272480,1781608397.984272480,1781608397.984272480,1781608397.984272480,1
0,0.140000,1781608398.053735971,1781608398.053735971,1781608398.053735971,1781608398.053735971,1
0,0.160000,1781608398.117233038,1781608398.117233038,1781608398.117233038,1781608398.117233038,1
0,0.180000,1781608398.185661077,1781608398.185661077,1781608398.185661077,1781608398.185661077,1
0,0.200000,1781608398.251232147,1781608398.251232147,1781608398.251232147,1781608398.251232147,1
0,0.220000,1781608398.319150686,1781608398.319150686,1781608398.319150686,1781608398.319150686,1
0,0.240000,1781608398.385896683,1781608398.385896683,1781608398.385896683,1781608398.385896683,1
0,0.260000,1781608398.454324245,1781608398.454324245,1781608398.454324245,1781608398.454324245,1
0,0.280000,1781608398.521409273,1781608398.521409273,1781608398.521409273,1781608398.521409273,1
0,0.300000,1781608398.588012218,1781608398.588012218,1781608398.588012218,1781608398.588012218,1
0,0.320000,1781608398.655684948,1781608398.655684948,1781608398.655684948,1781608398.655684948,1
0,0.340000,1781608398.723445177,1781608398.723445177,1781608398.723445177,1781608398.723445177,1
0,0.360000,1781608398.798364878,1781608398.798364878,1781608398.798364878,1781608398.798364878,1
0,0.380000,1781608398.879226923,1781608398.879226923,1781608398.879226923,1781608398.879226923,1
0,0.400000,1781608398.941145658,1781608398.941145658,1781608398.941145658,1781608398.941145658,1
0,0.420000,1781608399.006725550,1781608399.006725550,1781608399.006725550,1781608399.006725550,1
0,0.440000,1781608399.072913885,1781608399.072913885,1781608399.072913885,1781608399.072913885,1
0,0.460000,1781608399.138595104,1781608399.138595104,1781608399.138595104,1781608399.138595104,1
0,0.480000,1781608399.206695795,1781608399.206695795,1781608399.206695795,1781608399.206695795,1
0,0.500000,1781608399.277191639,1781608399.277191639,1781608399.277191639,1781608399.277191639,1
0,0.520000,1781608399.336504221,1781608399.336504221,1781608399.336504221,1781608399.336504221,1
0,0.540000,1781608399.402275801,1781608399.402275801,1781608399.402275801,1781608399.402275801,1
0,0.560000,1781608399.476665497,1781608399.476665497,1781608399.476665497,1781608399.476665497,1
0,0.580000,1781608399.534150124,1781608399.534150124,1781608399.534150124,1781608399.534150124,1
0,0.600000,1781608399.601448536,1781608399.601448536,1781608399.601448536,1781608399.601448536,1
0,0.620000,1781608399.664244175,1781608399.664244175,1781608399.664244175,1781608399.664244175,1
0,0.640000,1781608399.730988264,1781608399.730988264,1781608399.730988264,1781608399.730988264,1
0,0.660000,1781608399.800288677,1781608399.800288677,1781608399.800288677,1781608399.800288677,1
0,0.680000,1781608399.867247343,1781608399.867247343,1781608399.867247343,1781608399.867247343,1
0,0.700000,1781608399.938722610,1781608399.938722610,1781608399.938722610,1781608399.938722610,1
0,0.720000,1781608400.009018183,1781608400.009018183,1781608400.009018183,1781608400.009018183,1
0,0.740000,1781608400.076855898,1781608400.076855898,1781608400.076855898,1781608400.076855898,1
0,0.760000,1781608400.138401031,1781608400.138401031,1781608400.138401031,1781608400.138401031,1
0,0.780000,1781608400.207509756,1781608400.207509756,1781608400.207509756,1781608400.207509756,1
0,0.800000,1781608400.271126032,1781608400.271126032,1781608400.271126032,1781608400.271126032,1
0,0.820000,1781608400.338756800,1781608400.338756800,1781608400.338756800,1781608400.338756800,1
0,0.840000,1781608400.405037403,1781608400.405037403,1781608400.405037403,1781608400.405037403,1
0,0.860000,1781608400.472897768,1781608400.472897768,1781608400.472897768,1781608400.472897768,1
0,0.880000,1781608400.541491032,1781608400.541491032,1781608400.541491032,1781608400.541491032,1
0,0.900000,1781608400.606645584,1781608400.606645584,1781608400.606645584,1781608400.606645584,1
0,0.920000,1781608400.674710512,1781608400.674710512,1781608400.674710512,1781608400.674710512,1
0,0.940000,1781608400.742202044,1781608400.742202044,1781608400.742202044,1781608400.742202044,1
0,0.960000,1781608400.807125807,1781608400.807125807,1781608400.807125807,1781608400.807125807,1
0,0.980000,1781608400.873674154,1781608400.873674154,1781608400.873674154,1781608400.873674154,1
0,1.000000,1781608400.939555168,1781608400.939555168,1781608400.939555168,1781608400.939555168,1
0,1.020000,1781608401.006201744,1781608401.006201744,1781608401.006201744,1781608401.006201744,1
0,1.040000,1781608401.072855473,1781608401.072855473,1781608401.072855473,1781608401.072855473,1
0,1.060000,1781608401.142932177,1781608401.142932177,1781608401.142932177,1781608401.142932177,1
0,1.080000,1781608401.205590725,1781608401.205590725,1781608401.205590725,1781608401.205590725,1
0,1.100000,1781608401.272774458,1781608401.272774458,1781608401.272774458,1781608401.272774458,1
0,1.120000,1781608401.408410549,1781608401.408410549,1781608401.408410549,1781608401.408410549,1
0,1.140000,1781608401.472679138,1781608401.472679138,1781608401.472679138,1781608401.472679138,1
0,1.160000,1781608401.539359331,1781608401.539359331,1781608401.539359331,1781608401.539359331,1
0,1.180000,1781608401.606461287,1781608401.606461287,1781608401.606461287,1781608401.606461287,1
0,1.200000,1781608401.673251390,1781608401.673251390,1781608401.673251390,1781608401.673251390,1
0,1.220000,1781608401.740391970,1781608401.740391970,1781608401.740391970,1781608401.740391970,1
0,1.240000,1781608401.807765245,1781608401.807765245,1781608401.807765245,1781608401.807765245,1
0,1.260000,1781608401.877379656,1781608401.877379656,1781608401.877379656,1781608401.877379656,1
0,1.280000,1781608401.941450357,1781608401.941450357,1781608401.941450357,1781608401.941450357,1
0,1.300000,1781608402.011091471,1781608402.011091471,1781608402.011091471,1781608402.011091471,1
0,1.320000,1781608402.077361584,1781608402.077361584,1781608402.077361584,1781608402.077361584,1
0,1.340000,1781608402.143865108,1781608402.143865108,1781608402.143865108,1781608402.143865108,1
0,1.360000,1781608402.209170341,1781608402.209170341,1781608402.209170341,1781608402.209170341,1
0,1.380000,1781608402.277016878,1781608402.277016878,1781608402.277016878,1781608402.277016878,1
0,1.400000,1781608402.341783047,1781608402.341783047,1781608402.341783047,1781608402.341783047,1
0,1.420000,1781608402.409232140,1781608402.409232140,1781608402.409232140,1781608402.409232140,1
