macro_frame,sim_time,t1w_utc,t2_utc,t3_utc,t_force_utc,seq_ok
0,0.000000,1781607875.258475542,1781607875.258551836,1781607875.303217173,1781607875.303225040,1
0,0.020000,1781607875.371570587,1781607875.371570587,1781607875.371570587,1781607875.371570587,1
0,0.040000,1781607875.442094326,1781607875.442094326,1781607875.442094326,1781607875.442094326,1
0,0.060000,1781607875.506221294,1781607875.506221294,1781607875.506221294,1781607875.506221294,1
0,0.080000,1781607875.574905872,1781607875.574905872,1781607875.574905872,1781607875.574905872,1
0,0.100000,1781607875.643261194,1781607875.643261194,1781607875.643261194,1781607875.643261194,1
0,0.120000,1781607875.704380274,1781607875.704380274,1781607875.704380274,1781607875.704380274,1
0,0.140000,1781607875.770236492,1781607875.770236492,1781607875.770236492,1781607875.770236492,1
0,0.160000,1781607875.837009430,1781607875.837009430,1781607875.837009430,1781607875.837009430,1
0,0.180000,1781607875.903914690,1781607875.903914690,1781607875.903914690,1781607875.903914690,1
0,0.200000,1781607875.971253157,1781607875.971253157,1781607875.971253157,1781607875.971253157,1
0,0.220000,1781607876.048162460,1781607876.048162460,1781607876.048162460,1781607876.048162460,1
0,0.240000,1781607876.108322144,1781607876.108322144,1781607876.108322144,1781607876.108322144,1
0,0.260000,1781607876.176456690,1781607876.176456690,1781607876.176456690,1781607876.176456690,1
0,0.280000,1781607876.242275953,1781607876.242275953,1781607876.242275953,1781607876.242275953,1
0,0.300000,1781607876.314151287,1781607876.314151287,1781607876.314151287,1781607876.314151287,1
0,0.320000,1781607876.374749422,1781607876.374749422,1781607876.374749422,1781607876.374749422,1
0,0.340000,1781607876.441189289,1781607876.441189289,1781607876.441189289,1781607876.441189289,1
0,0.360000,1781607876.507492542,1781607876.507492542,1781607876.507492542,1781607876.507492542,1
0,0.380000,1781607876.574569702,1781607876.574569702,1781607876.574569702,1781607876.574569702,1
0,0.400000,1781607876.642123222,1781607876.642123222,1781607876.642123222,1781607876.642123222,1
0,0.420000,1781607876.708536386,1781607876.708536386,1781607876.708536386,1781607876.708536386,1
