macro_frame,sim_time,t1w_utc,t2_utc,t3_utc,t_force_utc,seq_ok
0,0.000000,1781607743.133217573,1781607743.133294344,1781607743.178503275,1781607743.178510666,1
0,0.020000,1781607743.252169132,1781607743.252169132,1781607743.252169132,1781607743.252169132,1
0,0.040000,1781607743.317264557,1781607743.317264557,1781607743.317264557,1781607743.317264557,1
0,0.060000,1781607743.382180214,1781607743.382180214,1781607743.382180214,1781607743.382180214,1
0,0.080000,1781607743.447555542,1781607743.447555542,1781607743.447555542,1781607743.447555542,1
0,0.100000,1781607743.513127089,1781607743.513127089,1781607743.513127089,1781607743.513127089,1
0,0.120000,1781607743.584266186,1781607743.584266186,1781607743.584266186,1781607743.584266186,1
0,0.140000,1781607743.649181604,1781607743.649181604,1781607743.649181604,1781607743.649181604,1
0,0.160000,1781607743.713136196,1781607743.713136196,1781607743.713136196,1781607743.713136196,1
0,0.180000,1781607743.778816462,1781607743.778816462,1781607743.778816462,1781607743.778816462,1
0,0.200000,1781607743.845963717,1781607743.845963717,1781607743.845963717,1781607743.845963717,1
0,0.220000,1781607743.914204359,1781607743.914204359,1781607743.914204359,1781607743.914204359,1
0,0.240000,1781607743.980306864,1781607743.980306864,1781607743.980306864,1781607743.980306864,1
0,0.260000,1781607744.048412323,1781607744.048412323,1781607744.048412323,1781607744.048412323,1
0,0.280000,1781607744.120436668,1781607744.120436668,1781607744.120436668,1781607744.120436668,1
0,0.300000,1781607744.184988499,1781607744.184988499,1781607744.184988499,1781607744.184988499,1
0,0.320000,1781607744.253721714,1781607744.253721714,1781607744.253721714,1781607744.253721714,1
0,0.340000,1781607744.315948725,1781607744.315948725,1781607744.315948725,1781607744.315948725,1
0,0.360000,1781607744.383714676,1781607744.383714676,1781607744.383714676,1781607744.383714676,1
0,0.380000,1781607744.449446917,1781607744.449446917,1781607744.449446917,1781607744.449446917,1
0,0.400000,1781607744.516119719,1781607744.516119719,1781607744.516119719,1781607744.516119719,1
0,0.420000,1781607744.584156275,1781607744.584156275,1781607744.584156275,1781607744.584156275,1
0,0.440000,1781607744.650119066,1781607744.650119066,1781607744.650119066,1781607744.650119066,1
0,0.460000,1781607744.717024803,1781607744.717024803,1781607744.717024803,1781607744.717024803,1
0,0.480000,1781607744.787208796,1781607744.787208796,1781607744.787208796,1781607744.787208796,1
0,0.500000,1781607744.849747419,1781607744.849747419,1781607744.849747419,1781607744.849747419,1
0,0.520000,1781607744.914776087,1781607744.914776087,1781607744.914776087,1781607744.914776087,1
0,0.540000,1781607744.982049704,1781607744.982049704,1781607744.982049704,1781607744.982049704,1
0,0.560000,1781607745.047518969,1781607745.047518969,1781607745.047518969,1781607745.047518969,1
0,0.580000,1781607745.112456560,1781607745.112456560,1781607745.112456560,1781607745.112456560,1
0,0.600000,1781607745.176836967,1781607745.176836967,1781607745.176836967,1781607745.176836967,1
0,0.620000,1781607745.226520061,1781607745.226520061,1781607745.226520061,1781607745.226520061,1
0,0.640000,1781607745.276788235,1781607745.276788235,1781607745.276788235,1781607745.276788235,1
0,0.660000,1781607745.342521906,1781607745.342521906,1781607745.342521906,1781607745.342521906,1
0,0.680000,1781607745.394829750,1781607745.394829750,1781607745.394829750,1781607745.394829750,1
0,0.700000,1781607745.466178656,1781607745.466178656,1781607745.466178656,1781607745.466178656,1
0,0.720000,1781607745.532980919,1781607745.532980919,1781607745.532980919,1781607745.532980919,1
0,0.740000,1781607745.605175018,1781607745.605175018,1781607745.605175018,1781607745.605175018,1
0,0.760000,1781607745.665764570,1781607745.665764570,1781607745.665764570,1781607745.665764570,1
0,0.780000,1781607745.733911991,1781607745.733911991,1781607745.733911991,1781607745.733911991,1
0,0.800000,1781607745.800297976,1781607745.800297976,1781607745.800297976,1781607745.800297976,1
0,0.820000,1781607745.869725466,1781607745.869725466,1781607745.869725466,1781607745.869725466,1
0,0.840000,1781607745.932405233,1781607745.932405233,1781607745.932405233,1781607745.932405233,1
0,0.860000,1781607746.000235319,1781607746.000235319,1781607746.000235319,1781607746.000235319,1
0,0.880000,1781607746.067260981,1781607746.067260981,1781607746.067260981,1781607746.067260981,1
0,0.900000,1781607746.135847330,1781607746.135847330,1781607746.135847330,1781607746.135847330,1
0,0.920000,1781607746.202132463,1781607746.202132463,1781607746.202132463,1781607746.202132463,1
0,0.940000,1781607746.272223234,1781607746.272223234,1781607746.272223234,1781607746.272223234,1
0,0.960000,1781607746.334954500,1781607746.334954500,1781607746.334954500,1781607746.334954500,1
0,0.980000,1781607746.401273251,1781607746.401273251,1781607746.401273251,1781607746.401273251,1
0,1.000000,1781607746.473077059,1781607746.473077059,1781607746.473077059,1781607746.473077059,1
0,1.020000,1781607746.557042837,1781607746.557042837,1781607746.557042837,1781607746.557042837,1
0,1.040000,1781607746.618809938,1781607746.618809938,1781607746.618809938,1781607746.618809938,1
0,1.060000,1781607746.684133291,1781607746.684133291,1781607746.684133291,1781607746.684133291,1
0,1.080000,1781607746.750912666,1781607746.750912666,1781607746.750912666,1781607746.750912666,1
0,1.100000,1781607746.817448616,1781607746.817448616,1781607746.817448616,1781607746.817448616,1
0,1.120000,1781607746.885111332,1781607746.885111332,1781607746.885111332,1781607746.885111332,1
0,1.140000,1781607746.955022097,1781607746.955022097,1781607746.955022097,1781607746.955022097,1
0,1.160000,1781607747.018070936,1781607747.018070936,1781607747.018070936,1781607747.018070936,1
0,1.180000,1781607747.085532665,1781607747.085532665,1781607747.085532665,1781607747.085532665,1
0,1.200000,1781607747.158418179,1781607747.158418179,1781607747.158418179,1781607747.158418179,1
0,1.220000,1781607747.219996929,1781607747.219996929,1781607747.219996929,1781607747.219996929,1
0,1.240000,1781607747.290100813,1781607747.290100813,1781607747.290100813,1781607747.290100813,1
0,1.260000,1781607747.353877544,1781607747.353877544,1781607747.353877544,1781607747.353877544,1
0,1.280000,1781607747.420633793,1781607747.420633793,1781607747.420633793,1781607747.420633793,1
0,1.300000,1781607747.487225294,1781607747.487225294,1781607747.487225294,1781607747.487225294,1
0,1.320000,1781607747.557147980,1781607747.557147980,1781607747.557147980,1781607747.557147980,1
0,1.340000,1781607747.620834351,1781607747.620834351,1781607747.620834351,1781607747.620834351,1
0,1.360000,1781607747.686976910,1781607747.686976910,1781607747.686976910,1781607747.686976910,1
0,1.380000,1781607747.753875732,1781607747.753875732,1781607747.753875732,1781607747.753875732,1
0,1.400000,1781607747.820148706,1781607747.820148706,1781607747.820148706,1781607747.820148706,1
0,1.420000,1781607747.889108896,1781607747.889108896,1781607747.889108896,1781607747.889108896,1
0,1.440000,1781607747.956379652,1781607747.956379652,1781607747.956379652,1781607747.956379652,1
0,1.460000,1781607748.023104429,1781607748.023104429,1781607748.023104429,1781607748.023104429,1
0,1.480000,1781607748.122906446,1781607748.122906446,1781607748.122906446,1781607748.122906446,1
0,1.500000,1781607748.190348625,1781607748.190348625,1781607748.190348625,1781607748.190348625,1
0,1.520000,1781607748.255703211,1781607748.255703211,1781607748.255703211,1781607748.255703211,1
0,1.540000,1781607748.322408438,1781607748.322408438,1781607748.322408438,1781607748.322408438,1
0,1.560000,1781607748.388196468,1781607748.388196468,1781607748.388196468,1781607748.388196468,1
0,1.580000,1781607748.457550764,1781607748.457550764,1781607748.457550764,1781607748.457550764,1
0,1.600000,1781607748.526759863,1781607748.526759863,1781607748.526759863,1781607748.526759863,1
0,1.620000,1781607748.588166952,1781607748.588166952,1781607748.588166952,1781607748.588166952,1
0,1.640000,1781607748.655327797,1781607748.655327797,1781607748.655327797,1781607748.655327797,1
0,1.660000,1781607748.724392176,1781607748.724392176,1781607748.724392176,1781607748.724392176,1
0,1.680000,1781607748.791100979,1781607748.791100979,1781607748.791100979,1781607748.791100979,1
0,1.700000,1781607748.859379530,1781607748.859379530,1781607748.859379530,1781607748.859379530,1
0,1.720000,1781607748.927212477,1781607748.927212477,1781607748.927212477,1781607748.927212477,1
0,1.740000,1781607748.987825394,1781607748.987825394,1781607748.987825394,1781607748.987825394,1
0,1.760000,1781607749.056174040,1781607749.056174040,1781607749.056174040,1781607749.056174040,1
0,1.780000,1781607749.123238802,1781607749.123238802,1781607749.123238802,1781607749.123238802,1
0,1.800000,1781607749.188314438,1781607749.188314438,1781607749.188314438,1781607749.188314438,1
0,1.820000,1781607749.255359650,1781607749.255359650,1781607749.255359650,1781607749.255359650,1
0,1.840000,1781607749.321977615,1781607749.321977615,1781607749.321977615,1781607749.321977615,1
0,1.860000,1781607749.388630390,1781607749.388630390,1781607749.388630390,1781607749.388630390,1
0,1.880000,1781607749.454286575,1781607749.454286575,1781607749.454286575,1781607749.454286575,1
0,1.900000,1781607749.521816969,1781607749.521816969,1781607749.521816969,1781607749.521816969,1
0,1.920000,1781607749.591747761,1781607749.591747761,1781607749.591747761,1781607749.591747761,1
0,1.940000,1781607749.655822515,1781607749.655822515,1781607749.655822515,1781607749.655822515,1
0,1.960000,1781607749.724349260,1781607749.724349260,1781607749.724349260,1781607749.724349260,1
0,1.980000,1781607749.787986279,1781607749.787986279,1781607749.787986279,1781607749.787986279,1
0,2.000000,1781607749.853902340,1781607749.853902340,1781607749.853902340,1781607749.853902340,1
0,2.020000,1781607749.922759533,1781607749.922759533,1781607749.922759533,1781607749.922759533,1
0,2.040000,1781607749.986557245,1781607749.986557245,1781607749.986557245,1781607749.986557245,1
0,2.060000,1781607750.054806948,1781607750.054806948,1781607750.054806948,1781607750.054806948,1
0,2.080000,1781607750.121760607,1781607750.121760607,1781607750.121760607,1781607750.121760607,1
0,2.100000,1781607750.187449694,1781607750.187449694,1781607750.187449694,1781607750.187449694,1
0,2.120000,1781607750.255051374,1781607750.255051374,1781607750.255051374,1781607750.255051374,1
0,2.140000,1781607750.321772814,1781607750.321772814,1781607750.321772814,1781607750.321772814,1
0,2.160000,1781607750.387410879,1781607750.387410879,1781607750.387410879,1781607750.387410879,1
0,2.180000,1781607750.454223633,1781607750.454223633,1781607750.454223633,1781607750.454223633,1
0,2.200000,1781607750.520526409,1781607750.520526409,1781607750.520526409,1781607750.520526409,1
0,2.220000,1781607750.587965965,1781607750.587965965,1781607750.587965965,1781607750.587965965,1
0,2.240000,1781607750.655405283,1781607750.655405283,1781607750.655405283,1781607750.655405283,1
0,2.260000,1781607750.727844000,1781607750.727844000,1781607750.727844000,1781607750.727844000,1
0,2.280000,1781607750.792507648,1781607750.792507648,1781607750.792507648,1781607750.792507648,1
0,2.300000,1781607750.853748798,1781607750.853748798,1781607750.853748798,1781607750.853748798,1
0,2.320000,1781607750.919645786,1781607750.919645786,1781607750.919645786,1781607750.919645786,1
0,2.340000,1781607750.986827850,1781607750.986827850,1781607750.986827850,1781607750.986827850,1
0,2.360000,1781607751.053905487,1781607751.053905487,1781607751.053905487,1781607751.053905487,1
0,2.380000,1781607751.118710518,1781607751.118710518,1781607751.118710518,1781607751.118710518,1
0,2.400000,1781607751.187190533,1781607751.187190533,1781607751.187190533,1781607751.187190533,1
0,2.420000,1781607751.257082701,1781607751.257082701,1781607751.257082701,1781607751.257082701,1
0,2.440000,1781607751.319227695,1781607751.319227695,1781607751.319227695,1781607751.319227695,1
0,2.460000,1781607751.386496782,1781607751.386496782,1781607751.386496782,1781607751.386496782,1
0,2.480000,1781607751.455899715,1781607751.455899715,1781607751.455899715,1781607751.455899715,1
0,2.500000,1781607751.522125244,1781607751.522125244,1781607751.522125244,1781607751.522125244,1
0,2.520000,1781607751.586212397,1781607751.586212397,1781607751.586212397,1781607751.586212397,1
0,2.540000,1781607751.658342123,1781607751.658342123,1781607751.658342123,1781607751.658342123,1
0,2.560000,1781607751.723162174,1781607751.723162174,1781607751.723162174,1781607751.723162174,1
0,2.580000,1781607751.787514687,1781607751.787514687,1781607751.787514687,1781607751.787514687,1
0,2.600000,1781607751.860018253,1781607751.860018253,1781607751.860018253,1781607751.860018253,1
0,2.620000,1781607751.921389341,1781607751.921389341,1781607751.921389341,1781607751.921389341,1
0,2.640000,1781607751.986610174,1781607751.986610174,1781607751.986610174,1781607751.986610174,1
0,2.660000,1781607752.054686785,1781607752.054686785,1781607752.054686785,1781607752.054686785,1
0,2.680000,1781607752.119986773,1781607752.119986773,1781607752.119986773,1781607752.119986773,1
0,2.700000,1781607752.186420918,1781607752.186420918,1781607752.186420918,1781607752.186420918,1
0,2.720000,1781607752.252135277,1781607752.252135277,1781607752.252135277,1781607752.252135277,1
0,2.740000,1781607752.319859743,1781607752.319859743,1781607752.319859743,1781607752.319859743,1
0,2.760000,1781607752.435857058,1781607752.435857058,1781607752.435857058,1781607752.435857058,1
0,2.780000,1781607752.501921654,1781607752.501921654,1781607752.501921654,1781607752.501921654,1
0,2.800000,1781607752.569636106,1781607752.569636106,1781607752.569636106,1781607752.569636106,1
0,2.820000,1781607752.642081499,1781607752.642081499,1781607752.642081499,1781607752.642081499,1
0,2.840000,1781607752.705421925,1781607752.705421925,1781607752.705421925,1781607752.705421925,1
0,2.860000,1781607752.778939962,1781607752.778939962,1781607752.778939962,1781607752.778939962,1
0,2.880000,1781607752.837006807,1781607752.837006807,1781607752.837006807,1781607752.837006807,1
0,2.900000,1781607752.907659531,1781607752.907659531,1781607752.907659531,1781607752.907659531,1
0,2.920000,1781607752.971903801,1781607752.971903801,1781607752.971903801,1781607752.971903801,1
0,2.940000,1781607753.039722681,1781607753.039722681,1781607753.039722681,1781607753.039722681,1
0,2.960000,1781607753.105175734,1781607753.105175734,1781607753.105175734,1781607753.105175734,1
0,2.980000,1781607753.181737185,1781607753.181737185,1781607753.181737185,1781607753.181737185,1
0,3.000000,1781607753.239609241,1781607753.239609241,1781607753.239609241,1781607753.239609241,1
0,3.020000,1781607753.310487747,1781607753.310487747,1781607753.310487747,1781607753.310487747,1
0,3.040000,1781607753.373771191,1781607753.373771191,1781607753.373771191,1781607753.373771191,1
0,3.060000,1781607753.442444801,1781607753.442444801,1781607753.442444801,1781607753.442444801,1
0,3.080000,1781607753.507248878,1781607753.507248878,1781607753.507248878,1781607753.507248878,1
0,3.100000,1781607753.574241161,1781607753.574241161,1781607753.574241161,1781607753.574241161,1
0,3.120000,1781607753.642991781,1781607753.642991781,1781607753.642991781,1781607753.642991781,1
0,3.140000,1781607753.708229303,1781607753.708229303,1781607753.708229303,1781607753.708229303,1
0,3.160000,1781607753.775490999,1781607753.775490999,1781607753.775490999,1781607753.775490999,1
0,3.180000,1781607753.840316057,1781607753.840316057,1781607753.840316057,1781607753.840316057,1
0,3.200000,1781607753.913484812,1781607753.913484812,1781607753.913484812,1781607753.913484812,1
0,3.220000,1781607753.974955082,1781607753.974955082,1781607753.974955082,1781607753.974955082,1
0,3.240000,1781607754.041035891,1781607754.041035891,1781607754.041035891,1781607754.041035891,1
0,3.260000,1781607754.107809305,1781607754.107809305,1781607754.107809305,1781607754.107809305,1
0,3.280000,1781607754.176374197,1781607754.176374197,1781607754.176374197,1781607754.176374197,1
0,3.300000,1781607754.242647409,1781607754.242647409,1781607754.242647409,1781607754.242647409,1
0,3.320000,1781607754.308791637,1781607754.308791637,1781607754.308791637,1781607754.308791637,1
0,3.340000,1781607754.373917580,1781607754.373917580,1781607754.373917580,1781607754.373917580,1
0,3.360000,1781607754.441844940,1781607754.441844940,1781607754.441844940,1781607754.441844940,1
0,3.380000,1781607754.509321451,1781607754.509321451,1781607754.509321451,1781607754.509321451,1
0,3.400000,1781607754.575191021,1781607754.575191021,1781607754.575191021,1781607754.575191021,1
0,3.420000,1781607754.642273188,1781607754.642273188,1781607754.642273188,1781607754.642273188,1
0,3.440000,1781607754.727519035,1781607754.727519035,1781607754.727519035,1781607754.727519035,1
0,3.460000,1781607754.809907436,1781607754.809907436,1781607754.809907436,1781607754.809907436,1
0,3.480000,1781607754.876379728,1781607754.876379728,1781607754.876379728,1781607754.876379728,1
0,3.500000,1781607754.941691160,1781607754.941691160,1781607754.941691160,1781607754.941691160,1
0,3.520000,1781607755.013449192,1781607755.013449192,1781607755.013449192,1781607755.013449192,1
0,3.540000,1781607755.075919390,1781607755.075919390,1781607755.075919390,1781607755.075919390,1
0,3.560000,1781607755.142258167,1781607755.142258167,1781607755.142258167,1781607755.142258167,1
0,3.580000,1781607755.208708525,1781607755.208708525,1781607755.208708525,1781607755.208708525,1
0,3.600000,1781607755.280613422,1781607755.280613422,1781607755.280613422,1781607755.280613422,1
0,3.620000,1781607755.343015432,1781607755.343015432,1781607755.343015432,1781607755.343015432,1
0,3.640000,1781607755.410521507,1781607755.410521507,1781607755.410521507,1781607755.410521507,1
0,3.660000,1781607755.491907835,1781607755.491907835,1781607755.491907835,1781607755.491907835,1
0,3.680000,1781607755.563297510,1781607755.563297510,1781607755.563297510,1781607755.563297510,1
0,3.700000,1781607755.625640631,1781607755.625640631,1781607755.625640631,1781607755.625640631,1
0,3.720000,1781607755.691900730,1781607755.691900730,1781607755.691900730,1781607755.691900730,1
0,3.740000,1781607755.759019613,1781607755.759019613,1781607755.759019613,1781607755.759019613,1
0,3.760000,1781607755.825539589,1781607755.825539589,1781607755.825539589,1781607755.825539589,1
0,3.780000,1781607755.893008709,1781607755.893008709,1781607755.893008709,1781607755.893008709,1
0,3.800000,1781607755.959009886,1781607755.959009886,1781607755.959009886,1781607755.959009886,1
0,3.820000,1781607756.027648926,1781607756.027648926,1781607756.027648926,1781607756.027648926,1
0,3.840000,1781607756.093538284,1781607756.093538284,1781607756.093538284,1781607756.093538284,1
0,3.860000,1781607756.158962011,1781607756.158962011,1781607756.158962011,1781607756.158962011,1
0,3.880000,1781607756.225670815,1781607756.225670815,1781607756.225670815,1781607756.225670815,1
0,3.900000,1781607756.296339273,1781607756.296339273,1781607756.296339273,1781607756.296339273,1
0,3.920000,1781607756.361626387,1781607756.361626387,1781607756.361626387,1781607756.361626387,1
0,3.940000,1781607756.430838108,1781607756.430838108,1781607756.430838108,1781607756.430838108,1
0,3.960000,1781607756.492402315,1781607756.492402315,1781607756.492402315,1781607756.492402315,1
0,3.980000,1781607756.560365200,1781607756.560365200,1781607756.560365200,1781607756.560365200,1
0,4.000000,1781607756.626037359,1781607756.626037359,1781607756.626037359,1781607756.626037359,1
0,4.020000,1781607756.693414927,1781607756.693414927,1781607756.693414927,1781607756.693414927,1
0,4.040000,1781607756.758978128,1781607756.758978128,1781607756.758978128,1781607756.758978128,1
0,4.060000,1781607756.828610420,1781607756.828610420,1781607756.828610420,1781607756.828610420,1
0,4.080000,1781607756.892737865,1781607756.892737865,1781607756.892737865,1781607756.892737865,1
0,4.100000,1781607756.959923267,1781607756.959923267,1781607756.959923267,1781607756.959923267,1
0,4.120000,1781607757.026750565,1781607757.026750565,1781607757.026750565,1781607757.026750565,1
0,4.140000,1781607757.093799829,1781607757.093799829,1781607757.093799829,1781607757.093799829,1
0,4.160000,1781607757.161218882,1781607757.161218882,1781607757.161218882,1781607757.161218882,1
0,4.180000,1781607757.227502108,1781607757.227502108,1781607757.227502108,1781607757.227502108,1
0,4.200000,1781607757.297497034,1781607757.297497034,1781607757.297497034,1781607757.297497034,1
0,4.220000,1781607757.361817360,1781607757.361817360,1781607757.361817360,1781607757.361817360,1
0,4.240000,1781607757.429047585,1781607757.429047585,1781607757.429047585,1781607757.429047585,1
0,4.260000,1781607757.495733261,1781607757.495733261,1781607757.495733261,1781607757.495733261,1
0,4.280000,1781607757.562432051,1781607757.562432051,1781607757.562432051,1781607757.562432051,1
0,4.300000,1781607757.629680872,1781607757.629680872,1781607757.629680872,1781607757.629680872,1
0,4.320000,1781607757.696695805,1781607757.696695805,1781607757.696695805,1781607757.696695805,1
0,4.340000,1781607757.798262358,1781607757.798262358,1781607757.798262358,1781607757.798262358,1
0,4.360000,1781607757.865776539,1781607757.865776539,1781607757.865776539,1781607757.865776539,1
0,4.380000,1781607757.930887938,1781607757.930887938,1781607757.930887938,1781607757.930887938,1
0,4.400000,1781607757.998873949,1781607757.998873949,1781607757.998873949,1781607757.998873949,1
0,4.420000,1781607758.065112591,1781607758.065112591,1781607758.065112591,1781607758.065112591,1
0,4.440000,1781607758.133102179,1781607758.133102179,1781607758.133102179,1781607758.133102179,1
0,4.460000,1781607758.199158192,1781607758.199158192,1781607758.199158192,1781607758.199158192,1
0,4.480000,1781607758.269239664,1781607758.269239664,1781607758.269239664,1781607758.269239664,1
0,4.500000,1781607758.335484743,1781607758.335484743,1781607758.335484743,1781607758.335484743,1
0,4.520000,1781607758.400335073,1781607758.400335073,1781607758.400335073,1781607758.400335073,1
