macro_frame,sim_time_mjc,sim_time_xpbd,t1_utc,t1w_utc,t2_utc,t3_utc,t_force_utc,t4_utc,t_step_utc,t1_next_utc,dt_t1_t1w,dt_t1w_t2,dt_t2_t3,dt_t3_tforce,dt_tforce_t4,dt_t4_tstep,dt_tstep_t1next,dt_t1_t1next,cycle_order_ok,paired,note
0,0.000000,0.000000,1781659832.848675489,1781659832.864623785,1781659832.864712715,1781659833.008889198,1781659833.008897066,1781659833.010771513,1781659833.010791063,1781659833.018237114,0.015948,0.000089,0.144176,0.000008,0.001874,0.000020,0.007446,0.169562,1,1,
1,0.020000,0.020000,1781659833.018237114,1781659833.031529188,1781659833.031599522,1781659833.174808979,1781659833.174818039,1781659833.177416801,1781659833.177437544,1781659833.183429480,0.013292,0.000070,0.143209,0.000009,0.002599,0.000021,0.005992,0.165192,1,1,
2,0.040000,0.040000,1781659833.183429480,1781659833.198241472,1781659833.198290586,1781659833.342774630,1781659833.342782497,1781659833.345211983,1781659833.345229387,1781659833.351008177,0.014812,0.000049,0.144484,0.000008,0.002429,0.000017,0.005779,0.167579,1,1,
3,0.060000,0.060000,1781659833.351008177,1781659833.364953756,1781659833.365003824,1781659833.510499239,1781659833.510509729,1781659833.511197329,1781659833.511214018,1781659833.517760277,0.013946,0.000050,0.145495,0.000010,0.000688,0.000017,0.006546,0.166752,1,1,
4,0.080000,0.080000,1781659833.517760277,1781659833.531777382,1781659833.531824589,1781659833.680961847,1781659833.680969715,1781659833.683377266,1781659833.683395863,1781659833.688794374,0.014017,0.000047,0.149137,0.000008,0.002408,0.000019,0.005399,0.171034,1,1,
5,0.100000,0.100000,1781659833.688794374,1781659833.698670387,1781659833.698723555,1781659833.848310232,1781659833.848319769,1781659833.850294113,1781659833.850310802,1781659833.857746840,0.009876,0.000053,0.149587,0.000010,0.001974,0.000017,0.007436,0.168952,1,1,
6,0.120000,0.120000,1781659833.857746840,1781659833.865439892,1781659833.865486383,1781659834.015666008,1781659834.015676022,1781659834.017920732,1781659834.017937422,1781659834.024791479,0.007693,0.000046,0.150180,0.000010,0.002245,0.000017,0.006854,0.167045,1,1,
7,0.140000,0.140000,1781659834.024791479,1781659834.032138824,1781659834.032184124,1781659834.178304434,1781659834.178313255,1781659834.180112839,1781659834.180129766,1781659834.184906006,0.007347,0.000045,0.146120,0.000009,0.001800,0.000017,0.004776,0.160115,1,1,
8,0.160000,0.160000,1781659834.184906006,1781659834.199102163,1781659834.199153423,1781659834.342448235,1781659834.342457533,1781659834.344699383,1781659834.344719887,1781659834.350175142,0.014196,0.000051,0.143295,0.000009,0.002242,0.000021,0.005455,0.165269,1,1,
9,0.180000,0.180000,1781659834.350175142,1781659834.365824699,1781659834.365891933,1781659834.510320902,1781659834.510330439,1781659834.510890007,1781659834.510906935,1781659834.517096043,0.015650,0.000067,0.144429,0.000010,0.000560,0.000017,0.006189,0.166921,1,1,
10,0.200000,0.200000,1781659834.517096043,1781659834.532634735,1781659834.532685280,1781659834.675970554,1781659834.675980568,1781659834.677401781,1781659834.677419186,1781659834.685236216,0.015539,0.000051,0.143285,0.000010,0.001421,0.000017,0.007817,0.168140,1,1,
11,0.220000,0.220000,1781659834.685236216,1781659834.699451208,1781659834.699519396,1781659834.844011068,1781659834.844019890,1781659834.845597267,1781659834.845615149,1781659834.853606701,0.014215,0.000068,0.144492,0.000009,0.001577,0.000018,0.007992,0.168370,1,1,
12,0.240000,0.240000,1781659834.853606701,1781659834.866173506,1781659834.866220713,1781659835.009627342,1781659835.009637356,1781659835.011973858,1781659835.011990786,1781659835.019965410,0.012567,0.000047,0.143407,0.000010,0.002337,0.000017,0.007975,0.166359,1,1,
13,0.260000,0.260000,1781659835.019965410,1781659835.033082724,1781659835.033152580,1781659835.177648067,1781659835.177656889,1781659835.179379940,1781659835.179397106,1781659835.187184095,0.013117,0.000070,0.144495,0.000009,0.001723,0.000017,0.007787,0.167219,1,1,
14,0.280000,0.280000,1781659835.187184095,1781659835.199845791,1781659835.199894667,1781659835.342941046,1781659835.342950583,1781659835.343164921,1781659835.343175173,1781659835.347912550,0.012662,0.000049,0.143046,0.000010,0.000214,0.000010,0.004737,0.160728,1,1,
15,0.300000,0.300000,1781659835.347912550,1781659835.349920988,1781659835.349964380,1781659835.492985964,1781659835.492994785,1781659835.494009972,1781659835.494019747,1781659835.498812199,0.002008,0.000043,0.143022,0.000009,0.001015,0.000010,0.004792,0.150900,1,1,
16,0.320000,0.320000,1781659835.498812199,1781659835.500154734,1781659835.500198603,1781659835.644022703,1781659835.644031525,1781659835.645547628,1781659835.645557404,1781659835.650217295,0.001343,0.000044,0.143824,0.000009,0.001516,0.000010,0.004660,0.151405,1,1,
17,0.340000,0.340000,1781659835.650217295,1781659835.666889668,1781659835.666958332,1781659835.815163374,1781659835.815172911,1781659835.816039085,1781659835.816048861,1781659835.820755959,0.016672,0.000069,0.148205,0.000010,0.000866,0.000010,0.004707,0.170539,1,1,
18,0.360000,0.360000,1781659835.820755959,1781659835.833689928,1781659835.833741665,1781659835.977838039,1781659835.977849007,1781659835.979187965,1781659835.979204655,1781659835.985304117,0.012934,0.000052,0.144096,0.000011,0.001339,0.000017,0.006099,0.164548,1,1,
19,0.380000,0.380000,1781659835.985304117,1781659836.000478745,1781659836.000526190,1781659836.143117428,1781659836.143126726,1781659836.145279408,1781659836.145297050,1781659836.149925232,0.015175,0.000047,0.142591,0.000009,0.002153,0.000018,0.004628,0.164621,1,1,
20,0.400000,0.400000,1781659836.149925232,1781659836.150711298,1781659836.150756598,1781659836.295004845,1781659836.295011759,1781659836.296419382,1781659836.296436071,1781659836.301723242,0.000786,0.000045,0.144248,0.000007,0.001408,0.000017,0.005287,0.151798,1,1,
21,0.420000,0.420000,1781659836.301723242,1781659836.317464113,1781659836.317530870,1781659836.462310076,1781659836.462319136,1781659836.462967396,1781659836.462984562,1781659836.468227863,0.015741,0.000067,0.144779,0.000009,0.000648,0.000017,0.005243,0.166505,1,1,
22,0.440000,0.440000,1781659836.468227863,1781659836.484270573,1781659836.484337807,1781659836.628307343,1781659836.628315210,1781659836.630048752,1781659836.630066633,1781659836.637072086,0.016043,0.000067,0.143970,0.000008,0.001734,0.000018,0.007005,0.168844,1,1,
23,0.460000,0.460000,1781659836.637072086,1781659836.650975704,1781659836.651022911,1781659836.794523478,1781659836.794531584,1781659836.795455933,1781659836.795473099,1781659836.800831795,0.013904,0.000047,0.143501,0.000008,0.000924,0.000017,0.005359,0.163760,1,1,
24,0.480000,0.480000,1781659836.800831795,1781659836.801105499,1781659836.801147223,1781659836.945061684,1781659836.945069790,1781659836.947124958,1781659836.947134733,1781659836.951804876,0.000274,0.000042,0.143914,0.000008,0.002055,0.000010,0.004670,0.150973,1,1,
25,0.500000,0.500000,1781659836.951804876,1781659836.967933655,1781659836.967980385,1781659837.111173630,1781659837.111183643,1781659837.113263607,1781659837.113273621,1781659837.118400335,0.016129,0.000047,0.143193,0.000010,0.002080,0.000010,0.005127,0.166595,1,1,
26,0.520000,0.520000,1781659837.118400335,1781659837.134768724,1781659837.134817123,1781659837.278038979,1781659837.278047085,1781659837.280026913,1781659837.280036926,1781659837.284623384,0.016368,0.000048,0.143222,0.000008,0.001980,0.000010,0.004586,0.166223,1,1,
