macro_frame,sim_time,t1w_utc,t2_utc,t3_utc,t_force_utc,seq_ok
0,0.000000,1781659832.864623785,1781659832.864712715,1781659833.008889198,1781659833.008897066,1
1,0.020000,1781659833.031529188,1781659833.031599522,1781659833.174808979,1781659833.174818039,1
2,0.040000,1781659833.198241472,1781659833.198290586,1781659833.342774630,1781659833.342782497,1
3,0.060000,1781659833.364953756,1781659833.365003824,1781659833.510499239,1781659833.510509729,1
4,0.080000,1781659833.531777382,1781659833.531824589,1781659833.680961847,1781659833.680969715,1
5,0.100000,1781659833.698670387,1781659833.698723555,1781659833.848310232,1781659833.848319769,1
6,0.120000,1781659833.865439892,1781659833.865486383,1781659834.015666008,1781659834.015676022,1
7,0.140000,1781659834.032138824,1781659834.032184124,1781659834.178304434,1781659834.178313255,1
8,0.160000,1781659834.199102163,1781659834.199153423,1781659834.342448235,1781659834.342457533,1
9,0.180000,1781659834.365824699,1781659834.365891933,1781659834.510320902,1781659834.510330439,1
10,0.200000,1781659834.532634735,1781659834.532685280,1781659834.675970554,1781659834.675980568,1
11,0.220000,1781659834.699451208,1781659834.699519396,1781659834.844011068,1781659834.844019890,1
12,0.240000,1781659834.866173506,1781659834.866220713,1781659835.009627342,1781659835.009637356,1
13,0.260000,1781659835.033082724,1781659835.033152580,1781659835.177648067,1781659835.177656889,1
14,0.280000,1781659835.199845791,1781659835.199894667,1781659835.342941046,1781659835.342950583,1
15,0.300000,1781659835.349920988,1781659835.349964380,1781659835.492985964,1781659835.492994785,1
16,0.320000,1781659835.500154734,1781659835.500198603,1781659835.644022703,1781659835.644031525,1
17,0.340000,1781659835.666889668,1781659835.666958332,1781659835.815163374,1781659835.815172911,1
18,0.360000,1781659835.833689928,1781659835.833741665,1781659835.977838039,1781659835.977849007,1
19,0.380000,1781659836.000478745,1781659836.000526190,1781659836.143117428,1781659836.143126726,1
20,0.400000,1781659836.150711298,1781659836.150756598,1781659836.295004845,1781659836.295011759,1
21,0.420000,1781659836.317464113,1781659836.317530870,1781659836.462310076,1781659836.462319136,1
22,0.440000,1781659836.484270573,1781659836.484337807,1781659836.628307343,1781659836.628315210,1
23,0.460000,1781659836.650975704,1781659836.651022911,1781659836.794523478,1781659836.794531584,1
24,0.480000,1781659836.801105499,1781659836.801147223,1781659836.945061684,1781659836.945069790,1
25,0.500000,1781659836.967933655,1781659836.967980385,1781659837.111173630,1781659837.111183643,1
26,0.520000,1781659837.134768724,1781659837.134817123,1781659837.278038979,1781659837.278047085,1
27,0.540000,1781659837.285022259,1781659837.285063744,1781659837.429139137,1781659837.429149151,1
28,0.560000,1781659837.451825857,1781659837.451873302,1781659837.595785379,1781659837.595793009,1
29,0.580000,1781659837.618445158,1781659837.618506193,1781659837.762440681,1781659837.762449980,1
30,0.600000,1781659837.768745422,1781659837.768787622,1781659837.912760019,1781659837.912767887,1
31,0.620000,1781659837.918832064,1781659837.918877125,1781659838.062186241,1781659838.062196016,1
32,0.640000,1781659838.085533857,1781659838.085581541,1781659838.229080677,1781659838.229088306,1
33,0.660000,1781659838.235750914,1781659838.235794783,1781659838.378495216,1781659838.378504276,1
34,0.680000,1781659838.402455091,1781659838.402502775,1781659838.546105623,1781659838.546114445,1
35,0.700000,1781659838.552699089,1781659838.552743912,1781659838.695815325,1781659838.695824862,1
36,0.720000,1781659838.719415188,1781659838.719463825,1781659838.862513781,1781659838.862521172,1
37,0.740000,1781659838.869618416,1781659838.869662523,1781659839.012477160,1781659839.012486458,1
38,0.760000,1781659839.036261320,1781659839.036309004,1781659839.179842234,1781659839.179850340,1
39,0.780000,1781659839.203152657,1781659839.203201532,1781659839.346030474,1781659839.346040249,1
40,0.800000,1781659839.353241444,1781659839.353283644,1781659839.496246576,1781659839.496255636,1
41,0.820000,1781659839.519996643,1781659839.520043850,1781659839.662515402,1781659839.662525177,1
42,0.840000,1781659839.670150042,1781659839.670193434,1781659839.812873840,1781659839.812882185,1
43,0.860000,1781659839.820333004,1781659839.820386887,1781659839.963042021,1781659839.963051796,1
44,0.880000,1781659839.987041473,1781659839.987087965,1781659840.130361080,1781659840.130373716,1
45,0.900000,1781659840.137145519,1781659840.137192726,1781659840.279907227,1781659840.279917240,1
46,0.920000,1781659840.287405014,1781659840.287449598,1781659840.430255175,1781659840.430263042,1
47,0.940000,1781659840.454105616,1781659840.454153538,1781659840.596774817,1781659840.596784830,1
48,0.960000,1781659840.620959282,1781659840.621008158,1781659840.764589310,1781659840.764597178,1
49,0.980000,1781659840.771110296,1781659840.771176338,1781659840.914201498,1781659840.914210558,1
50,1.000000,1781659840.954757452,1781659840.954809189,1781659841.098899364,1781659841.098907232,1
51,1.019999,1781659841.104787111,1781659841.104834318,1781659841.247666597,1781659841.247676373,1
52,1.039999,1781659841.254905701,1781659841.254968405,1781659841.399029970,1781659841.399037838,1
53,1.059999,1781659841.404925585,1781659841.404968023,1781659841.548699141,1781659841.548708677,1
54,1.079999,1781659841.555034399,1781659841.555075884,1781659841.698668242,1781659841.698675632,1
55,1.099999,1781659841.721989155,1781659841.722037792,1781659841.866600752,1781659841.866611004,1
56,1.119999,1781659841.888671398,1781659841.888723135,1781659842.032620907,1781659842.032628059,1
57,1.139999,1781659842.055457830,1781659842.055503845,1781659842.198984385,1781659842.198994637,1
58,1.159999,1781659842.222430468,1781659842.222480297,1781659842.366075993,1781659842.366084099,1
59,1.179999,1781659842.389223337,1781659842.389296055,1781659842.532804012,1781659842.532813311,1
60,1.199999,1781659842.539294958,1781659842.539339066,1781659842.683058262,1781659842.683065891,1
61,1.219999,1781659842.706005335,1781659842.706051350,1781659842.849436522,1781659842.849445820,1
62,1.239999,1781659842.856271029,1781659842.856314182,1781659843.000151873,1781659843.000159502,1
63,1.259999,1781659843.089751959,1781659843.089805841,1781659843.233761072,1781659843.233772039,1
64,1.279999,1781659843.256659746,1781659843.256715536,1781659843.400227308,1781659843.400235176,1
65,1.299999,1781659843.406708479,1781659843.406752825,1781659843.549841642,1781659843.549851418,1
66,1.319999,1781659843.573480129,1781659843.573530912,1781659843.716874123,1781659843.716881514,1
67,1.339999,1781659843.740115643,1781659843.740162611,1781659843.883213282,1781659843.883222818,1
68,1.359999,1781659843.907149792,1781659843.907199144,1781659844.050790548,1781659844.050797939,1
69,1.379999,1781659844.073870420,1781659844.073924541,1781659844.217556238,1781659844.217566013,1
70,1.399999,1781659844.224004507,1781659844.224050522,1781659844.369599819,1781659844.369607210,1
71,1.419999,1781659844.407596350,1781659844.407645941,1781659844.552921772,1781659844.552932501,1
72,1.439999,1781659844.574261904,1781659844.574334860,1781659844.721771479,1781659844.721779108,1
73,1.459999,1781659844.740969896,1781659844.741019487,1781659844.886242867,1781659844.886251926,1
74,1.479999,1781659844.907786131,1781659844.907835484,1781659845.055695772,1781659845.055702925,1
75,1.499999,1781659845.074786186,1781659845.074838638,1781659845.222422123,1781659845.222431660,1
76,1.519999,1781659845.241494894,1781659845.241566181,1781659845.393410206,1781659845.393418789,1
77,1.539999,1781659845.408390760,1781659845.408439636,1781659845.558398247,1781659845.558407307,1
78,1.559999,1781659845.574965715,1781659845.575013161,1781659845.724963188,1781659845.724974632,1
79,1.579999,1781659845.742016554,1781659845.742062569,1781659845.893888950,1781659845.893898249,1
80,1.599999,1781659845.909989357,1781659845.910041571,1781659846.061611176,1781659846.061619997,1
81,1.619999,1781659846.075392008,1781659846.075435877,1781659846.225837231,1781659846.225847006,1
82,1.639999,1781659846.242189169,1781659846.242246389,1781659846.394423246,1781659846.394433022,1
83,1.659999,1781659846.409058571,1781659846.409119606,1781659846.560939789,1781659846.560949802,1
84,1.679999,1781659846.575807571,1781659846.575854063,1781659846.727685690,1781659846.727696180,1
85,1.699999,1781659846.742613554,1781659846.742662191,1781659846.895275831,1781659846.895284891,1
86,1.719999,1781659846.909504175,1781659846.909549713,1781659847.061394453,1781659847.061403275,1
87,1.739999,1781659847.076415777,1781659847.076468468,1781659847.228871822,1781659847.228881121,1
88,1.759999,1781659847.242967367,1781659847.243015528,1781659847.396080732,1781659847.396089554,1
89,1.779999,1781659847.409991264,1781659847.410049677,1781659847.562329769,1781659847.562339783,1
90,1.799999,1781659847.576619148,1781659847.576665640,1781659847.728279352,1781659847.728287458,1
91,1.819999,1781659847.743407249,1781659847.743457794,1781659847.894132853,1781659847.894142628,1
92,1.839999,1781659847.910319567,1781659847.910366297,1781659848.060792685,1781659848.060800314,1
