macro_frame,sim_time_mjc,sim_time_xpbd,t1_utc,t1w_utc,t2_utc,t3_utc,t_force_utc,t4_utc,t_step_utc,t1_next_utc,dt_t1_t1w,dt_t1w_t2,dt_t2_t3,dt_t3_tforce,dt_tforce_t4,dt_t4_tstep,dt_tstep_t1next,dt_t1_t1next,cycle_order_ok,paired,note
0,0.000000,0.000000,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,-2.47955e-05,6.46114e-05,0.159053,7.86781e-06,0.00128627,1.3113e-05,0.00549746,0.165897,0,1,cycle_order
1,0.020000,0.020000,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,0.000585556,4.55379e-05,0.158367,9.05991e-06,0.00167584,1.14441e-05,0.0052886,0.165983,1,1,
2,0.040000,0.040000,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,0.00151634,4.57764e-05,0.160796,8.34465e-06,0.00182152,1.3113e-05,0.00634789,0.170549,1,1,
3,0.060000,0.060000,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,0.0147347,9.41753e-05,0.175964,9.77516e-06,0.00204372,1.74046e-05,0.00603008,0.198894,1,1,
4,0.080000,0.080000,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,0.0157287,5.24521e-05,0.163552,1.04904e-05,0.00233555,1.83582e-05,0.00585008,0.187547,1,1,
5,0.100000,0.100000,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,0.0117629,5.48363e-05,0.164616,8.82149e-06,0.00109673,1.69277e-05,0.00627065,0.183827,1,1,
6,0.120000,0.120000,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,0.0113282,5.53131e-05,0.165541,1.0252e-05,0.0022285,9.53674e-06,0.00479078,0.183964,1,1,
7,0.140000,0.140000,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,0.0107846,7.51019e-05,0.162666,9.29832e-06,0.00140071,1.12057e-05,0.00484872,0.179795,1,1,
8,0.160000,0.160000,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,0.0144479,5.62668e-05,0.164813,1.0252e-05,0.00161076,9.29832e-06,0.00600195,0.186949,1,1,
9,0.180000,0.180000,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,1.78166113e+09,0.011008,5.29289e-05,0.15809,9.53674e-06,0.00179029,1.66893e-05,0.00501513,0.175983,1,1,
