macro_frame,sim_time,t1w_utc,t2_utc,t3_utc,t_force_utc,seq_ok
0,0.000000,1781661130.152375221,1781661130.152439833,1781661130.311492443,1781661130.311500311,1
1,0.020000,1781661130.318882704,1781661130.318928242,1781661130.477295160,1781661130.477304220,1
2,0.040000,1781661130.485796452,1781661130.485842228,1781661130.646638393,1781661130.646646738,1
3,0.060000,1781661130.669564009,1781661130.669658184,1781661130.845621824,1781661130.845631599,1
4,0.080000,1781661130.869451523,1781661130.869503975,1781661131.033055544,1781661131.033066034,1
5,0.100000,1781661131.053032875,1781661131.053087711,1781661131.217703581,1781661131.217712402,1
6,0.120000,1781661131.236424923,1781661131.236480236,1781661131.402021646,1781661131.402031898,1
7,0.140000,1781661131.419845343,1781661131.419920444,1781661131.582586050,1781661131.582595348,1
8,0.160000,1781661131.603303909,1781661131.603360176,1781661131.768172741,1781661131.768182993,1
9,0.180000,1781661131.786813021,1781661131.786865950,1781661131.944956303,1781661131.944965839,1
10,0.200000,1781661131.953809977,1781661131.953865051,1781661132.112271070,1781661132.112281561,1
11,0.220000,1781661132.120344639,1781661132.120392084,1781661132.278359652,1781661132.278371096,1
12,0.240000,1781661132.287290335,1781661132.287335873,1781661132.445616245,1781661132.445626974,1
13,0.260000,1781661132.454010010,1781661132.454053879,1781661132.612250805,1781661132.612260342,1
14,0.280000,1781661132.637570620,1781661132.637644768,1781661132.801253796,1781661132.801262617,1
15,0.300000,1781661132.821111441,1781661132.821163177,1781661133.009147882,1781661133.009157419,1
16,0.320000,1781661133.021123648,1781661133.021169901,1781661133.210982084,1781661133.210989475,1
17,0.340000,1781661133.221438885,1781661133.221488714,1781661133.411530972,1781661133.411540270,1
18,0.360000,1781661133.421612501,1781661133.421659470,1781661133.610811949,1781661133.610819817,1
19,0.380000,1781661133.621851206,1781661133.621898413,1781661133.811193943,1781661133.811202765,1
20,0.400000,1781661133.821904421,1781661133.821954489,1781661134.012448788,1781661134.012456656,1
21,0.420000,1781661134.021964312,1781661134.022009611,1781661134.211265087,1781661134.211273670,1
22,0.440000,1781661134.222239971,1781661134.222284794,1781661134.413264990,1781661134.413272619,1
23,0.460000,1781661134.472735405,1781661134.472782373,1781661134.664331436,1781661134.664341688,1
24,0.480000,1781661134.689382076,1781661134.689434767,1781661134.880264282,1781661134.880272865,1
25,0.500000,1781661134.889504433,1781661134.889552593,1781661135.080227137,1781661135.080237389,1
26,0.520000,1781661135.089516401,1781661135.089566231,1781661135.279606342,1781661135.279613972,1
27,0.540000,1781661135.289750099,1781661135.289795637,1781661135.480420113,1781661135.480430126,1
28,0.560000,1781661135.489858389,1781661135.489904881,1781661135.680782080,1781661135.680791616,1
29,0.580000,1781661135.690016508,1781661135.690059662,1781661135.880606174,1781661135.880616426,1
