macro_frame,sim_time_mjc,sim_time_xpbd,t1_utc,t1w_utc,t2_utc,t3_utc,t_force_utc,t4_utc,t_step_utc,t1_next_utc,dt_t1_t1w,dt_t1w_t2,dt_t2_t3,dt_t3_tforce,dt_tforce_t4,dt_t4_tstep,dt_tstep_t1next,dt_t1_t1next,cycle_order_ok,paired,note
0,0.000000,0.000000,1781247002.171984911,1781247002.913261175,1781247002.913696527,1781247003.000037193,1781247003.000043154,1781247003.001016855,1781247003.001036644,1781247003.003511906,0.741276,0.000435,0.086341,0.000006,0.000974,0.000020,0.002475,0.831527,1,1,
1,0.020000,0.020000,1781247003.003511906,1781247003.013287067,1781247003.013613462,1781247003.113008499,1781247003.113016367,1781247003.114503860,1781247003.114524603,1781247003.116716862,0.009775,0.000326,0.099395,0.000008,0.001487,0.000021,0.002192,0.113205,1,1,
2,0.040000,0.040000,1781247003.116716862,1781247003.130311251,1781247003.130749941,1781247003.246867180,1781247003.246874332,1781247003.247504473,1781247003.247522593,1781247003.249986410,0.013594,0.000439,0.116117,0.000007,0.000630,0.000018,0.002464,0.133270,1,1,
3,0.060000,0.060000,1781247003.249986410,1781247003.263547897,1781247003.263945818,1781247003.381417274,1781247003.381424665,1781247003.382484436,1781247003.382501602,1781247003.384793520,0.013561,0.000398,0.117471,0.000007,0.001060,0.000017,0.002292,0.134807,1,1,
4,0.080000,0.080000,1781247003.384793520,1781247003.397032738,1781247003.397456408,1781247003.516603470,1781247003.516610622,1781247003.518871784,1781247003.518889666,1781247003.522310972,0.012239,0.000424,0.119147,0.000007,0.002261,0.000018,0.003421,0.137517,1,1,
5,0.100000,0.100000,1781247003.522310972,1781247003.530413389,1781247003.531018734,1781247003.644837141,1781247003.644844532,1781247003.646367073,1781247003.646385431,1781247003.648583651,0.008102,0.000605,0.113818,0.000007,0.001523,0.000018,0.002198,0.126273,1,1,
6,0.120000,0.120000,1781247003.648583651,1781247003.663915634,1781247003.664572001,1781247003.782467842,1781247003.782474995,1781247003.783832550,1781247003.783851624,1781247003.787345409,0.015332,0.000656,0.117896,0.000007,0.001358,0.000019,0.003494,0.138762,1,1,
7,0.140000,0.140000,1781247003.787345409,1781247003.797224045,1781247003.797717333,1781247003.911216736,1781247003.911224365,1781247003.912442923,1781247003.912454605,1781247003.914311647,0.009879,0.000493,0.113499,0.000008,0.001219,0.000012,0.001857,0.126966,1,1,
8,0.160000,0.160000,1781247003.914311647,1781247003.930759430,1781247003.931279659,1781247004.044160604,1781247004.044168711,1781247004.045575142,1781247004.045586586,1781247004.048042297,0.016448,0.000520,0.112881,0.000008,0.001406,0.000011,0.002456,0.133731,1,1,
9,0.180000,0.180000,1781247004.048042297,1781247004.064170837,1781247004.064712048,1781247004.178499699,1781247004.178506613,1781247004.179653883,1781247004.179672480,1781247004.183239698,0.016129,0.000541,0.113788,0.000007,0.001147,0.000019,0.003567,0.135197,1,1,
10,0.200000,0.200000,1781247004.183239698,1781247004.197576523,1781247004.198157310,1781247004.311062336,1781247004.311069489,1781247004.313232183,1781247004.313252211,1781247004.316590786,0.014337,0.000581,0.112905,0.000007,0.002163,0.000020,0.003339,0.133351,1,1,
11,0.220000,0.220000,1781247004.316590786,1781247004.331059456,1781247004.331666231,1781247004.444298506,1781247004.444306135,1781247004.446452618,1781247004.446469784,1781247004.449962854,0.014469,0.000607,0.112632,0.000008,0.002146,0.000017,0.003493,0.133372,1,1,
12,0.240000,0.240000,1781247004.449962854,1781247004.464576721,1781247004.465478420,1781247004.583282709,1781247004.583290100,1781247004.584395170,1781247004.584414721,1781247004.588006735,0.014614,0.000902,0.117804,0.000007,0.001105,0.000020,0.003592,0.138044,1,1,
13,0.260000,0.260000,1781247004.588006735,1781247004.597975016,1781247004.598624229,1781247004.712177515,1781247004.712185383,1781247004.714286327,1781247004.714297771,1781247004.716264963,0.009968,0.000649,0.113553,0.000008,0.002101,0.000011,0.001967,0.128258,1,1,
14,0.280000,0.280000,1781247004.716264963,1781247004.731372595,1781247004.732075930,1781247004.846410990,1781247004.846418619,1781247004.848339796,1781247004.848358393,1781247004.850472450,0.015108,0.000703,0.114335,0.000008,0.001921,0.000019,0.002114,0.134207,1,1,
