macro_frame,sim_time,mjc_seq_packet_a,xpbd_seq_packet_b,xpbd_macro_step_after_recv,seq_match,packet_a_eq_b,unit_count_a,unit_count_b,n_mismatch,first_mismatch_object_id,detail
0,0.000000,0,0,0,1,1,28,28,0,,ok
1,0.020000,1,1,1,1,1,28,28,0,,ok
2,0.040000,2,2,2,1,1,28,28,0,,ok
3,0.060000,3,3,3,1,1,28,28,0,,ok
4,0.080000,4,4,4,1,1,28,28,0,,ok
5,0.100000,5,5,5,1,1,28,28,0,,ok
6,0.120000,6,6,6,1,1,28,28,0,,ok
7,0.140000,7,7,7,1,1,28,28,0,,ok
8,0.160000,8,8,8,1,1,28,28,0,,ok
9,0.180000,9,9,9,1,1,28,28,0,,ok
10,0.200000,10,10,10,1,1,28,28,0,,ok
11,0.220000,11,11,11,1,1,28,28,0,,ok
12,0.240000,12,12,12,1,1,28,28,0,,ok
13,0.260000,13,13,13,1,1,28,28,0,,ok
14,0.280000,14,14,14,1,1,28,28,0,,ok
15,0.300000,15,15,15,1,1,28,28,0,,ok
16,0.320000,16,16,16,1,1,28,28,0,,ok
17,0.340000,17,17,17,1,1,28,28,0,,ok
18,0.360000,18,18,18,1,1,28,28,0,,ok
19,0.380000,19,19,19,1,1,28,28,0,,ok
20,0.400000,20,20,20,1,1,28,28,0,,ok
21,0.420000,21,21,21,1,1,28,28,0,,ok
22,0.440000,22,22,22,1,1,28,28,0,,ok
23,0.460000,23,23,23,1,1,28,28,0,,ok
24,0.480000,24,24,24,1,1,28,28,0,,ok
25,0.500000,25,25,25,1,1,28,28,0,,ok
26,0.520000,26,26,26,1,1,28,28,0,,ok
27,0.540000,27,27,27,1,1,28,28,0,,ok
28,0.560000,28,28,28,1,1,28,28,0,,ok
29,0.580000,29,29,29,1,1,28,28,0,,ok
30,0.600000,30,30,30,1,1,28,28,0,,ok
31,0.620000,31,31,31,1,1,28,28,0,,ok
32,0.640000,32,32,32,1,1,28,28,0,,ok
33,0.660000,33,33,33,1,1,28,28,0,,ok
34,0.680000,34,34,34,1,1,28,28,0,,ok
35,0.700000,35,35,35,1,1,28,28,0,,ok
36,0.720000,36,36,36,1,1,28,28,0,,ok
37,0.740000,37,37,37,1,1,28,28,0,,ok
38,0.760000,38,38,38,1,1,28,28,0,,ok
39,0.780000,39,39,39,1,1,28,28,0,,ok
40,0.800000,40,40,40,1,1,28,28,0,,ok
41,0.820000,41,41,41,1,1,28,28,0,,ok
42,0.840000,42,42,42,1,1,28,28,0,,ok
43,0.860000,43,43,43,1,1,28,28,0,,ok
44,0.880000,44,44,44,1,1,28,28,0,,ok
45,0.900000,45,45,45,1,1,28,28,0,,ok
46,0.920000,46,46,46,1,1,28,28,0,,ok
47,0.940000,47,47,47,1,1,28,28,0,,ok
48,0.960000,48,48,48,1,1,28,28,0,,ok
49,0.980000,49,49,49,1,1,28,28,0,,ok
50,1.000000,50,50,50,1,1,28,28,0,,ok
51,1.019999,51,51,51,1,1,28,28,0,,ok
52,1.039999,52,52,52,1,1,28,28,0,,ok
53,1.059999,53,53,53,1,1,28,28,0,,ok
54,1.079999,54,54,54,1,1,28,28,0,,ok
55,1.099999,55,55,55,1,1,28,28,0,,ok
56,1.119999,56,56,56,1,1,28,28,0,,ok
57,1.139999,57,57,57,1,1,28,28,0,,ok
58,1.159999,58,58,58,1,1,28,28,0,,ok
59,1.179999,59,59,59,1,1,28,28,0,,ok
60,1.199999,60,60,60,1,1,28,28,0,,ok
61,1.219999,61,61,61,1,1,28,28,0,,ok
62,1.239999,62,62,62,1,1,28,28,0,,ok
63,1.259999,63,63,63,1,1,28,28,0,,ok
64,1.279999,64,64,64,1,1,28,28,0,,ok
65,1.299999,65,65,65,1,1,28,28,0,,ok
66,1.319999,66,66,66,1,1,28,28,0,,ok
67,1.339999,67,67,67,1,1,28,28,0,,ok
68,1.359999,68,68,68,1,1,28,28,0,,ok
69,1.379999,69,69,69,1,1,28,28,0,,ok
70,1.399999,70,70,70,1,1,28,28,0,,ok
71,1.419999,71,71,71,1,1,28,28,0,,ok
72,1.439999,72,72,72,1,1,28,28,0,,ok
73,1.459999,73,73,73,1,1,28,28,0,,ok
74,1.479999,74,74,74,1,1,28,28,0,,ok
75,1.499999,75,75,75,1,1,28,28,0,,ok
76,1.519999,76,76,76,1,1,28,28,0,,ok
77,1.539999,77,77,77,1,1,28,28,0,,ok
78,1.559999,78,78,78,1,1,28,28,0,,ok
79,1.579999,79,79,79,1,1,28,28,0,,ok
80,1.599999,80,80,80,1,1,28,28,0,,ok
81,1.619999,81,81,81,1,1,28,28,0,,ok
82,1.639999,82,82,82,1,1,28,28,0,,ok
83,1.659999,83,83,83,1,1,28,28,0,,ok
84,1.679999,84,84,84,1,1,28,28,0,,ok
85,1.699999,85,85,85,1,1,28,28,0,,ok
86,1.719999,86,86,86,1,1,28,28,0,,ok
87,1.739999,87,87,87,1,1,28,28,0,,ok
88,1.759999,88,88,88,1,1,28,28,0,,ok
89,1.779999,89,89,89,1,1,28,28,0,,ok
90,1.799999,90,90,90,1,1,28,28,0,,ok
91,1.819999,91,91,91,1,1,28,28,0,,ok
92,1.839999,92,92,92,1,1,28,28,0,,ok
93,1.859999,93,93,93,1,1,28,28,0,,ok
94,1.879999,94,94,94,1,1,28,28,0,,ok
95,1.899999,95,95,95,1,1,28,28,0,,ok
96,1.919999,96,96,96,1,1,28,28,0,,ok
97,1.939999,97,97,97,1,1,28,28,0,,ok
98,1.959999,98,98,98,1,1,28,28,0,,ok
99,1.979999,99,99,99,1,1,28,28,0,,ok
100,1.999999,100,100,100,1,1,28,28,0,,ok
101,2.019999,101,101,101,1,1,28,28,0,,ok
102,2.039999,102,102,102,1,1,28,28,0,,ok
103,2.059999,103,103,103,1,1,28,28,0,,ok
104,2.079999,104,104,104,1,1,28,28,0,,ok
105,2.099999,105,105,105,1,1,28,28,0,,ok
106,2.119999,106,106,106,1,1,28,28,0,,ok
107,2.139999,107,107,107,1,1,28,28,0,,ok
108,2.159999,108,108,108,1,1,28,28,0,,ok
109,2.179999,109,109,109,1,1,28,28,0,,ok
110,2.199999,110,110,110,1,1,28,28,0,,ok
111,2.219999,111,111,111,1,1,28,28,0,,ok
112,2.239999,112,112,112,1,1,28,28,0,,ok
113,2.259999,113,113,113,1,1,28,28,0,,ok
114,2.279999,114,114,114,1,1,28,28,0,,ok
115,2.299999,115,115,115,1,1,28,28,0,,ok
116,2.319999,116,116,116,1,1,28,28,0,,ok
117,2.339999,117,117,117,1,1,28,28,0,,ok
118,2.359999,118,118,118,1,1,28,28,0,,ok
119,2.379999,119,119,119,1,1,28,28,0,,ok
120,2.399999,120,120,120,1,1,28,28,0,,ok
121,2.419999,121,121,121,1,1,28,28,0,,ok
122,2.439999,122,122,122,1,1,28,28,0,,ok
123,2.459999,123,123,123,1,1,28,28,0,,ok
124,2.479999,124,124,124,1,1,28,28,0,,ok
125,2.499999,125,125,125,1,1,28,28,0,,ok
126,2.519999,126,126,126,1,1,28,28,0,,ok
127,2.539999,127,127,127,1,1,28,28,0,,ok
128,2.559999,128,128,128,1,1,28,28,0,,ok
129,2.579999,129,129,129,1,1,28,28,0,,ok
130,2.599999,130,130,130,1,1,28,28,0,,ok
131,2.619999,131,131,131,1,1,28,28,0,,ok
132,2.639999,132,132,132,1,1,28,28,0,,ok
133,2.659999,133,133,133,1,1,28,28,0,,ok
134,2.679999,134,134,134,1,1,28,28,0,,ok
135,2.699999,135,135,135,1,1,28,28,0,,ok
136,2.719999,136,136,136,1,1,28,28,0,,ok
137,2.739999,137,137,137,1,1,28,28,0,,ok
138,2.759999,138,138,138,1,1,28,28,0,,ok
139,2.779999,139,139,139,1,1,28,28,0,,ok
140,2.799999,140,140,140,1,1,28,28,0,,ok
141,2.819999,141,141,141,1,1,28,28,0,,ok
142,2.839999,142,142,142,1,1,28,28,0,,ok
143,2.859999,143,143,143,1,1,28,28,0,,ok
144,2.879999,144,144,144,1,1,28,28,0,,ok
145,2.899999,145,145,145,1,1,28,28,0,,ok
146,2.919999,146,146,146,1,1,28,28,0,,ok
147,2.939999,147,147,147,1,1,28,28,0,,ok
148,2.959999,148,148,148,1,1,28,28,0,,ok
149,2.979999,149,149,149,1,1,28,28,0,,ok
150,2.999999,150,150,150,1,1,28,28,0,,ok
151,3.019999,151,151,151,1,1,28,28,0,,ok
152,3.039999,152,152,152,1,1,28,28,0,,ok
153,3.059999,153,153,153,1,1,28,28,0,,ok
154,3.079999,154,154,154,1,1,28,28,0,,ok
155,3.099999,155,155,155,1,1,28,28,0,,ok
156,3.119999,156,156,156,1,1,28,28,0,,ok
157,3.139999,157,157,157,1,1,28,28,0,,ok
158,3.159999,158,158,158,1,1,28,28,0,,ok
159,3.179999,159,159,159,1,1,28,28,0,,ok
160,3.199999,160,160,160,1,1,28,28,0,,ok
161,3.219999,161,161,161,1,1,28,28,0,,ok
162,3.239999,162,162,162,1,1,28,28,0,,ok
163,3.259999,163,163,163,1,1,28,28,0,,ok
164,3.279999,164,164,164,1,1,28,28,0,,ok
165,3.299999,165,165,165,1,1,28,28,0,,ok
166,3.319999,166,166,166,1,1,28,28,0,,ok
167,3.339999,167,167,167,1,1,28,28,0,,ok
168,3.359999,168,168,168,1,1,28,28,0,,ok
169,3.379999,169,169,169,1,1,28,28,0,,ok
170,3.399999,170,170,170,1,1,28,28,0,,ok
171,3.419999,171,171,171,1,1,28,28,0,,ok
172,3.439999,172,172,172,1,1,28,28,0,,ok
173,3.459999,173,173,173,1,1,28,28,0,,ok
174,3.479999,174,174,174,1,1,28,28,0,,ok
175,3.499999,175,175,175,1,1,28,28,0,,ok
176,3.519999,176,176,176,1,1,28,28,0,,ok
177,3.539999,177,177,177,1,1,28,28,0,,ok
178,3.559999,178,178,178,1,1,28,28,0,,ok
179,3.579999,179,179,179,1,1,28,28,0,,ok
180,3.599999,180,180,180,1,1,28,28,0,,ok
181,3.619999,181,181,181,1,1,28,28,0,,ok
182,3.639999,182,182,182,1,1,28,28,0,,ok
183,3.659999,183,183,183,1,1,28,28,0,,ok
184,3.679999,184,184,184,1,1,28,28,0,,ok
185,3.699999,185,185,185,1,1,28,28,0,,ok
186,3.719999,186,186,186,1,1,28,28,0,,ok
187,3.739999,187,187,187,1,1,28,28,0,,ok
188,3.759999,188,188,188,1,1,28,28,0,,ok
189,3.779999,189,189,189,1,1,28,28,0,,ok
190,3.799999,190,190,190,1,1,28,28,0,,ok
191,3.819999,191,191,191,1,1,28,28,0,,ok
192,3.839999,192,192,192,1,1,28,28,0,,ok
193,3.859999,193,193,193,1,1,28,28,0,,ok
194,3.879999,194,194,194,1,1,28,28,0,,ok
195,3.899999,195,195,195,1,1,28,28,0,,ok
196,3.919999,196,196,196,1,1,28,28,0,,ok
197,3.939999,197,197,197,1,1,28,28,0,,ok
198,3.959999,198,198,198,1,1,28,28,0,,ok
199,3.979999,199,199,199,1,1,28,28,0,,ok
200,3.999999,200,200,200,1,1,28,28,0,,ok
201,4.019999,201,201,201,1,1,28,28,0,,ok
202,4.039999,202,202,202,1,1,28,28,0,,ok
203,4.059999,203,203,203,1,1,28,28,0,,ok
204,4.079999,204,204,204,1,1,28,28,0,,ok
205,4.099999,205,205,205,1,1,28,28,0,,ok
206,4.119999,206,206,206,1,1,28,28,0,,ok
207,4.139999,207,207,207,1,1,28,28,0,,ok
208,4.159999,208,208,208,1,1,28,28,0,,ok
209,4.179999,209,209,209,1,1,28,28,0,,ok
210,4.199999,210,210,210,1,1,28,28,0,,ok
211,4.219999,211,211,211,1,1,28,28,0,,ok
212,4.239999,212,212,212,1,1,28,28,0,,ok
213,4.259999,213,213,213,1,1,28,28,0,,ok
214,4.279999,214,214,214,1,1,28,28,0,,ok
215,4.299999,215,215,215,1,1,28,28,0,,ok
216,4.319999,216,216,216,1,1,28,28,0,,ok
217,4.339999,217,217,217,1,1,28,28,0,,ok
218,4.359999,218,218,218,1,1,28,28,0,,ok
219,4.379999,219,219,219,1,1,28,28,0,,ok
220,4.399999,220,220,220,1,1,28,28,0,,ok
221,4.419999,221,221,221,1,1,28,28,0,,ok
222,4.439999,222,222,222,1,1,28,28,0,,ok
223,4.459999,223,223,223,1,1,28,28,0,,ok
224,4.479999,224,224,224,1,1,28,28,0,,ok
225,4.499999,225,225,225,1,1,28,28,0,,ok
226,4.519999,226,226,226,1,1,28,28,0,,ok
227,4.539999,227,227,227,1,1,28,28,0,,ok
228,4.559999,228,228,228,1,1,28,28,0,,ok
229,4.579999,229,229,229,1,1,28,28,0,,ok
230,4.599999,230,230,230,1,1,28,28,0,,ok
231,4.619999,231,231,231,1,1,28,28,0,,ok
232,4.639999,232,232,232,1,1,28,28,0,,ok
233,4.659999,233,233,233,1,1,28,28,0,,ok
234,4.679999,234,234,234,1,1,28,28,0,,ok
235,4.699999,235,235,235,1,1,28,28,0,,ok
236,4.719999,236,236,236,1,1,28,28,0,,ok
237,4.739999,237,237,237,1,1,28,28,0,,ok
238,4.759999,238,238,238,1,1,28,28,0,,ok
239,4.779999,239,239,239,1,1,28,28,0,,ok
240,4.799999,240,240,240,1,1,28,28,0,,ok
241,4.819999,241,241,241,1,1,28,28,0,,ok
242,4.839999,242,242,242,1,1,28,28,0,,ok
243,4.859999,243,243,243,1,1,28,28,0,,ok
244,4.879999,244,244,244,1,1,28,28,0,,ok
245,4.899999,245,245,245,1,1,28,28,0,,ok
246,4.919999,246,246,246,1,1,28,28,0,,ok
247,4.939999,247,247,247,1,1,28,28,0,,ok
248,4.959999,248,248,248,1,1,28,28,0,,ok
249,4.979999,249,249,249,1,1,28,28,0,,ok
250,5.000000,250,250,250,1,1,28,28,0,,ok
251,5.020000,251,251,251,1,1,28,28,0,,ok
252,5.040000,252,252,252,1,1,28,28,0,,ok
253,5.060000,253,253,253,1,1,28,28,0,,ok
254,5.080000,254,254,254,1,1,28,28,0,,ok
255,5.100000,255,255,255,1,1,28,28,0,,ok
256,5.120000,256,256,256,1,1,28,28,0,,ok
257,5.140000,257,257,257,1,1,28,28,0,,ok
258,5.160000,258,258,258,1,1,28,28,0,,ok
259,5.180000,259,259,259,1,1,28,28,0,,ok
260,5.200000,260,260,260,1,1,28,28,0,,ok
261,5.220000,261,261,261,1,1,28,28,0,,ok
262,5.240000,262,262,262,1,1,28,28,0,,ok
263,5.260000,263,263,263,1,1,28,28,0,,ok
264,5.280000,264,264,264,1,1,28,28,0,,ok
265,5.300000,265,265,265,1,1,28,28,0,,ok
266,5.320000,266,266,266,1,1,28,28,0,,ok
267,5.340000,267,267,267,1,1,28,28,0,,ok
268,5.360000,268,268,268,1,1,28,28,0,,ok
269,5.380000,269,269,269,1,1,28,28,0,,ok
270,5.400000,270,270,270,1,1,28,28,0,,ok
271,5.420000,271,271,271,1,1,28,28,0,,ok
272,5.440000,272,272,272,1,1,28,28,0,,ok
273,5.460000,273,273,273,1,1,28,28,0,,ok
274,5.480000,274,274,274,1,1,28,28,0,,ok
275,5.500000,275,275,275,1,1,28,28,0,,ok
276,5.520000,276,276,276,1,1,28,28,0,,ok
277,5.540000,277,277,277,1,1,28,28,0,,ok
278,5.560000,278,278,278,1,1,28,28,0,,ok
279,5.580000,279,279,279,1,1,28,28,0,,ok
280,5.600000,280,280,280,1,1,28,28,0,,ok
281,5.620000,281,281,281,1,1,28,28,0,,ok
282,5.640000,282,282,282,1,1,28,28,0,,ok
283,5.660000,283,283,283,1,1,28,28,0,,ok
284,5.680000,284,284,284,1,1,28,28,0,,ok
285,5.700000,285,285,285,1,1,28,28,0,,ok
286,5.720000,286,286,286,1,1,28,28,0,,ok
287,5.740000,287,287,287,1,1,28,28,0,,ok
288,5.760000,288,288,288,1,1,28,28,0,,ok
289,5.780000,289,289,289,1,1,28,28,0,,ok
290,5.800000,290,290,290,1,1,28,28,0,,ok
291,5.820000,291,291,291,1,1,28,28,0,,ok
292,5.840000,292,292,292,1,1,28,28,0,,ok
293,5.860000,293,293,293,1,1,28,28,0,,ok
294,5.880000,294,294,294,1,1,28,28,0,,ok
295,5.900000,295,295,295,1,1,28,28,0,,ok
296,5.920000,296,296,296,1,1,28,28,0,,ok
297,5.940000,297,297,297,1,1,28,28,0,,ok
298,5.960000,298,298,298,1,1,28,28,0,,ok
299,5.980000,299,299,299,1,1,28,28,0,,ok
300,6.000000,300,300,300,1,1,28,28,0,,ok
301,6.020000,301,301,301,1,1,28,28,0,,ok
302,6.040000,302,302,302,1,1,28,28,0,,ok
303,6.060000,303,303,303,1,1,28,28,0,,ok
304,6.080000,304,304,304,1,1,28,28,0,,ok
305,6.100000,305,305,305,1,1,28,28,0,,ok
306,6.120000,306,306,306,1,1,28,28,0,,ok
307,6.140000,307,307,307,1,1,28,28,0,,ok
308,6.160000,308,308,308,1,1,28,28,0,,ok
309,6.180000,309,309,309,1,1,28,28,0,,ok
310,6.200000,310,310,310,1,1,28,28,0,,ok
311,6.220000,311,311,311,1,1,28,28,0,,ok
312,6.240000,312,312,312,1,1,28,28,0,,ok
313,6.260000,313,313,313,1,1,28,28,0,,ok
314,6.280000,314,314,314,1,1,28,28,0,,ok
315,6.300000,315,315,315,1,1,28,28,0,,ok
316,6.320000,316,316,316,1,1,28,28,0,,ok
317,6.340000,317,317,317,1,1,28,28,0,,ok
318,6.360000,318,318,318,1,1,28,28,0,,ok
319,6.380000,319,319,319,1,1,28,28,0,,ok
320,6.400000,320,320,320,1,1,28,28,0,,ok
321,6.420000,321,321,321,1,1,28,28,0,,ok
322,6.440000,322,322,322,1,1,28,28,0,,ok
323,6.460000,323,323,323,1,1,28,28,0,,ok
324,6.480000,324,324,324,1,1,28,28,0,,ok
325,6.500000,325,325,325,1,1,28,28,0,,ok
326,6.520000,326,326,326,1,1,28,28,0,,ok
327,6.540000,327,327,327,1,1,28,28,0,,ok
328,6.560000,328,328,328,1,1,28,28,0,,ok
329,6.580000,329,329,329,1,1,28,28,0,,ok
330,6.600000,330,330,330,1,1,28,28,0,,ok
331,6.620000,331,331,331,1,1,28,28,0,,ok
332,6.640000,332,332,332,1,1,28,28,0,,ok
333,6.660000,333,333,333,1,1,28,28,0,,ok
334,6.680000,334,334,334,1,1,28,28,0,,ok
335,6.700000,335,335,335,1,1,28,28,0,,ok
336,6.720000,336,336,336,1,1,28,28,0,,ok
337,6.740000,337,337,337,1,1,28,28,0,,ok
338,6.760000,338,338,338,1,1,28,28,0,,ok
339,6.780000,339,339,339,1,1,28,28,0,,ok
340,6.800000,340,340,340,1,1,28,28,0,,ok
341,6.820000,341,341,341,1,1,28,28,0,,ok
342,6.840000,342,342,342,1,1,28,28,0,,ok
343,6.860000,343,343,343,1,1,28,28,0,,ok
344,6.880000,344,344,344,1,1,28,28,0,,ok
345,6.900000,345,345,345,1,1,28,28,0,,ok
346,6.920000,346,346,346,1,1,28,28,0,,ok
347,6.940000,347,347,347,1,1,28,28,0,,ok
348,6.960000,348,348,348,1,1,28,28,0,,ok
349,6.980000,349,349,349,1,1,28,28,0,,ok
350,7.000000,350,350,350,1,1,28,28,0,,ok
351,7.020000,351,351,351,1,1,28,28,0,,ok
352,7.040000,352,352,352,1,1,28,28,0,,ok
353,7.060000,353,353,353,1,1,28,28,0,,ok
354,7.080000,354,354,354,1,1,28,28,0,,ok
355,7.100000,355,355,355,1,1,28,28,0,,ok
356,7.120000,356,356,356,1,1,28,28,0,,ok
357,7.140000,357,357,357,1,1,28,28,0,,ok
358,7.160000,358,358,358,1,1,28,28,0,,ok
359,7.180000,359,359,359,1,1,28,28,0,,ok
360,7.200000,360,360,360,1,1,28,28,0,,ok
361,7.220000,361,361,361,1,1,28,28,0,,ok
362,7.240000,362,362,362,1,1,28,28,0,,ok
363,7.260000,363,363,363,1,1,28,28,0,,ok
364,7.280000,364,364,364,1,1,28,28,0,,ok
365,7.300000,365,365,365,1,1,28,28,0,,ok
366,7.320000,366,366,366,1,1,28,28,0,,ok
367,7.340000,367,367,367,1,1,28,28,0,,ok
368,7.360000,368,368,368,1,1,28,28,0,,ok
369,7.380000,369,369,369,1,1,28,28,0,,ok
370,7.400000,370,370,370,1,1,28,28,0,,ok
371,7.420000,371,371,371,1,1,28,28,0,,ok
372,7.440000,372,372,372,1,1,28,28,0,,ok
373,7.460000,373,373,373,1,1,28,28,0,,ok
374,7.480000,374,374,374,1,1,28,28,0,,ok
375,7.500000,375,375,375,1,1,28,28,0,,ok
376,7.520000,376,376,376,1,1,28,28,0,,ok
377,7.540000,377,377,377,1,1,28,28,0,,ok
378,7.560000,378,378,378,1,1,28,28,0,,ok
379,7.580000,379,379,379,1,1,28,28,0,,ok
380,7.600000,380,380,380,1,1,28,28,0,,ok
381,7.620000,381,381,381,1,1,28,28,0,,ok
382,7.640000,382,382,382,1,1,28,28,0,,ok
383,7.660000,383,383,383,1,1,28,28,0,,ok
384,7.680000,384,384,384,1,1,28,28,0,,ok
385,7.700000,385,385,385,1,1,28,28,0,,ok
386,7.720000,386,386,386,1,1,28,28,0,,ok
387,7.740000,387,387,387,1,1,28,28,0,,ok
388,7.760000,388,388,388,1,1,28,28,0,,ok
389,7.780000,389,389,389,1,1,28,28,0,,ok
390,7.800000,390,390,390,1,1,28,28,0,,ok
391,7.820000,391,391,391,1,1,28,28,0,,ok
392,7.840000,392,392,392,1,1,28,28,0,,ok
393,7.860000,393,393,393,1,1,28,28,0,,ok
394,7.880000,394,394,394,1,1,28,28,0,,ok
395,7.900000,395,395,395,1,1,28,28,0,,ok
396,7.920000,396,396,396,1,1,28,28,0,,ok
397,7.940000,397,397,397,1,1,28,28,0,,ok
398,7.960000,398,398,398,1,1,28,28,0,,ok
399,7.980000,399,399,399,1,1,28,28,0,,ok
400,8.000000,400,400,400,1,1,28,28,0,,ok
401,8.020000,401,401,401,1,1,28,28,0,,ok
402,8.040000,402,402,402,1,1,28,28,0,,ok
403,8.060000,403,403,403,1,1,28,28,0,,ok
404,8.080000,404,404,404,1,1,28,28,0,,ok
405,8.100000,405,405,405,1,1,28,28,0,,ok
406,8.120000,406,406,406,1,1,28,28,0,,ok
407,8.140000,407,407,407,1,1,28,28,0,,ok
408,8.160000,408,408,408,1,1,28,28,0,,ok
409,8.180000,409,409,409,1,1,28,28,0,,ok
410,8.200000,410,410,410,1,1,28,28,0,,ok
411,8.220000,411,411,411,1,1,28,28,0,,ok
412,8.240000,412,412,412,1,1,28,28,0,,ok
413,8.260000,413,413,413,1,1,28,28,0,,ok
