macro_frame,sim_time_mjc,sim_time_xpbd,t1_utc,t1w_utc,t2_utc,t3_utc,t_force_utc,t4_utc,t_step_utc,t1_next_utc,dt_t1_t1w,dt_t1w_t2,dt_t2_t3,dt_t3_tforce,dt_tforce_t4,dt_t4_tstep,dt_tstep_t1next,dt_t1_t1next,cycle_order_ok,paired,note
0,0.000000,0.000000,1781659062.376819372,1781659062.385016680,1781659062.385104418,1781659062.530777454,1781659062.530785084,1781659062.532294989,1781659062.532308578,1781659062.537812948,0.008197,0.000088,0.145673,0.000008,0.001510,0.000014,0.005504,0.160994,1,1,
1,0.020000,0.020000,1781659062.537812948,1781659062.551927567,1781659062.551977158,1781659062.694818497,1781659062.694828033,1781659062.695679426,1781659062.695692539,1781659062.700759888,0.014115,0.000050,0.142841,0.000010,0.000851,0.000013,0.005067,0.162947,1,1,
2,0.040000,0.040000,1781659062.700759888,1781659062.701863050,1781659062.701906204,1781659062.845016479,1781659062.845024824,1781659062.847133398,1781659062.847151279,1781659062.855776548,0.001103,0.000043,0.143110,0.000008,0.002109,0.000018,0.008625,0.155017,1,1,
3,0.060000,0.060000,1781659062.855776548,1781659062.868888617,1781659062.868953943,1781659063.014863729,1781659063.014873266,1781659063.016073227,1781659063.016083717,1781659063.020869970,0.013112,0.000065,0.145910,0.000010,0.001200,0.000010,0.004786,0.165093,1,1,
4,0.080000,0.080000,1781659063.020869970,1781659063.035575151,1781659063.035640717,1781659063.184410095,1781659063.184417725,1781659063.186158895,1781659063.186176300,1781659063.192160845,0.014705,0.000066,0.148769,0.000008,0.001741,0.000017,0.005985,0.171291,1,1,
5,0.100000,0.100000,1781659063.192160845,1781659063.202284336,1781659063.202348948,1781659063.349638462,1781659063.349647760,1781659063.350944281,1781659063.350963354,1781659063.355816126,0.010123,0.000065,0.147290,0.000009,0.001297,0.000019,0.004853,0.163655,1,1,
6,0.120000,0.120000,1781659063.355816126,1781659063.369277477,1781659063.369353294,1781659063.520015955,1781659063.520023584,1781659063.521347523,1781659063.521373034,1781659063.526672125,0.013461,0.000076,0.150663,0.000008,0.001324,0.000026,0.005299,0.170856,1,1,
7,0.140000,0.140000,1781659063.526672125,1781659063.535905600,1781659063.535955191,1781659063.681679010,1781659063.681688309,1781659063.683186293,1781659063.683204174,1781659063.687970161,0.009233,0.000050,0.145724,0.000009,0.001498,0.000018,0.004766,0.161298,1,1,
8,0.160000,0.160000,1781659063.687970161,1781659063.702735186,1781659063.702809572,1781659063.846780777,1781659063.846788645,1781659063.849154234,1781659063.849171400,1781659063.855914593,0.014765,0.000074,0.143971,0.000008,0.002366,0.000017,0.006743,0.167944,1,1,
9,0.180000,0.180000,1781659063.855914593,1781659063.869511843,1781659063.869567156,1781659064.012630463,1781659064.012639523,1781659064.013966322,1781659064.013977766,1781659064.018572330,0.013597,0.000055,0.143063,0.000009,0.001327,0.000011,0.004595,0.162658,1,1,
10,0.200000,0.200000,1781659064.018572330,1781659064.019776106,1781659064.019821405,1781659064.163186789,1781659064.163194418,1781659064.164145231,1781659064.164162874,1781659064.170748234,0.001204,0.000045,0.143365,0.000008,0.000951,0.000018,0.006585,0.152176,1,1,
11,0.220000,0.220000,1781659064.170748234,1781659064.186461210,1781659064.186535120,1781659064.331960201,1781659064.331969738,1781659064.333478689,1781659064.333496094,1781659064.339702606,0.015713,0.000074,0.145425,0.000010,0.001509,0.000017,0.006207,0.168954,1,1,
12,0.240000,0.240000,1781659064.339702606,1781659064.353305817,1781659064.353388548,1781659064.500757933,1781659064.500766039,1781659064.502894163,1781659064.502911568,1781659064.510535240,0.013603,0.000083,0.147369,0.000008,0.002128,0.000017,0.007624,0.170833,1,1,
13,0.260000,0.260000,1781659064.510535240,1781659064.520067692,1781659064.520139456,1781659064.681514263,1781659064.681523085,1781659064.683911085,1781659064.683928728,1781659064.689374924,0.009532,0.000072,0.161375,0.000009,0.002388,0.000018,0.005446,0.178840,1,1,
14,0.280000,0.280000,1781659064.689374924,1781659064.703712702,1781659064.703766584,1781659064.849766254,1781659064.849773884,1781659064.850181341,1781659064.850191593,1781659064.854787827,0.014338,0.000054,0.146000,0.000008,0.000407,0.000010,0.004596,0.165413,1,1,
15,0.300000,0.300000,1781659064.854787827,1781659064.870379686,1781659064.870432615,1781659065.015697002,1781659065.015706062,1781659065.016261816,1781659065.016279459,1781659065.021566868,0.015592,0.000053,0.145264,0.000009,0.000556,0.000018,0.005287,0.166779,1,1,
16,0.320000,0.320000,1781659065.021566868,1781659065.037168980,1781659065.037240505,1781659065.186533451,1781659065.186540842,1781659065.186904669,1781659065.186921358,1781659065.192885876,0.015602,0.000072,0.149293,0.000007,0.000364,0.000017,0.005965,0.171319,1,1,
17,0.340000,0.340000,1781659065.192885876,1781659065.204137564,1781659065.204208612,1781659065.349280119,1781659065.349289179,1781659065.351231575,1781659065.351248741,1781659065.356159210,0.011252,0.000071,0.145072,0.000009,0.001942,0.000017,0.004910,0.163273,1,1,
18,0.360000,0.360000,1781659065.356159210,1781659065.370968580,1781659065.371023655,1781659065.515965700,1781659065.515974045,1781659065.518256664,1781659065.518273830,1781659065.525358677,0.014809,0.000055,0.144942,0.000008,0.002283,0.000017,0.007085,0.169199,1,1,
19,0.380000,0.380000,1781659065.525358677,1781659065.537605524,1781659065.537682295,1781659065.682810545,1781659065.682819843,1781659065.685250521,1781659065.685261011,1781659065.689842701,0.012247,0.000077,0.145128,0.000009,0.002431,0.000010,0.004582,0.164484,1,1,
20,0.400000,0.400000,1781659065.689842701,1781659065.704328537,1781659065.704387188,1781659065.848664761,1781659065.848673105,1781659065.850886345,1781659065.850903988,1781659065.855995893,0.014486,0.000059,0.144278,0.000008,0.002213,0.000018,0.005092,0.166153,1,1,
21,0.420000,0.420000,1781659065.855995893,1781659065.871187449,1781659065.871259451,1781659066.014869928,1781659066.014879227,1781659066.015549898,1781659066.015567303,1781659066.021912575,0.015192,0.000072,0.143610,0.000009,0.000671,0.000017,0.006345,0.165917,1,1,
22,0.440000,0.440000,1781659066.021912575,1781659066.037972450,1781659066.038024426,1781659066.182929516,1781659066.182937384,1781659066.185230255,1781659066.185240507,1781659066.191200018,0.016060,0.000052,0.144905,0.000008,0.002293,0.000010,0.005960,0.169287,1,1,
23,0.460000,0.460000,1781659066.191200018,1781659066.204784870,1781659066.204856634,1781659066.350239992,1781659066.350249290,1781659066.351618290,1781659066.351631165,1781659066.357342482,0.013585,0.000072,0.145383,0.000009,0.001369,0.000013,0.005711,0.166142,1,1,
24,0.480000,0.480000,1781659066.357342482,1781659066.371861696,1781659066.371929407,1781659066.516944170,1781659066.516952038,1781659066.517599583,1781659066.517611504,1781659066.524229050,0.014519,0.000068,0.145015,0.000008,0.000648,0.000012,0.006618,0.166887,1,1,
25,0.500000,0.500000,1781659066.524229050,1781659066.538372755,1781659066.538425922,1781659066.682166815,1781659066.682176352,1781659066.682554722,1781659066.682565689,1781659066.688207388,0.014144,0.000053,0.143741,0.000010,0.000378,0.000011,0.005642,0.163978,1,1,
26,0.520000,0.520000,1781659066.688207388,1781659066.688616276,1781659066.688666821,1781659066.839185715,1781659066.839193583,1781659066.840099335,1781659066.840110302,1781659066.845157623,0.000409,0.000051,0.150519,0.000008,0.000906,0.000011,0.005047,0.156950,1,1,
27,0.540000,0.540000,1781659066.845157623,1781659066.855517149,1781659066.855585575,1781659066.999012947,1781659066.999022961,1781659066.999846935,1781659066.999864101,1781659067.005937576,0.010360,0.000068,0.143427,0.000010,0.000824,0.000017,0.006073,0.160780,1,1,
28,0.560000,0.560000,1781659067.005937576,1781659067.022355318,1781659067.022433281,1781659067.168274164,1781659067.168282509,1781659067.170121193,1781659067.170135975,1781659067.177274704,0.016418,0.000078,0.145841,0.000008,0.001839,0.000015,0.007139,0.171337,1,1,
29,0.580000,0.580000,1781659067.177274704,1781659067.188953400,1781659067.189036846,1781659067.332248688,1781659067.332257748,1781659067.333643913,1781659067.333664179,1781659067.339411736,0.011679,0.000083,0.143212,0.000009,0.001386,0.000020,0.005748,0.162137,1,1,
30,0.600000,0.600000,1781659067.339411736,1781659067.355765343,1781659067.355839968,1781659067.506676912,1781659067.506685019,1781659067.508423567,1781659067.508448839,1781659067.514069557,0.016354,0.000075,0.150837,0.000008,0.001739,0.000025,0.005621,0.174658,1,1,
31,0.620000,0.620000,1781659067.514069557,1781659067.522601128,1781659067.522652864,1781659067.665934324,1781659067.665944338,1781659067.666315317,1781659067.666332960,1781659067.673204660,0.008532,0.000052,0.143281,0.000010,0.000371,0.000018,0.006872,0.159135,1,1,
32,0.640000,0.640000,1781659067.673204660,1781659067.689349651,1781659067.689424753,1781659067.835572958,1781659067.835580826,1781659067.837629080,1781659067.837647200,1781659067.845717430,0.016145,0.000075,0.146148,0.000008,0.002048,0.000018,0.008070,0.172513,1,1,
33,0.660000,0.660000,1781659067.845717430,1781659067.856114149,1781659067.856164455,1781659067.999692917,1781659067.999702930,1781659068.001552343,1781659068.001569748,1781659068.007881403,0.010397,0.000050,0.143528,0.000010,0.001849,0.000017,0.006312,0.162164,1,1,
34,0.680000,0.680000,1781659068.007881403,1781659068.022942066,1781659068.022988796,1781659068.167760611,1781659068.167768478,1781659068.168887138,1781659068.168905020,1781659068.175044060,0.015061,0.000047,0.144772,0.000008,0.001119,0.000018,0.006139,0.167163,1,1,
35,0.700000,0.700000,1781659068.175044060,1781659068.189753056,1781659068.189825058,1781659068.338016987,1781659068.338026524,1781659068.339173079,1781659068.339183569,1781659068.345407963,0.014709,0.000072,0.148192,0.000010,0.001147,0.000010,0.006224,0.170364,1,1,
