macro_frame,sim_time,gripper_state,grip_count,cloth_max_speed_mps,cloth_mean_speed_mps,cloth_com_x,cloth_com_y,cloth_com_z
0,0.000000,Open,0,0.207527,0.201430,-5.11840439,1.66829395,6.94911861
1,0.020000,Open,0,0.407862,0.402838,-5.11840296,1.66218722,6.94911861
2,0.040000,Open,0,0.608301,0.604253,-5.11840391,1.65205443,6.94911766
3,0.060000,Open,0,0.809874,0.805667,-5.11840343,1.63789153,6.94911718
4,0.080000,Open,0,1.016350,1.007086,-5.11840391,1.61970139,6.94911289
5,0.100000,Open,0,1.228389,1.208504,-5.11840200,1.59748220,6.94911861
6,0.120000,Open,0,1.435557,1.409924,-5.11840439,1.57123661,6.94911718
7,0.140000,Open,0,1.629338,1.611343,-5.11840439,1.54095984,6.94911671
8,0.160000,Open,0,1.832888,1.812765,-5.11840630,1.50665712,6.94911718
9,0.180000,Open,0,2.034182,2.014187,-5.11840773,1.46832490,6.94911766
10,0.200000,Open,0,2.238983,2.215607,-5.11840439,1.42596447,6.94912148
11,0.220000,Open,0,2.444725,2.417026,-5.11840582,1.37957644,6.94912148
12,0.240000,Open,0,2.644491,2.618441,-5.11840773,1.32915998,6.94911528
13,0.260000,Open,0,2.844294,2.819857,-5.11840582,1.27471316,6.94911718
14,0.280000,Open,0,3.007364,2.999914,-5.11840296,1.21627307,6.94911385
15,0.300000,Open,0,3.002739,3.000060,-5.11840296,1.15627205,6.94911623
16,0.320000,Open,0,3.002939,3.000054,-5.11840343,1.09627044,6.94911766
17,0.340000,Open,0,3.002745,3.000038,-5.11840105,1.03626943,6.94911432
18,0.360000,Open,0,3.001978,3.000020,-5.11840343,0.97626919,6.94911623
19,0.380000,Open,0,3.002841,2.999998,-5.11840439,0.91626936,6.94911718
20,0.400000,Open,0,3.001979,2.999990,-5.11840630,0.85626978,6.94911766
21,0.420000,Open,0,3.001788,2.999984,-5.11840439,0.79627037,6.94911909
22,0.440000,Open,0,3.002076,2.999976,-5.11840391,0.73627067,6.94912004
23,0.460000,Open,0,3.001884,2.999981,-5.11840534,0.67627078,6.94911957
24,0.480000,Open,0,3.002075,2.999984,-5.11840582,0.61627167,6.94912243
25,0.500000,Open,0,3.002264,2.999990,-5.11840773,0.55627191,6.94911957
26,0.520000,Open,0,3.001980,2.999996,-5.11840868,0.49627218,6.94912100
27,0.540000,Open,0,3.002218,3.000007,-5.11840630,0.43627197,6.94911957
28,0.560000,Open,0,3.002216,3.000011,-5.11840534,0.37627193,6.94911909
29,0.580000,Open,0,3.001978,3.000010,-5.11840630,0.31627172,6.94911623
30,0.600000,Open,0,3.001977,3.000009,-5.11840677,0.25627133,6.94911909
31,0.620000,Open,0,3.364062,2.769988,-5.11840296,0.19882463,6.94872618
32,0.640000,Open,0,3.183929,2.550482,-5.11833286,0.14698951,6.94717216
33,0.660000,Open,0,3.121229,2.369735,-5.11828566,0.09984573,6.94528723
34,0.680000,Open,0,3.308179,1.754235,-5.11840916,0.06229962,6.94221878
35,0.700000,Open,0,3.234565,1.312993,-5.11823225,0.03884126,6.93750477
36,0.720000,Open,0,3.217083,1.004355,-5.11818171,0.02373522,6.93229198
37,0.740000,Open,0,3.228169,0.715944,-5.11816692,0.01466789,6.92794752
38,0.760000,Open,0,3.027486,0.466564,-5.11814213,0.01050014,6.92456245
39,0.780000,Open,0,3.104514,0.336324,-5.11816120,0.00903466,6.92175007
40,0.800000,Open,0,2.112672,0.235769,-5.11809683,0.00803575,6.92000246
41,0.820000,Open,0,0.997001,0.177434,-5.11800289,0.00674126,6.91915464
42,0.840000,Open,0,0.788848,0.133599,-5.11788130,0.00546364,6.91898108
43,0.860000,Open,0,1.065348,0.103848,-5.11772537,0.00421393,6.91908073
44,0.880000,Open,0,0.792549,0.074963,-5.11767054,0.00355720,6.91927767
45,0.900000,Open,0,0.680178,0.052987,-5.11765146,0.00325073,6.91941118
46,0.920000,Open,0,0.374072,0.038303,-5.11759377,0.00313629,6.91937494
47,0.940000,Open,0,0.591802,0.032209,-5.11754751,0.00303710,6.91930676
48,0.960000,Open,0,0.687328,0.032976,-5.11751461,0.00285557,6.91925812
49,0.980000,Open,0,0.548619,0.026758,-5.11749649,0.00274978,6.91921139
50,1.000000,Open,0,0.304717,0.021349,-5.11746979,0.00270692,6.91917419
51,1.020000,Open,0,0.232561,0.018562,-5.11745739,0.00265887,6.91917658
52,1.040000,Open,0,0.223056,0.018021,-5.11744165,0.00257898,6.91919327
53,1.060000,Open,0,0.225395,0.015883,-5.11744022,0.00250120,6.91921425
54,1.080000,Open,0,0.220664,0.013692,-5.11743355,0.00244862,6.91920900
55,1.100000,Open,0,0.218157,0.012827,-5.11742258,0.00242496,6.91920042
56,1.120000,Open,0,0.274456,0.011029,-5.11741257,0.00241362,6.91919756
57,1.140000,Open,0,0.215869,0.010702,-5.11740160,0.00239953,6.91919041
58,1.160000,Open,0,0.214977,0.010634,-5.11738968,0.00237223,6.91919041
59,1.180000,Open,0,0.213831,0.010716,-5.11738300,0.00233686,6.91917229
60,1.200000,Open,0,0.245805,0.011482,-5.11737013,0.00228842,6.91916990
61,1.220000,Open,0,0.214003,0.010058,-5.11736202,0.00226178,6.91915226
62,1.240000,Open,0,0.215128,0.009768,-5.11735201,0.00225387,6.91913986
63,1.260000,Open,0,0.215399,0.009557,-5.11735010,0.00224430,6.91913557
64,1.280000,Open,0,0.235110,0.009967,-5.11734056,0.00222125,6.91912556
65,1.300000,Open,0,0.217567,0.008814,-5.11732769,0.00220239,6.91912794
66,1.320000,Open,0,0.286155,0.009282,-5.11732149,0.00217906,6.91914511
67,1.340000,Open,0,0.376474,0.010272,-5.11731577,0.00215867,6.91916800
68,1.360000,Open,0,0.529523,0.011803,-5.11730909,0.00211987,6.91917944
69,1.380000,Open,0,0.537014,0.011331,-5.11729479,0.00207043,6.91919327
70,1.400000,Open,0,0.540863,0.012396,-5.11728716,0.00201128,6.91920710
71,1.420000,Open,0,0.858119,0.012816,-5.11728096,0.00196820,6.91921473
72,1.440000,Open,0,0.354830,0.013664,-5.11726761,0.00191010,6.91921043
73,1.460000,Open,0,0.225618,0.008735,-5.11725712,0.00189638,6.91921520
74,1.480000,Open,0,0.230337,0.008451,-5.11725330,0.00187708,6.91923666
75,1.500000,Open,0,0.228817,0.007289,-5.11725330,0.00187022,6.91924810
76,1.520000,Open,0,0.227362,0.007121,-5.11725283,0.00185889,6.91925526
77,1.540000,Open,0,0.228132,0.006897,-5.11724663,0.00184243,6.91927052
78,1.560000,Open,0,0.229044,0.006831,-5.11724758,0.00182812,6.91928387
79,1.580000,Open,0,0.229405,0.006607,-5.11724758,0.00181471,6.91929102
80,1.600000,Open,0,0.228600,0.006835,-5.11724663,0.00180141,6.91931152
81,1.620000,Open,0,0.260819,0.008917,-5.11724520,0.00177906,6.91932774
82,1.640000,Open,0,0.285467,0.010366,-5.11723948,0.00173607,6.91936636
83,1.660000,Open,0,0.230078,0.006558,-5.11723423,0.00172632,6.91939926
84,1.680000,Open,0,0.229967,0.006180,-5.11723280,0.00172174,6.91940928
85,1.700000,Open,0,0.229904,0.005412,-5.11723661,0.00171773,6.91942358
86,1.720000,Open,0,0.230838,0.005167,-5.11723757,0.00171377,6.91943836
87,1.740000,Open,0,0.231237,0.004966,-5.11723661,0.00171077,6.91943979
88,1.760000,Open,0,0.230212,0.004767,-5.11723804,0.00170539,6.91944933
89,1.780000,Open,0,0.230205,0.004648,-5.11724043,0.00170060,6.91944838
90,1.800000,Open,0,0.230546,0.004610,-5.11724281,0.00169954,6.91945648
91,1.820000,Open,0,0.230089,0.004590,-5.11724806,0.00169713,6.91946316
92,1.840000,Open,0,0.229579,0.004523,-5.11725044,0.00169189,6.91947222
93,1.860000,Open,0,0.229595,0.004500,-5.11725473,0.00168767,6.91947365
94,1.880000,Open,0,0.228798,0.004284,-5.11726189,0.00168546,6.91948557
95,1.900000,Open,0,0.229506,0.004273,-5.11726999,0.00168348,6.91949606
96,1.920000,Open,0,0.228989,0.004190,-5.11727715,0.00168252,6.91949701
97,1.940000,Open,0,0.229238,0.004073,-5.11728430,0.00167986,6.91950893
98,1.960000,Open,0,0.229030,0.004069,-5.11729431,0.00167832,6.91951180
99,1.980000,Closing,0,0.229440,0.004095,-5.11730146,0.00167669,6.91951847
100,2.000000,Closing,0,0.229636,0.004092,-5.11730957,0.00167361,6.91953135
101,2.020000,Closing,0,0.228764,0.004020,-5.11731482,0.00167176,6.91953897
102,2.040000,Closing,0,0.228863,0.004027,-5.11732197,0.00167027,6.91954947
103,2.060000,Closing,0,0.229202,0.004008,-5.11732960,0.00166857,6.91955757
104,2.080000,Closing,0,0.229247,0.003961,-5.11733913,0.00166645,6.91957283
105,2.100000,Closing,0,0.229431,0.003972,-5.11734724,0.00166446,6.91958284
106,2.120000,Closing,0,0.228988,0.003971,-5.11735630,0.00166222,6.91959763
107,2.140000,Closing,0,0.228593,0.004029,-5.11736488,0.00165980,6.91961002
108,2.160000,Closing,0,0.228297,0.004000,-5.11737394,0.00165788,6.91962004
109,2.180000,Closing,0,0.228095,0.004018,-5.11738253,0.00165587,6.91963577
110,2.200000,Closing,0,0.229346,0.004079,-5.11739302,0.00165283,6.91964340
111,2.220000,Closing,0,0.228253,0.004038,-5.11740160,0.00165050,6.91965532
112,2.240000,Closing,0,0.228939,0.004076,-5.11741257,0.00164846,6.91966724
113,2.260000,Closing,0,0.229018,0.004094,-5.11742020,0.00164671,6.91968250
114,2.280000,Closing,0,0.228887,0.004132,-5.11742973,0.00164283,6.91969299
115,2.300000,Closing,0,0.229327,0.004080,-5.11744022,0.00164038,6.91970634
116,2.320000,Closing,0,0.229540,0.004101,-5.11744976,0.00163715,6.91971970
117,2.340000,Closing,0,0.229120,0.004162,-5.11745930,0.00163452,6.91973448
118,2.360000,Closing,0,0.228887,0.004134,-5.11746836,0.00163243,6.91974545
119,2.380000,Closing,0,0.228254,0.004105,-5.11748075,0.00162981,6.91975594
