macro_frame,sim_time,t1w_utc,t2_utc,t3_utc,t_force_utc,seq_ok
0,0.000000,1781659062.385016680,1781659062.385104418,1781659062.530777454,1781659062.530785084,1
1,0.020000,1781659062.551927567,1781659062.551977158,1781659062.694818497,1781659062.694828033,1
2,0.040000,1781659062.701863050,1781659062.701906204,1781659062.845016479,1781659062.845024824,1
3,0.060000,1781659062.868888617,1781659062.868953943,1781659063.014863729,1781659063.014873266,1
4,0.080000,1781659063.035575151,1781659063.035640717,1781659063.184410095,1781659063.184417725,1
5,0.100000,1781659063.202284336,1781659063.202348948,1781659063.349638462,1781659063.349647760,1
6,0.120000,1781659063.369277477,1781659063.369353294,1781659063.520015955,1781659063.520023584,1
7,0.140000,1781659063.535905600,1781659063.535955191,1781659063.681679010,1781659063.681688309,1
8,0.160000,1781659063.702735186,1781659063.702809572,1781659063.846780777,1781659063.846788645,1
9,0.180000,1781659063.869511843,1781659063.869567156,1781659064.012630463,1781659064.012639523,1
10,0.200000,1781659064.019776106,1781659064.019821405,1781659064.163186789,1781659064.163194418,1
11,0.220000,1781659064.186461210,1781659064.186535120,1781659064.331960201,1781659064.331969738,1
12,0.240000,1781659064.353305817,1781659064.353388548,1781659064.500757933,1781659064.500766039,1
13,0.260000,1781659064.520067692,1781659064.520139456,1781659064.681514263,1781659064.681523085,1
14,0.280000,1781659064.703712702,1781659064.703766584,1781659064.849766254,1781659064.849773884,1
15,0.300000,1781659064.870379686,1781659064.870432615,1781659065.015697002,1781659065.015706062,1
16,0.320000,1781659065.037168980,1781659065.037240505,1781659065.186533451,1781659065.186540842,1
17,0.340000,1781659065.204137564,1781659065.204208612,1781659065.349280119,1781659065.349289179,1
18,0.360000,1781659065.370968580,1781659065.371023655,1781659065.515965700,1781659065.515974045,1
19,0.380000,1781659065.537605524,1781659065.537682295,1781659065.682810545,1781659065.682819843,1
20,0.400000,1781659065.704328537,1781659065.704387188,1781659065.848664761,1781659065.848673105,1
21,0.420000,1781659065.871187449,1781659065.871259451,1781659066.014869928,1781659066.014879227,1
22,0.440000,1781659066.037972450,1781659066.038024426,1781659066.182929516,1781659066.182937384,1
23,0.460000,1781659066.204784870,1781659066.204856634,1781659066.350239992,1781659066.350249290,1
24,0.480000,1781659066.371861696,1781659066.371929407,1781659066.516944170,1781659066.516952038,1
25,0.500000,1781659066.538372755,1781659066.538425922,1781659066.682166815,1781659066.682176352,1
26,0.520000,1781659066.688616276,1781659066.688666821,1781659066.839185715,1781659066.839193583,1
27,0.540000,1781659066.855517149,1781659066.855585575,1781659066.999012947,1781659066.999022961,1
28,0.560000,1781659067.022355318,1781659067.022433281,1781659067.168274164,1781659067.168282509,1
29,0.580000,1781659067.188953400,1781659067.189036846,1781659067.332248688,1781659067.332257748,1
30,0.600000,1781659067.355765343,1781659067.355839968,1781659067.506676912,1781659067.506685019,1
31,0.620000,1781659067.522601128,1781659067.522652864,1781659067.665934324,1781659067.665944338,1
32,0.640000,1781659067.689349651,1781659067.689424753,1781659067.835572958,1781659067.835580826,1
33,0.660000,1781659067.856114149,1781659067.856164455,1781659067.999692917,1781659067.999702930,1
34,0.680000,1781659068.022942066,1781659068.022988796,1781659068.167760611,1781659068.167768478,1
35,0.700000,1781659068.189753056,1781659068.189825058,1781659068.338016987,1781659068.338026524,1
36,0.720000,1781659068.356750250,1781659068.356804609,1781659068.504540205,1781659068.504548073,1
37,0.740000,1781659068.523356438,1781659068.523411036,1781659068.670116663,1781659068.670126677,1
38,0.760000,1781659068.690405130,1781659068.690481663,1781659068.841254473,1781659068.841262817,1
39,0.780000,1781659068.857096434,1781659068.857146025,1781659069.003963947,1781659069.003973722,1
40,0.800000,1781659069.024003744,1781659069.024078608,1781659069.170875311,1781659069.170883179,1
41,0.820000,1781659069.190630436,1781659069.190682173,1781659069.336586952,1781659069.336596966,1
42,0.840000,1781659069.357455730,1781659069.357531071,1781659069.505061388,1781659069.505069017,1
43,0.860000,1781659069.524360657,1781659069.524416924,1781659069.670791388,1781659069.670800686,1
44,0.880000,1781659069.691215515,1781659069.691276789,1781659069.837450266,1781659069.837460995,1
45,0.900000,1781659069.857959986,1781659069.858033657,1781659070.005381107,1781659070.005391121,1
46,0.920000,1781659070.024843216,1781659070.024899006,1781659070.171003580,1781659070.171011209,1
47,0.940000,1781659070.191405296,1781659070.191471338,1781659070.337882519,1781659070.337892056,1
48,0.960000,1781659070.358257294,1781659070.358331680,1781659070.507841349,1781659070.507849455,1
49,0.980000,1781659070.525010586,1781659070.525068521,1781659070.670725584,1781659070.670735121,1
50,1.000000,1781659070.691926241,1781659070.692000628,1781659070.837954044,1781659070.837964535,1
51,1.019999,1781659070.858624458,1781659070.858698606,1781659071.004830360,1781659071.004840374,1
52,1.039999,1781659071.025597334,1781659071.025658369,1781659071.173525333,1781659071.173534393,1
53,1.059999,1781659071.192327261,1781659071.192394495,1781659071.338876247,1781659071.338885784,1
54,1.079999,1781659071.359127045,1781659071.359179735,1781659071.505151510,1781659071.505162239,1
55,1.099999,1781659071.525972128,1781659071.526027441,1781659071.672488213,1781659071.672498465,1
56,1.119999,1781659071.692718744,1781659071.692796946,1781659071.845532656,1781659071.845543146,1
57,1.139999,1781659071.859425306,1781659071.859489679,1781659072.015850067,1781659072.015860081,1
58,1.159999,1781659072.026207924,1781659072.026251316,1781659072.172235727,1781659072.172246456,1
59,1.179999,1781659072.193206787,1781659072.193258047,1781659072.339283466,1781659072.339293480,1
60,1.199999,1781659072.360054016,1781659072.360107660,1781659072.506207943,1781659072.506218195,1
61,1.219999,1781659072.526675701,1781659072.526730299,1781659072.672398090,1781659072.672408104,1
62,1.239999,1781659072.693570375,1781659072.693621397,1781659072.847457170,1781659072.847467661,1
