macro_frame,sim_time_mjc,sim_time_xpbd,t1_utc,t1w_utc,t2_utc,t3_utc,t_force_utc,t4_utc,t_step_utc,t1_next_utc,dt_t1_t1w,dt_t1w_t2,dt_t2_t3,dt_t3_tforce,dt_tforce_t4,dt_t4_tstep,dt_tstep_t1next,dt_t1_t1next,cycle_order_ok,paired,note
0,0.000000,0.000000,1781247789.813328266,1781247790.575941801,1781247790.576375723,1781247790.654363394,1781247790.654369116,1781247790.655864477,1781247790.655886173,1781247790.659331560,0.762614,0.000434,0.077988,0.000006,0.001495,0.000022,0.003445,0.846003,1,1,
1,0.020000,0.020000,1781247790.659331560,1781247790.675967932,1781247790.676299572,1781247790.774567842,1781247790.774575949,1781247790.776344776,1781247790.776365757,1781247790.779932022,0.016636,0.000332,0.098268,0.000008,0.001769,0.000021,0.003566,0.120600,1,1,
2,0.040000,0.040000,1781247790.779932022,1781247790.792829990,1781247790.793327093,1781247790.908138990,1781247790.908144951,1781247790.908465862,1781247790.908478022,1781247790.910285473,0.012898,0.000497,0.114812,0.000006,0.000321,0.000012,0.001807,0.130353,1,1,
3,0.060000,0.060000,1781247790.910285473,1781247790.927479744,1781247790.927870512,1781247791.041649818,1781247791.041656971,1781247791.042076349,1781247791.042093515,1781247791.045388460,0.017194,0.000391,0.113779,0.000007,0.000419,0.000017,0.003295,0.135103,1,1,
4,0.080000,0.080000,1781247791.045388460,1781247791.126578569,1781247791.126992464,1781247791.243974686,1781247791.243981838,1781247791.245042324,1781247791.245058775,1781247791.248730659,0.081190,0.000414,0.116982,0.000007,0.001060,0.000016,0.003672,0.203342,1,1,
5,0.100000,0.100000,1781247791.248730659,1781247791.259953499,1781247791.260679007,1781247791.383400917,1781247791.383408785,1781247791.385440350,1781247791.385458469,1781247791.388791323,0.011223,0.000726,0.122722,0.000008,0.002032,0.000018,0.003333,0.140061,1,1,
6,0.120000,0.120000,1781247791.388791323,1781247791.393339634,1781247791.393796444,1781247791.509430885,1781247791.509436607,1781247791.511533737,1781247791.511553764,1781247791.513615847,0.004548,0.000457,0.115634,0.000006,0.002097,0.000020,0.002062,0.124825,1,1,
7,0.140000,0.140000,1781247791.513615847,1781247791.526830196,1781247791.527327061,1781247791.642703533,1781247791.642710686,1781247791.644798279,1781247791.644817352,1781247791.648261309,0.013214,0.000497,0.115376,0.000007,0.002088,0.000019,0.003444,0.134645,1,1,
8,0.160000,0.160000,1781247791.648261309,1781247791.660118103,1781247791.660618305,1781247791.775591612,1781247791.775597572,1781247791.776617289,1781247791.776635170,1781247791.780082703,0.011857,0.000500,0.114973,0.000006,0.001020,0.000018,0.003448,0.131821,1,1,
9,0.180000,0.180000,1781247791.780082703,1781247791.793545485,1781247791.794079065,1781247791.908360004,1781247791.908367395,1781247791.908916235,1781247791.908929825,1781247791.911235094,0.013463,0.000534,0.114281,0.000007,0.000549,0.000014,0.002305,0.131152,1,1,
10,0.200000,0.200000,1781247791.911235094,1781247791.927147627,1781247791.927712440,1781247792.042584896,1781247792.042590618,1781247792.043479919,1781247792.043491602,1781247792.045330286,0.015913,0.000565,0.114872,0.000006,0.000889,0.000012,0.001839,0.134095,1,1,
11,0.220000,0.220000,1781247792.045330286,1781247792.060453892,1781247792.061046124,1781247792.178096533,1781247792.178103447,1781247792.180170536,1781247792.180183649,1781247792.182080746,0.015124,0.000592,0.117050,0.000007,0.002067,0.000013,0.001897,0.136750,1,1,
12,0.240000,0.240000,1781247792.182080746,1781247792.193928719,1781247792.194538832,1781247792.316228390,1781247792.316234589,1781247792.317568779,1781247792.317580462,1781247792.319394350,0.011848,0.000610,0.121690,0.000006,0.001334,0.000012,0.001814,0.137314,1,1,
13,0.260000,0.260000,1781247792.319394350,1781247792.327318668,1781247792.327947855,1781247792.442508698,1781247792.442516327,1781247792.442892075,1781247792.442904234,1781247792.444774389,0.007924,0.000629,0.114561,0.000008,0.000376,0.000012,0.001870,0.125380,1,1,
14,0.280000,0.280000,1781247792.444774389,1781247792.460904360,1781247792.461560011,1781247792.576315641,1781247792.576321602,1781247792.577674866,1781247792.577686787,1781247792.579762220,0.016130,0.000656,0.114756,0.000006,0.001353,0.000012,0.002075,0.134988,1,1,
15,0.300000,0.300000,1781247792.579762220,1781247792.594315529,1781247792.595195055,1781247792.708988190,1781247792.708995342,1781247792.709943533,1781247792.709954262,1781247792.711835861,0.014553,0.000880,0.113793,0.000007,0.000948,0.000011,0.001882,0.132074,1,1,
16,0.320000,0.320000,1781247792.711835861,1781247792.727662802,1781247792.728388548,1781247792.843650579,1781247792.843656540,1781247792.845069170,1781247792.845087290,1781247792.847434282,0.015827,0.000726,0.115262,0.000006,0.001413,0.000018,0.002347,0.135598,1,1,
17,0.340000,0.340000,1781247792.847434282,1781247792.861141205,1781247792.861943483,1781247792.977046490,1781247792.977054358,1781247792.977522612,1781247792.977542877,1781247792.981500864,0.013707,0.000802,0.115103,0.000008,0.000468,0.000020,0.003958,0.134067,1,1,
18,0.360000,0.360000,1781247792.981500864,1781247792.994682312,1781247792.995846748,1781247793.111718416,1781247793.111724615,1781247793.112103939,1781247793.112123728,1781247793.114544392,0.013181,0.001164,0.115872,0.000006,0.000379,0.000020,0.002421,0.133044,1,1,
19,0.380000,0.380000,1781247793.114544392,1781247793.128069878,1781247793.129247904,1781247793.243255615,1781247793.243263483,1781247793.245405436,1781247793.245423555,1781247793.248992920,0.013525,0.001178,0.114008,0.000008,0.002142,0.000018,0.003569,0.134449,1,1,
20,0.400000,0.400000,1781247793.248992920,1781247793.261558294,1781247793.262408495,1781247793.380528927,1781247793.380535603,1781247793.382308960,1781247793.382331133,1781247793.384747982,0.012565,0.000850,0.118120,0.000007,0.001773,0.000022,0.002417,0.135755,1,1,
21,0.420000,0.420000,1781247793.384747982,1781247793.394977093,1781247793.396209478,1781247793.532568932,1781247793.532577038,1781247793.534993410,1781247793.535013914,1781247793.537383080,0.010229,0.001232,0.136359,0.000008,0.002416,0.000021,0.002369,0.152635,1,1,
22,0.440000,0.440000,1781247793.537383080,1781247793.544980288,1781247793.546327353,1781247793.661031008,1781247793.661037683,1781247793.663306475,1781247793.663325071,1781247793.665340662,0.007597,0.001347,0.114704,0.000007,0.002269,0.000019,0.002016,0.127958,1,1,
23,0.460000,0.460000,1781247793.665340662,1781247793.678523540,1781247793.679427862,1781247793.793343782,1781247793.793351412,1781247793.794426680,1781247793.794445276,1781247793.797038555,0.013183,0.000904,0.113916,0.000008,0.001075,0.000019,0.002593,0.131698,1,1,
24,0.480000,0.480000,1781247793.797038555,1781247793.812084198,1781247793.813444614,1781247793.930739403,1781247793.930745602,1781247793.933029413,1781247793.933052063,1781247793.935092688,0.015046,0.001360,0.117295,0.000006,0.002284,0.000023,0.002041,0.138054,1,1,
25,0.500000,0.500000,1781247793.935092688,1781247793.945740461,1781247793.946739912,1781247794.061186314,1781247794.061193466,1781247794.063365459,1781247794.063376665,1781247794.065414667,0.010648,0.000999,0.114446,0.000007,0.002172,0.000011,0.002038,0.130322,1,1,
26,0.520000,0.520000,1781247794.065414667,1781247794.078788042,1781247794.079791307,1781247794.193662405,1781247794.193668127,1781247794.194035053,1781247794.194046736,1781247794.195879221,0.013373,0.001003,0.113871,0.000006,0.000367,0.000012,0.001832,0.130465,1,1,
27,0.540000,0.540000,1781247794.195879221,1781247794.212190628,1781247794.213191271,1781247794.328228712,1781247794.328236341,1781247794.330338955,1781247794.330351114,1781247794.332241297,0.016311,0.001001,0.115037,0.000008,0.002103,0.000012,0.001890,0.136362,1,1,
28,0.560000,0.560000,1781247794.332241297,1781247794.345610857,1781247794.346636772,1781247794.460866451,1781247794.460872889,1781247794.461098194,1781247794.461110830,1781247794.463010073,0.013370,0.001026,0.114230,0.000006,0.000225,0.000013,0.001899,0.130769,1,1,
29,0.580000,0.580000,1781247794.463010073,1781247794.479105711,1781247794.480180979,1781247794.593999386,1781247794.594007015,1781247794.596255779,1781247794.596266508,1781247794.598141432,0.016096,0.001075,0.113818,0.000008,0.002249,0.000011,0.001875,0.135131,1,1,
30,0.600000,0.600000,1781247794.598141432,1781247794.612510443,1781247794.613584757,1781247794.727809906,1781247794.727815390,1781247794.729540110,1781247794.729557514,1781247794.731733561,0.014369,0.001074,0.114225,0.000005,0.001725,0.000017,0.002176,0.133592,1,1,
31,0.620000,0.620000,1781247794.731733561,1781247794.746077538,1781247794.747192383,1781247794.860474825,1781247794.860483408,1781247794.861839294,1781247794.861857653,1781247794.865282774,0.014344,0.001115,0.113282,0.000009,0.001356,0.000018,0.003425,0.133549,1,1,
32,0.640000,0.640000,1781247794.865282774,1781247794.879396677,1781247794.880531788,1781247794.994761944,1781247794.994767666,1781247794.995768309,1781247794.995790243,1781247794.998331308,0.014114,0.001135,0.114230,0.000006,0.001001,0.000022,0.002541,0.133049,1,1,
33,0.660000,0.660000,1781247794.998331308,1781247795.012950897,1781247795.014098644,1781247795.129963875,1781247795.129971027,1781247795.131914854,1781247795.131933451,1781247795.135447979,0.014620,0.001148,0.115865,0.000007,0.001944,0.000019,0.003515,0.137117,1,1,
