macro_frame,sim_time,body_index,logical_name,com_before_x,com_before_y,com_before_z,com_after_x,com_after_y,com_after_z,target_x,target_y,target_z,com_jump_m,com_to_target_before_m,max_vtx_jump_m,max_vtx_id
4,0.080000,4,gripper_r_palm,0.460000,0.708654,0.000000,0.460000,0.708569,-0.000000,0.460000,0.708569,-0.000000,0.000086,0.000086,0.000086,0
4,0.080000,5,gripper_r_finger1,0.460000,0.688654,0.001203,0.460000,0.688569,-0.000000,0.460000,0.688569,-0.000000,0.001206,0.001206,0.001256,2
4,0.080000,6,gripper_r_finger2,0.460000,0.688654,-0.001203,0.460000,0.688569,-0.000000,0.460000,0.688569,-0.000000,0.001206,0.001206,0.001256,3
5,0.100000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
5,0.100000,1,gripper_l_palm,-0.460000,0.708472,0.000000,-0.460000,0.708404,-0.000000,-0.460000,0.708404,-0.000000,0.000068,0.000068,0.000068,0
5,0.100000,2,gripper_l_finger1,-0.460000,0.688472,0.001451,-0.460000,0.688404,-0.000000,-0.460000,0.688404,-0.000000,0.001453,0.001453,0.001519,2
5,0.100000,3,gripper_l_finger2,-0.460000,0.688472,-0.001451,-0.460000,0.688404,-0.000000,-0.460000,0.688404,-0.000000,0.001453,0.001453,0.001519,3
5,0.100000,4,gripper_r_palm,0.460000,0.708472,0.000000,0.460000,0.708404,-0.000000,0.460000,0.708404,-0.000000,0.000068,0.000068,0.000068,0
5,0.100000,5,gripper_r_finger1,0.460000,0.688472,0.001451,0.460000,0.688404,-0.000000,0.460000,0.688404,-0.000000,0.001453,0.001453,0.001519,2
5,0.100000,6,gripper_r_finger2,0.460000,0.688472,-0.001451,0.460000,0.688404,-0.000000,0.460000,0.688404,-0.000000,0.001453,0.001453,0.001519,3
6,0.120000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
6,0.120000,1,gripper_l_palm,-0.460000,0.708028,0.000000,-0.460000,0.707938,-0.000000,-0.460000,0.707938,-0.000000,0.000090,0.000090,0.000090,0
6,0.120000,2,gripper_l_finger1,-0.460000,0.688028,0.000973,-0.460000,0.687938,-0.000000,-0.460000,0.687938,-0.000000,0.000977,0.000977,0.001022,2
6,0.120000,3,gripper_l_finger2,-0.460000,0.688028,-0.000973,-0.460000,0.687938,-0.000000,-0.460000,0.687938,-0.000000,0.000977,0.000977,0.001022,3
6,0.120000,4,gripper_r_palm,0.460000,0.708028,0.000000,0.460000,0.707938,-0.000000,0.460000,0.707938,-0.000000,0.000090,0.000090,0.000090,0
6,0.120000,5,gripper_r_finger1,0.460000,0.688028,0.000973,0.460000,0.687938,-0.000000,0.460000,0.687938,-0.000000,0.000977,0.000977,0.001022,2
6,0.120000,6,gripper_r_finger2,0.460000,0.688028,-0.000973,0.460000,0.687938,-0.000000,0.460000,0.687938,-0.000000,0.000977,0.000977,0.001022,3
7,0.140000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
7,0.140000,1,gripper_l_palm,-0.460000,0.707484,0.000000,-0.460000,0.707402,-0.000000,-0.460000,0.707402,-0.000000,0.000083,0.000083,0.000083,0
7,0.140000,2,gripper_l_finger1,-0.460000,0.687484,0.000560,-0.460000,0.687402,-0.000000,-0.460000,0.687402,-0.000000,0.000566,0.000566,0.000593,2
7,0.140000,3,gripper_l_finger2,-0.460000,0.687484,-0.000560,-0.460000,0.687402,-0.000000,-0.460000,0.687402,-0.000000,0.000566,0.000566,0.000593,3
7,0.140000,4,gripper_r_palm,0.460000,0.707484,0.000000,0.460000,0.707402,-0.000000,0.460000,0.707402,-0.000000,0.000083,0.000083,0.000083,0
7,0.140000,5,gripper_r_finger1,0.460000,0.687484,0.000560,0.460000,0.687402,-0.000000,0.460000,0.687402,-0.000000,0.000566,0.000566,0.000593,2
7,0.140000,6,gripper_r_finger2,0.460000,0.687484,-0.000560,0.460000,0.687402,-0.000000,0.460000,0.687402,-0.000000,0.000566,0.000566,0.000593,3
8,0.160000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
8,0.160000,1,gripper_l_palm,-0.460000,0.706931,0.000000,-0.460000,0.706840,-0.000000,-0.460000,0.706840,-0.000000,0.000091,0.000091,0.000091,0
8,0.160000,2,gripper_l_finger1,-0.460000,0.686931,0.000301,-0.460000,0.686840,-0.000000,-0.460000,0.686840,-0.000000,0.000314,0.000314,0.000326,2
8,0.160000,3,gripper_l_finger2,-0.460000,0.686931,-0.000301,-0.460000,0.686840,-0.000000,-0.460000,0.686840,-0.000000,0.000314,0.000314,0.000326,3
8,0.160000,4,gripper_r_palm,0.460000,0.706931,0.000000,0.460000,0.706840,-0.000000,0.460000,0.706840,-0.000000,0.000091,0.000091,0.000091,0
8,0.160000,5,gripper_r_finger1,0.460000,0.686931,0.000301,0.460000,0.686840,-0.000000,0.460000,0.686840,-0.000000,0.000314,0.000314,0.000326,2
8,0.160000,6,gripper_r_finger2,0.460000,0.686931,-0.000301,0.460000,0.686840,-0.000000,0.460000,0.686840,-0.000000,0.000314,0.000314,0.000326,3
9,0.180000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
9,0.180000,1,gripper_l_palm,-0.460000,0.706324,0.000000,-0.460000,0.706212,-0.000000,-0.460000,0.706212,-0.000000,0.000111,0.000111,0.000111,0
9,0.180000,2,gripper_l_finger1,-0.460000,0.686324,0.000161,-0.460000,0.686212,-0.000000,-0.460000,0.686212,-0.000000,0.000196,0.000196,0.000201,2
9,0.180000,3,gripper_l_finger2,-0.460000,0.686324,-0.000161,-0.460000,0.686212,-0.000000,-0.460000,0.686212,-0.000000,0.000196,0.000196,0.000201,3
9,0.180000,4,gripper_r_palm,0.460000,0.706324,0.000000,0.460000,0.706212,-0.000000,0.460000,0.706212,-0.000000,0.000111,0.000111,0.000111,0
9,0.180000,5,gripper_r_finger1,0.460000,0.686324,0.000161,0.460000,0.686212,-0.000000,0.460000,0.686212,-0.000000,0.000196,0.000196,0.000201,2
9,0.180000,6,gripper_r_finger2,0.460000,0.686324,-0.000161,0.460000,0.686212,-0.000000,0.460000,0.686212,-0.000000,0.000196,0.000196,0.000201,3
10,0.200000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
10,0.200000,1,gripper_l_palm,-0.460000,0.705624,0.000000,-0.460000,0.705495,-0.000000,-0.460000,0.705495,-0.000000,0.000129,0.000129,0.000129,0
10,0.200000,2,gripper_l_finger1,-0.460000,0.685624,0.000090,-0.460000,0.685495,-0.000000,-0.460000,0.685495,-0.000000,0.000157,0.000157,0.000158,2
10,0.200000,3,gripper_l_finger2,-0.460000,0.685624,-0.000090,-0.460000,0.685495,-0.000000,-0.460000,0.685495,-0.000000,0.000157,0.000157,0.000158,3
10,0.200000,4,gripper_r_palm,0.460000,0.705624,0.000000,0.460000,0.705495,-0.000000,0.460000,0.705495,-0.000000,0.000129,0.000129,0.000129,0
10,0.200000,5,gripper_r_finger1,0.460000,0.685624,0.000090,0.460000,0.685495,-0.000000,0.460000,0.685495,-0.000000,0.000157,0.000157,0.000158,2
10,0.200000,6,gripper_r_finger2,0.460000,0.685624,-0.000090,0.460000,0.685495,-0.000000,0.460000,0.685495,-0.000000,0.000157,0.000157,0.000158,3
11,0.220000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
11,0.220000,1,gripper_l_palm,-0.460000,0.704831,0.000000,-0.460000,0.704692,-0.000000,-0.460000,0.704692,-0.000000,0.000139,0.000139,0.000139,0
11,0.220000,2,gripper_l_finger1,-0.460000,0.684831,0.000051,-0.460000,0.684692,-0.000000,-0.460000,0.684692,-0.000000,0.000148,0.000148,0.000149,0
11,0.220000,3,gripper_l_finger2,-0.460000,0.684831,-0.000051,-0.460000,0.684692,-0.000000,-0.460000,0.684692,-0.000000,0.000148,0.000148,0.000149,1
11,0.220000,4,gripper_r_palm,0.460000,0.704831,0.000000,0.460000,0.704692,-0.000000,0.460000,0.704692,-0.000000,0.000139,0.000139,0.000139,0
11,0.220000,5,gripper_r_finger1,0.460000,0.684831,0.000051,0.460000,0.684692,-0.000000,0.460000,0.684692,-0.000000,0.000148,0.000148,0.000149,0
11,0.220000,6,gripper_r_finger2,0.460000,0.684831,-0.000051,0.460000,0.684692,-0.000000,0.460000,0.684692,-0.000000,0.000148,0.000148,0.000149,1
12,0.240000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
12,0.240000,1,gripper_l_palm,-0.460000,0.703956,0.000000,-0.460000,0.703811,-0.000000,-0.460000,0.703811,-0.000000,0.000145,0.000145,0.000145,0
12,0.240000,2,gripper_l_finger1,-0.460000,0.683956,0.000029,-0.460000,0.683811,-0.000000,-0.460000,0.683811,-0.000000,0.000148,0.000148,0.000149,0
12,0.240000,3,gripper_l_finger2,-0.460000,0.683956,-0.000029,-0.460000,0.683811,-0.000000,-0.460000,0.683811,-0.000000,0.000148,0.000148,0.000149,1
12,0.240000,4,gripper_r_palm,0.460000,0.703956,0.000000,0.460000,0.703811,-0.000000,0.460000,0.703811,-0.000000,0.000145,0.000145,0.000145,0
12,0.240000,5,gripper_r_finger1,0.460000,0.683956,0.000029,0.460000,0.683811,-0.000000,0.460000,0.683811,-0.000000,0.000148,0.000148,0.000149,0
12,0.240000,6,gripper_r_finger2,0.460000,0.683956,-0.000029,0.460000,0.683811,-0.000000,0.460000,0.683811,-0.000000,0.000148,0.000148,0.000149,1
13,0.260000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
13,0.260000,1,gripper_l_palm,-0.460000,0.703005,0.000000,-0.460000,0.702857,-0.000000,-0.460000,0.702857,-0.000000,0.000147,0.000147,0.000147,0
13,0.260000,2,gripper_l_finger1,-0.460000,0.683005,0.000017,-0.460000,0.682857,-0.000000,-0.460000,0.682857,-0.000000,0.000148,0.000148,0.000149,0
13,0.260000,3,gripper_l_finger2,-0.460000,0.683005,-0.000017,-0.460000,0.682857,-0.000000,-0.460000,0.682857,-0.000000,0.000148,0.000148,0.000149,1
13,0.260000,4,gripper_r_palm,0.460000,0.703005,0.000000,0.460000,0.702857,-0.000000,0.460000,0.702857,-0.000000,0.000147,0.000147,0.000147,0
13,0.260000,5,gripper_r_finger1,0.460000,0.683005,0.000017,0.460000,0.682857,-0.000000,0.460000,0.682857,-0.000000,0.000148,0.000148,0.000149,0
13,0.260000,6,gripper_r_finger2,0.460000,0.683005,-0.000017,0.460000,0.682857,-0.000000,0.460000,0.682857,-0.000000,0.000148,0.000148,0.000149,1
14,0.280000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
14,0.280000,1,gripper_l_palm,-0.460000,0.701977,0.000000,-0.460000,0.701832,-0.000000,-0.460000,0.701832,-0.000000,0.000145,0.000145,0.000145,0
14,0.280000,2,gripper_l_finger1,-0.460000,0.681977,0.000010,-0.460000,0.681832,-0.000000,-0.460000,0.681832,-0.000000,0.000145,0.000145,0.000146,0
14,0.280000,3,gripper_l_finger2,-0.460000,0.681977,-0.000010,-0.460000,0.681832,-0.000000,-0.460000,0.681832,-0.000000,0.000145,0.000145,0.000146,1
14,0.280000,4,gripper_r_palm,0.460000,0.701977,0.000000,0.460000,0.701832,-0.000000,0.460000,0.701832,-0.000000,0.000145,0.000145,0.000145,0
14,0.280000,5,gripper_r_finger1,0.460000,0.681977,0.000010,0.460000,0.681832,-0.000000,0.460000,0.681832,-0.000000,0.000145,0.000145,0.000146,0
14,0.280000,6,gripper_r_finger2,0.460000,0.681977,-0.000010,0.460000,0.681832,-0.000000,0.460000,0.681832,-0.000000,0.000145,0.000145,0.000146,1
15,0.300000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
15,0.300000,1,gripper_l_palm,-0.460000,0.700875,0.000000,-0.460000,0.700738,-0.000000,-0.460000,0.700738,-0.000000,0.000137,0.000137,0.000137,0
15,0.300000,2,gripper_l_finger1,-0.460000,0.680875,0.000006,-0.460000,0.680738,-0.000000,-0.460000,0.680738,-0.000000,0.000137,0.000137,0.000137,0
15,0.300000,3,gripper_l_finger2,-0.460000,0.680875,-0.000006,-0.460000,0.680738,-0.000000,-0.460000,0.680738,-0.000000,0.000137,0.000137,0.000137,1
15,0.300000,4,gripper_r_palm,0.460000,0.700875,0.000000,0.460000,0.700738,-0.000000,0.460000,0.700738,-0.000000,0.000137,0.000137,0.000137,0
15,0.300000,5,gripper_r_finger1,0.460000,0.680875,0.000006,0.460000,0.680738,-0.000000,0.460000,0.680738,-0.000000,0.000137,0.000137,0.000137,0
15,0.300000,6,gripper_r_finger2,0.460000,0.680875,-0.000006,0.460000,0.680738,-0.000000,0.460000,0.680738,-0.000000,0.000137,0.000137,0.000137,1
16,0.320000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
16,0.320000,1,gripper_l_palm,-0.460000,0.699701,0.000000,-0.460000,0.699580,-0.000000,-0.460000,0.699580,-0.000000,0.000121,0.000121,0.000121,0
16,0.320000,2,gripper_l_finger1,-0.460000,0.679701,0.000003,-0.460000,0.679580,-0.000000,-0.460000,0.679580,-0.000000,0.000121,0.000121,0.000121,0
16,0.320000,3,gripper_l_finger2,-0.460000,0.679701,-0.000003,-0.460000,0.679580,-0.000000,-0.460000,0.679580,-0.000000,0.000121,0.000121,0.000121,1
