macro_frame,sim_time,t1_utc,t4_utc,t_step_utc,seq_ok
0,0.000000,1781660789.452102184,1781660789.617141008,1781660789.617161036,1
1,0.020000,1781660789.624644518,1781660789.797192335,1781660789.797211409,1
2,0.040000,1781660789.806027174,1781660789.981594324,1781660789.981606007,1
3,0.060000,1781660789.987797737,1781660790.169086933,1781660790.169104338,1
4,0.080000,1781660790.176182032,1781660790.369600058,1781660790.369610310,1
5,0.100000,1781660790.376010180,1781660790.553704739,1781660790.553722143,1
6,0.120000,1781660790.560951710,1781660790.737408876,1781660790.737426996,1
7,0.140000,1781660790.745008230,1781660790.918626308,1781660790.918638229,1
8,0.160000,1781660790.924253464,1781660791.098335266,1781660791.098352194,1
9,0.180000,1781660791.106704712,1781660791.281597614,1781660791.281614304,1
10,0.200000,1781660791.290002584,1781660791.465361357,1781660791.465382576,1
11,0.220000,1781660791.473648071,1781660791.649363279,1781660791.649387360,1
12,0.240000,1781660791.655672550,1781660791.833492041,1781660791.833507776,1
13,0.260000,1781660791.841809750,1781660792.016550541,1781660792.016560793,1
14,0.280000,1781660792.022743464,1781660792.199223042,1781660792.199233055,1
15,0.300000,1781660792.203926086,1781660792.366852522,1781660792.366869688,1
16,0.320000,1781660792.375593901,1781660792.551609993,1781660792.551627874,1
17,0.340000,1781660792.557795763,1781660792.736028433,1781660792.736045122,1
18,0.360000,1781660792.744293213,1781660792.916587353,1781660792.916597605,1
19,0.380000,1781660792.921908617,1781660793.083526850,1781660793.083536625,1
20,0.400000,1781660793.088322163,1781660793.250803471,1781660793.250813961,1
21,0.420000,1781660793.255706787,1781660793.417950869,1781660793.417968750,1
22,0.440000,1781660793.425845623,1781660793.601919413,1781660793.601936340,1
23,0.460000,1781660793.610135555,1781660793.784597158,1781660793.784614563,1
24,0.480000,1781660793.791565418,1781660793.968558550,1781660793.977033377,1
25,0.500000,1781660793.985541821,1781660794.151644707,1781660794.151661396,1
26,0.520000,1781660794.159994841,1781660794.335157394,1781660794.335167170,1
27,0.540000,1781660794.339845896,1781660794.502185822,1781660794.502195597,1
28,0.560000,1781660794.507205009,1781660794.669455290,1781660794.669468164,1
29,0.580000,1781660794.674801350,1781660794.852306366,1781660794.852324724,1
30,0.600000,1781660794.860748291,1781660795.036060333,1781660795.036070585,1
31,0.620000,1781660795.041839123,1781660795.218329906,1781660795.218346834,1
32,0.640000,1781660795.225516558,1781660795.401615143,1781660795.401632786,1
33,0.660000,1781660795.408217907,1781660795.576328754,1781660795.576338768,1
34,0.680000,1781660795.582526922,1781660795.751887798,1781660795.751897812,1
35,0.700000,1781660795.758028984,1781660795.920009375,1781660795.920026541,1
36,0.720000,1781660795.928012609,1781660796.103410006,1781660796.103427649,1
37,0.740000,1781660796.110840082,1781660796.289996147,1781660796.290006638,1
38,0.760000,1781660796.295123816,1781660796.468987703,1781660796.469005108,1
39,0.780000,1781660796.474676847,1781660796.636713266,1781660796.636730909,1
40,0.800000,1781660796.643056154,1781660796.820019245,1781660796.820028782,1
41,0.820000,1781660796.825038910,1781660796.987030506,1781660796.987040997,1
42,0.840000,1781660796.991735220,1781660797.153983831,1781660797.153993368,1
43,0.860000,1781660797.158726931,1781660797.320025206,1781660797.320042133,1
44,0.880000,1781660797.326642275,1781660797.487913370,1781660797.487929583,1
45,0.900000,1781660797.493136644,1781660797.653686285,1781660797.653696775,1
