macro_frame,sim_time,t1w_utc,t2_utc,t3_utc,t_force_utc,seq_ok
0,0.000000,1781660789.453679323,1781660789.453769684,1781660789.615108967,1781660789.615116358,1
1,0.020000,1781660789.637175560,1781660789.637226582,1781660789.796250105,1781660789.796259642,1
2,0.040000,1781660789.820588112,1781660789.820662737,1781660789.980409622,1781660789.980417728,1
3,0.060000,1781660790.004153013,1781660790.004204512,1781660790.166845322,1781660790.166855335,1
4,0.080000,1781660790.187697172,1781660790.187748432,1781660790.367566347,1781660790.367574453,1
5,0.100000,1781660790.387690544,1781660790.387765408,1781660790.552955627,1781660790.552965403,1
6,0.120000,1781660790.571196079,1781660790.571249247,1781660790.736289263,1781660790.736297131,1
7,0.140000,1781660790.754750967,1781660790.754800797,1781660790.916593075,1781660790.916603804,1
8,0.160000,1781660790.938133240,1781660790.938182592,1781660791.097594738,1781660791.097602606,1
9,0.180000,1781660791.121648073,1781660791.121702433,1781660791.280602932,1781660791.280612946,1
10,0.200000,1781660791.305200815,1781660791.305251837,1781660791.464248180,1781660791.464256525,1
11,0.220000,1781660791.488723993,1781660791.488775015,1781660791.647639751,1781660791.647650242,1
12,0.240000,1781660791.672208548,1781660791.672260523,1781660791.831100702,1781660791.831109285,1
13,0.260000,1781660791.855523586,1781660791.855574369,1781660792.014588833,1781660792.014598846,1
14,0.280000,1781660792.039093733,1781660792.039144516,1781660792.199003696,1781660792.199011326,1
15,0.300000,1781660792.205895424,1781660792.205940247,1781660792.365483284,1781660792.365493536,1
16,0.320000,1781660792.389327526,1781660792.389379501,1781660792.549423456,1781660792.549431562,1
17,0.340000,1781660792.572736502,1781660792.572786331,1781660792.734235764,1781660792.734244823,1
18,0.360000,1781660792.756323099,1781660792.756400347,1781660792.916201830,1781660792.916209459,1
19,0.380000,1781660792.923173666,1781660792.923229933,1781660793.082307816,1781660793.082316875,1
20,0.400000,1781660793.089990854,1781660793.090047598,1781660793.250515223,1781660793.250523806,1
21,0.420000,1781660793.256669998,1781660793.256713867,1781660793.416139364,1781660793.416149139,1
22,0.440000,1781660793.440187931,1781660793.440238953,1781660793.599723101,1781660793.599730730,1
23,0.460000,1781660793.623660803,1781660793.623710871,1781660793.783436775,1781660793.783446550,1
24,0.480000,1781660793.807208538,1781660793.807261467,1781660793.966827154,1781660793.966835976,1
25,0.500000,1781660793.990699291,1781660793.990746975,1781660794.149249792,1781660794.149260998,1
26,0.520000,1781660794.174134016,1781660794.174197435,1781660794.333449125,1781660794.333457947,1
27,0.540000,1781660794.340953350,1781660794.341009140,1781660794.499840736,1781660794.499853134,1
28,0.560000,1781660794.507769823,1781660794.507827759,1781660794.667268276,1781660794.667276382,1
29,0.580000,1781660794.691272974,1781660794.691338301,1781660794.850759506,1781660794.850771666,1
30,0.600000,1781660794.874707937,1781660794.874772072,1781660795.034989357,1781660795.034997463,1
31,0.620000,1781660795.058228493,1781660795.058299541,1781660795.217775822,1781660795.217785120,1
32,0.640000,1781660795.241734982,1781660795.241805553,1781660795.401113033,1781660795.401120663,1
33,0.660000,1781660795.408663750,1781660795.408731699,1781660795.575374603,1781660795.575384378,1
34,0.680000,1781660795.591979980,1781660795.592031717,1781660795.751415968,1781660795.751424313,1
35,0.700000,1781660795.758857250,1781660795.758901834,1781660795.917749405,1781660795.917758942,1
36,0.720000,1781660795.942229986,1781660795.942281008,1781660796.101724863,1781660796.101732969,1
37,0.740000,1781660796.125804186,1781660796.125880241,1781660796.288313627,1781660796.288323164,1
38,0.760000,1781660796.309340954,1781660796.309395790,1781660796.468663216,1781660796.468670607,1
39,0.780000,1781660796.476135254,1781660796.476179600,1781660796.635879278,1781660796.635888338,1
40,0.800000,1781660796.659730673,1781660796.659786940,1781660796.819393873,1781660796.819401741,1
41,0.820000,1781660796.826371431,1781660796.826421022,1781660796.986652136,1781660796.986661673,1
42,0.840000,1781660796.993233919,1781660796.993279934,1781660797.152749538,1781660797.152757168,1
43,0.860000,1781660797.160045147,1781660797.160090923,1781660797.319664240,1781660797.319673538,1
44,0.880000,1781660797.326860905,1781660797.326905966,1781660797.486577988,1781660797.486585617,1
45,0.900000,1781660797.493653774,1781660797.493706942,1781660797.653262138,1781660797.653271914,1
