macro_frame,sim_time_mjc,sim_time_xpbd,t1_utc,t1w_utc,t2_utc,t3_utc,t_force_utc,t4_utc,t_step_utc,t1_next_utc,dt_t1_t1w,dt_t1w_t2,dt_t2_t3,dt_t3_tforce,dt_tforce_t4,dt_t4_tstep,dt_tstep_t1next,dt_t1_t1next,cycle_order_ok,paired,note
0,0.000000,0.000000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.00643229,0.000128984,0.171659,1.21593e-05,0.0011003,1.93119e-05,0.00948071,0.188832,1,1,
1,0.020000,0.020000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.000851393,5.84126e-05,0.160348,1.12057e-05,0.00229335,1.40667e-05,0.00606251,0.169639,1,1,
2,0.040000,0.040000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.0154023,8.55923e-05,0.176721,1.07288e-05,0.00109196,1.28746e-05,0.00594425,0.199269,1,1,
3,0.060000,0.060000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.0157039,8.24928e-05,0.166178,1.07288e-05,0.000899076,1.33514e-05,0.00794721,0.190835,1,1,
4,0.080000,0.080000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.0088377,7.36713e-05,0.172565,9.29832e-06,0.000945807,1.90735e-05,0.00877953,0.19123,1,1,
5,0.100000,0.100000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.0006001,8.79765e-05,0.22662,1.16825e-05,0.000633001,1.64509e-05,0.00858235,0.236552,1,1,
6,0.120000,0.120000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.0146592,8.67844e-05,0.176265,1.35899e-05,0.00160694,2.14577e-05,0.0105,0.203153,1,1,
7,0.140000,0.140000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.0115683,9.56059e-05,0.175587,1.04904e-05,0.00136733,1.35899e-05,0.00581527,0.194458,1,1,
8,0.160000,0.160000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.000317335,5.91278e-05,0.167732,9.77516e-06,0.00178146,1.35899e-05,0.00589609,0.17581,1,1,
9,0.180000,0.180000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.00827026,6.22272e-05,0.165592,1.19209e-05,0.000559807,1.33514e-05,0.00645447,0.180964,1,1,
10,0.200000,0.200000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.0106339,8.15392e-05,0.208507,9.29832e-06,0.00175452,1.69277e-05,0.0059104,0.226913,1,1,
11,0.220000,0.220000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.000690222,4.62532e-05,0.169124,9.77516e-06,0.0014236,1.85966e-05,0.00686431,0.178176,1,1,
12,0.240000,0.240000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.00615311,7.41482e-05,0.166211,1.09673e-05,0.00129795,1.7643e-05,0.00947118,0.183236,1,1,
13,0.260000,0.260000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.00596213,7.05719e-05,0.165233,1.12057e-05,0.00249052,1.85966e-05,0.00621963,0.180005,1,1,
14,0.280000,0.280000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.00963974,7.55787e-05,0.173712,1.04904e-05,0.00111842,1.26362e-05,0.00596714,0.190536,1,1,
15,0.300000,0.300000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.00230837,6.1512e-05,0.173768,1.0252e-05,0.00100636,1.43051e-05,0.00744987,0.184619,1,1,
16,0.320000,0.320000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.00181699,9.34601e-05,0.173105,8.34465e-06,0.00339603,2.0504e-05,0.0103934,0.188834,1,1,
17,0.340000,0.340000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.012506,5.48363e-05,0.159588,1.12057e-05,0.00240374,2.09808e-05,0.00580239,0.180387,1,1,
18,0.360000,0.360000,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,1.78165972e+09,0.0157154,7.29561e-05,0.208217,9.29832e-06,0.000251293,1.38283e-05,0.00559306,0.229872,1,1,
