macro_frame,sim_time,t1w_utc,t2_utc,t3_utc,t_force_utc,seq_ok
0,0.000000,1781247301.241489172,1781247301.241817951,1781247301.319979668,1781247301.319985628,1
1,0.020000,1781247301.342849016,1781247301.343310833,1781247301.445095778,1781247301.445102930,1
2,0.040000,1781247301.458248615,1781247301.458608150,1781247301.573903322,1781247301.573909283,1
3,0.060000,1781247301.591634989,1781247301.592019081,1781247301.706022501,1781247301.706029892,1
4,0.080000,1781247301.725090265,1781247301.725505114,1781247301.840248346,1781247301.840254307,1
5,0.100000,1781247301.858605862,1781247301.859052658,1781247301.974020004,1781247301.974027157,1
6,0.120000,1781247301.993470192,1781247301.993965387,1781247302.107645273,1781247302.107651472,1
7,0.140000,1781247302.125460386,1781247302.125958681,1781247302.240058184,1781247302.240066051,1
8,0.160000,1781247302.258901358,1781247302.259421587,1781247302.374301195,1781247302.374306917,1
9,0.180000,1781247302.392354965,1781247302.392911673,1781247302.507346153,1781247302.507353783,1
10,0.200000,1781247302.525812149,1781247302.526383162,1781247302.640041113,1781247302.640047550,1
11,0.220000,1781247302.659196615,1781247302.659823179,1781247302.773457766,1781247302.773465157,1
12,0.240000,1781247302.794035912,1781247302.794969320,1781247302.910499811,1781247302.910505772,1
13,0.260000,1781247302.926091433,1781247302.926749229,1781247303.040169001,1781247303.040177107,1
14,0.280000,1781247303.059485912,1781247303.060186386,1781247303.175223112,1781247303.175229073,1
15,0.300000,1781247303.194285393,1781247303.195007324,1781247303.309849739,1781247303.309857130,1
16,0.320000,1781247303.326402187,1781247303.327148914,1781247303.442532301,1781247303.442538261,1
17,0.340000,1781247303.510286808,1781247303.511058569,1781247303.626435995,1781247303.626442909,1
18,0.360000,1781247303.643317461,1781247303.644136667,1781247303.759116888,1781247303.759122610,1
19,0.380000,1781247303.776793242,1781247303.777635098,1781247303.891646385,1781247303.891653299,1
20,0.400000,1781247303.910288095,1781247303.911147833,1781247304.024315596,1781247304.024322033,1
21,0.420000,1781247304.043940544,1781247304.044818401,1781247304.160397530,1781247304.160405159,1
22,0.440000,1781247304.177185535,1781247304.178118706,1781247304.292822361,1781247304.292829037,1
23,0.460000,1781247304.310553551,1781247304.311504841,1781247304.425070286,1781247304.425077915,1
24,0.480000,1781247304.460979939,1781247304.461935759,1781247304.576993227,1781247304.576999187,1
