macro_frame,sim_time,t1_utc,t4_utc,t_step_utc,seq_ok
0,0.000000,1781661535.288133383,1781661535.464316368,1781661535.464334965,1
1,0.020000,1781661535.472440720,1781661535.664021730,1781661535.664039612,1
2,0.040000,1781661535.672084570,1781661535.855538368,1781661535.855549335,1
3,0.060000,1781661535.860502005,1781661536.070159912,1781661536.070173502,1
4,0.080000,1781661536.076052904,1781661536.256050110,1781661536.256068468,1
5,0.100000,1781661536.263214350,1781661536.452743769,1781661536.452762365,1
6,0.120000,1781661536.460879087,1781661536.637894630,1781661536.637914896,1
7,0.140000,1781661536.645969868,1781661536.834277868,1781661536.834288120,1
8,0.160000,1781661536.839620352,1781661537.021971226,1781661537.021981955,1
9,0.180000,1781661537.026754856,1781661537.199845076,1781661537.199861765,1
10,0.200000,1781661537.206631184,1781661537.394062042,1781661537.394078970,1
11,0.220000,1781661537.402040482,1781661537.584985018,1781661537.584995747,1
12,0.240000,1781661537.589662790,1781661537.819001913,1781661537.819020033,1
13,0.260000,1781661537.824107409,1781661538.003109217,1781661538.003127575,1
14,0.280000,1781661538.008792162,1781661538.183612347,1781661538.183631659,1
15,0.300000,1781661538.190658331,1781661538.406761646,1781661538.406778336,1
16,0.320000,1781661538.413379669,1781661538.625165224,1781661538.625177145,1
17,0.340000,1781661538.629850626,1781661538.857009888,1781661538.857023478,1
18,0.360000,1781661538.862899542,1781661539.071684599,1781661539.071696281,1
19,0.380000,1781661539.076217651,1781661539.288107872,1781661539.288122892,1
20,0.400000,1781661539.294906378,1781661539.512070656,1781661539.512081385,1
21,0.420000,1781661539.516742468,1781661539.767948151,1781661539.767965078,1
22,0.440000,1781661539.772955418,1781661539.993829489,1781661539.993847847,1
23,0.460000,1781661539.999736786,1781661540.221624374,1781661540.221643686,1
24,0.480000,1781661540.230378389,1781661540.462263584,1781661540.462275028,1
25,0.500000,1781661540.467620373,1781661540.755579233,1781661540.755600691,1
26,0.520000,1781661540.763776779,1781661540.975118160,1781661540.975128412,1
27,0.540000,1781661540.979687929,1781661541.190510273,1781661541.190521240,1
28,0.560000,1781661541.197026730,1781661541.478404760,1781661541.478421688,1
29,0.580000,1781661541.483625174,1781661541.709757328,1781661541.709774494,1
30,0.600000,1781661541.716188431,1781661541.928515673,1781661541.928526878,1
31,0.620000,1781661541.934153557,1781661542.139657497,1781661542.139667749,1
32,0.640000,1781661542.144271135,1781661542.414109468,1781661542.414126635,1
33,0.660000,1781661542.422154188,1781661542.657936811,1781661542.657950640,1
34,0.680000,1781661542.664921045,1781661542.901171207,1781661542.901185989,1
