macro_frame,sim_time_mjc,sim_time_xpbd,t1_utc,t1w_utc,t2_utc,t3_utc,t_force_utc,t4_utc,t_step_utc,t1_next_utc,dt_t1_t1w,dt_t1w_t2,dt_t2_t3,dt_t3_tforce,dt_tforce_t4,dt_t4_tstep,dt_tstep_t1next,dt_t1_t1next,cycle_order_ok,paired,note
0,0.000000,0.000000,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,0.0111804,9.32217e-05,0.162504,7.62939e-06,0.00234818,1.16825e-05,0.00608921,0.182234,1,1,
1,0.020000,0.020000,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,0.0122921,4.86374e-05,0.160047,9.29832e-06,0.00129104,2.00272e-05,0.00868058,0.182389,1,1,
2,0.040000,0.040000,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,0.0137002,5.96046e-05,0.161455,9.29832e-06,0.000413895,1.71661e-05,0.00775433,0.183409,1,1,
3,0.060000,0.060000,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,0.0133834,5.24521e-05,0.16581,9.29832e-06,0.000402451,1.0252e-05,0.00614667,0.185814,1,1,
4,0.080000,0.080000,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,0.0111334,5.00679e-05,0.165775,9.05991e-06,0.000421286,1.7643e-05,0.00660634,0.184013,1,1,
5,0.100000,0.100000,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,0.0105925,7.39098e-05,0.165663,9.77516e-06,0.00253153,1.74046e-05,0.00706983,0.185958,1,1,
6,0.120000,0.120000,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,0.00820899,7.9155e-05,0.167736,8.82149e-06,0.00127792,1.3113e-05,0.006001,0.183325,1,1,
7,0.140000,0.140000,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,0.00839901,7.39098e-05,0.166766,9.77516e-06,0.00184393,1.78814e-05,0.00798535,0.185096,1,1,
8,0.160000,0.160000,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,0.00674748,7.77245e-05,0.165204,8.58307e-06,0.000562191,1.7643e-05,0.0081563,0.180774,1,1,
9,0.180000,0.180000,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,0.00944352,5.24521e-05,0.160154,1.04904e-05,0.00199413,1.07288e-05,0.00547838,0.177144,1,1,
10,0.200000,0.200000,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,0.0156567,5.126e-05,0.160406,8.82149e-06,0.00139928,1.81198e-05,0.00594544,0.183485,1,1,
11,0.220000,0.220000,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166094e+09,0.0158727,5.38826e-05,0.159585,9.53674e-06,0.000467777,9.53674e-06,0.0058248,0.181823,1,1,
12,0.240000,0.240000,1.78166094e+09,1.78166094e+09,1.78166094e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,0.000742435,4.88758e-05,0.160051,7.86781e-06,0.00071454,1.3113e-05,0.00589561,0.167474,1,1,
13,0.260000,0.260000,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,-3.8147e-05,4.33922e-05,0.159603,9.05991e-06,0.00170422,1.81198e-05,0.00806808,0.169408,0,1,cycle_order
14,0.280000,0.280000,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,0.0142348,4.81606e-05,0.160065,8.58307e-06,0.000413895,1.78814e-05,0.00682664,0.181615,1,1,
15,0.300000,0.300000,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,0.0160902,5.05447e-05,0.194871,1.0252e-05,0.0003016,2.00272e-05,0.0053091,0.216652,1,1,
16,0.320000,0.320000,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,0.0162289,5.6982e-05,0.198388,8.10623e-06,0.00145054,1.74046e-05,0.00661373,0.222764,1,1,
17,0.340000,0.340000,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,0.0102787,7.48634e-05,0.202608,9.29832e-06,0.00107861,1.07288e-05,0.004637,0.218697,1,1,
18,0.360000,0.360000,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,0.00849366,4.86374e-05,0.19678,8.34465e-06,0.00230742,1.85966e-05,0.00631237,0.213969,1,1,
19,0.380000,0.380000,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,0.0114458,7.39098e-05,0.196999,9.77516e-06,0.00223804,1.00136e-05,0.00517273,0.215949,1,1,
20,0.400000,0.400000,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,0.0123124,5.10216e-05,0.197711,8.34465e-06,0.000370264,1.85966e-05,0.00725603,0.217728,1,1,
21,0.420000,0.420000,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,0.0114031,5.07832e-05,0.196504,9.53674e-06,0.00241566,1.69277e-05,0.00651479,0.216915,1,1,
22,0.440000,0.440000,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,0.0114582,5.03063e-05,0.197238,7.86781e-06,0.000217199,1.12057e-05,0.00497317,0.213956,1,1,
23,0.460000,0.460000,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,0.0141916,7.72476e-05,0.197771,9.29832e-06,0.00201249,1.88351e-05,0.0170975,0.231178,1,1,
24,0.480000,0.480000,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,1.78166095e+09,0.0163991,5.67436e-05,0.19759,1.00136e-05,0.000720024,1.78814e-05,0.00803709,0.222831,1,1,
