macro_frame,sim_time,t1_utc,t4_utc,t_step_utc,seq_ok
0,0.000000,1781244056.861727476,1781244056.941620827,1781244056.941632986,1
1,0.000000,1781244056.949537277,1781244057.060936451,1781244057.060948133,1
2,0.000000,1781244057.068820477,1781244057.192064762,1781244057.192075968,1
3,0.000000,1781244057.197928429,1781244057.326287031,1781244057.326305866,1
4,0.000000,1781244057.335284948,1781244057.460882425,1781244057.460899830,1
5,0.000000,1781244057.470661163,1781244057.598110914,1781244057.598122358,1
6,0.000000,1781244057.605353117,1781244057.729976654,1781244057.729995012,1
7,0.000000,1781244057.738070965,1781244057.862386703,1781244057.862405300,1
8,0.000000,1781244057.870399475,1781244057.995366096,1781244057.995377302,1
9,0.000000,1781244058.000943184,1781244058.126063108,1781244058.126080275,1
10,0.000000,1781244058.135791302,1781244058.263036013,1781244058.263048410,1
11,0.000000,1781244058.268827677,1781244058.478206396,1781244058.478224993,1
12,0.000000,1781244058.486396074,1781244058.609717846,1781244058.609729052,1
13,0.000000,1781244058.615210772,1781244058.752894402,1781244058.752907038,1
14,0.000000,1781244058.760663748,1781244058.879483223,1781244058.879500628,1
15,0.000000,1781244058.885071516,1781244059.015832663,1781244059.015854359,1
16,0.000000,1781244059.024081707,1781244059.145111799,1781244059.145129442,1
17,0.000000,1781244059.154735804,1781244059.278491735,1781244059.278501987,1
18,0.000000,1781244059.284434080,1781244059.412161112,1781244059.412178278,1
19,0.000000,1781244059.419377804,1781244059.547214270,1781244059.547232151,1
20,0.000000,1781244059.554116249,1781244059.678594828,1781244059.678611040,1
21,0.000000,1781244059.687254429,1781244059.811313391,1781244059.811330795,1
22,0.000000,1781244059.821202278,1781244059.949713707,1781244059.949732542,1
23,0.000000,1781244059.956133127,1781244060.079503059,1781244060.079515219,1
24,0.000000,1781244060.085224867,1781244060.214184284,1781244060.214201927,1
25,0.000000,1781244060.220922947,1781244060.344589710,1781244060.344607830,1
26,0.000000,1781244060.354128122,1781244060.481733561,1781244060.481744051,1
27,0.000000,1781244060.489067078,1781244060.612926483,1781244060.612936974,1
28,0.000000,1781244060.620901585,1781244060.746708393,1781244060.746725798,1
29,0.000000,1781244060.755908966,1781244060.878963709,1781244060.878973961,1
30,0.000000,1781244060.884623766,1781244061.013132334,1781244061.013148069,1
31,0.000000,1781244061.021175385,1781244061.145997286,1781244061.146014690,1
32,0.000000,1781244061.152532578,1781244061.279743433,1781244061.279753685,1
33,0.000000,1781244061.285288334,1781244061.416384459,1781244061.416402102,1
34,0.000000,1781244061.423534155,1781244061.546042919,1781244061.546053410,1
35,0.000000,1781244061.551616669,1781244061.680912495,1781244061.680936337,1
36,0.000000,1781244061.688658237,1781244061.814003229,1781244061.814014196,1
37,0.000000,1781244061.819627762,1781244061.946069241,1781244061.946079969,1
38,0.000000,1781244061.952073097,1781244062.083922386,1781244062.083933592,1
39,0.000000,1781244062.089418650,1781244062.213673353,1781244062.213683367,1
