macro_frame,sim_time_mjc,sim_time_xpbd,t1_utc,t1w_utc,t2_utc,t3_utc,t_force_utc,t4_utc,t_step_utc,t1_next_utc,dt_t1_t1w,dt_t1w_t2,dt_t2_t3,dt_t3_tforce,dt_tforce_t4,dt_t4_tstep,dt_tstep_t1next,dt_t1_t1next,cycle_order_ok,paired,note
0,0.000000,0.000000,1781244056.861727476,1781244056.862536430,1781244056.862807512,1781244056.940563917,1781244056.940571308,1781244056.941620827,1781244056.941632986,1781244056.949537277,0.000809,0.000271,0.077756,0.000007,0.001050,0.000012,0.007904,0.087810,1,1,
1,0.000000,0.020000,1781244056.949537277,1781244056.961319208,1781244056.961596251,1781244057.059956074,1781244057.059963465,1781244057.060936451,1781244057.060948133,1781244057.068820477,0.011782,0.000277,0.098360,0.000007,0.000973,0.000012,0.007872,0.119283,1,1,sim_time_mjc
2,0.000000,0.040000,1781244057.068820477,1781244057.078161716,1781244057.078478575,1781244057.191697121,1781244057.191703081,1781244057.192064762,1781244057.192075968,1781244057.197928429,0.009341,0.000317,0.113219,0.000006,0.000362,0.000011,0.005852,0.129108,1,1,sim_time_mjc
3,0.000000,0.060000,1781244057.197928429,1781244057.211522818,1781244057.211851120,1781244057.324939251,1781244057.324946404,1781244057.326287031,1781244057.326305866,1781244057.335284948,0.013594,0.000328,0.113088,0.000007,0.001341,0.000019,0.008979,0.137357,1,1,sim_time_mjc
4,0.000000,0.080000,1781244057.335284948,1781244057.344980001,1781244057.345343113,1781244057.459274292,1781244057.459280014,1781244057.460882425,1781244057.460899830,1781244057.470661163,0.009695,0.000363,0.113931,0.000006,0.001602,0.000017,0.009761,0.135376,1,1,sim_time_mjc
5,0.000000,0.100000,1781244057.470661163,1781244057.478403807,1781244057.478800297,1781244057.597608805,1781244057.597616434,1781244057.598110914,1781244057.598122358,1781244057.605353117,0.007743,0.000396,0.118809,0.000008,0.000494,0.000011,0.007231,0.134692,1,1,sim_time_mjc
6,0.000000,0.120000,1781244057.605353117,1781244057.611983538,1781244057.612567902,1781244057.729130268,1781244057.729136467,1781244057.729976654,1781244057.729995012,1781244057.738070965,0.006630,0.000584,0.116562,0.000006,0.000840,0.000018,0.008076,0.132718,1,1,sim_time_mjc
7,0.000000,0.140000,1781244057.738070965,1781244057.745425701,1781244057.746045113,1781244057.859965086,1781244057.859972715,1781244057.862386703,1781244057.862405300,1781244057.870399475,0.007355,0.000619,0.113920,0.000008,0.002414,0.000019,0.007994,0.132329,1,1,sim_time_mjc
8,0.000000,0.160000,1781244057.870399475,1781244057.878815413,1781244057.879464865,1781244057.993503094,1781244057.993509054,1781244057.995366096,1781244057.995377302,1781244058.000943184,0.008416,0.000649,0.114038,0.000006,0.001857,0.000011,0.005566,0.130544,1,1,sim_time_mjc
9,0.000000,0.180000,1781244058.000943184,1781244058.012267351,1781244058.012737274,1781244058.125684500,1781244058.125691891,1781244058.126063108,1781244058.126080275,1781244058.135791302,0.011324,0.000470,0.112947,0.000007,0.000371,0.000017,0.009711,0.134848,1,1,sim_time_mjc
