macro_frame,sim_time,t1w_utc,t2_utc,t3_utc,t_force_utc,seq_ok
0,0.000000,1781246826.452471256,1781246826.452934742,1781246826.533833504,1781246826.533843517,1
1,0.020000,1781246826.552057505,1781246826.552538395,1781246826.654287338,1781246826.654294491,1
2,0.040000,1781246826.668575764,1781246826.668926239,1781246826.787860632,1781246826.787869215,1
3,0.060000,1781246826.802127361,1781246826.802501202,1781246826.915943384,1781246826.915950298,1
4,0.080000,1781246826.937012672,1781246826.937439919,1781246827.052337408,1781246827.052345514,1
5,0.100000,1781246827.070154905,1781246827.070585489,1781246827.184934139,1781246827.184941769,1
6,0.120000,1781246827.204118013,1781246827.204663992,1781246827.318122149,1781246827.318129063,1
7,0.140000,1781246827.337491035,1781246827.338085413,1781246827.453069687,1781246827.453077793,1
8,0.160000,1781246827.469280005,1781246827.469776392,1781246827.583023071,1781246827.583030701,1
9,0.180000,1781246827.604091883,1781246827.604628801,1781246827.718773365,1781246827.718780279,1
10,0.200000,1781246827.737553835,1781246827.738167524,1781246827.853198051,1781246827.853205681,1
11,0.220000,1781246827.869669914,1781246827.870309353,1781246827.984888077,1781246827.984894991,1
12,0.240000,1781246828.004471302,1781246828.005093098,1781246828.119991302,1781246828.119998932,1
13,0.260000,1781246828.138332605,1781246828.139292717,1781246828.257719755,1781246828.257726908,1
14,0.280000,1781246828.271643639,1781246828.272298813,1781246828.396561384,1781246828.396568775,1
15,0.300000,1781246828.403356314,1781246828.404035330,1781246828.517987728,1781246828.517995119,1
16,0.320000,1781246828.538605452,1781246828.539339066,1781246828.654203653,1781246828.654211044,1
17,0.340000,1781246828.671531916,1781246828.672271967,1781246828.785848856,1781246828.785856009,1
18,0.360000,1781246828.805157661,1781246828.805924654,1781246828.919802904,1781246828.919809818,1
19,0.380000,1781246828.939028502,1781246828.939852953,1781246829.054473639,1781246829.054480791,1
20,0.400000,1781246829.072601318,1781246829.073606730,1781246829.188756227,1781246829.188763857,1
21,0.420000,1781246829.204011679,1781246829.205009460,1781246829.319722652,1781246829.319729567,1
22,0.440000,1781246829.339258432,1781246829.340179920,1781246829.454662561,1781246829.454670906,1
23,0.460000,1781246829.473045111,1781246829.473971605,1781246829.588368416,1781246829.588375330,1
24,0.480000,1781246829.605948210,1781246829.606897831,1781246829.720003843,1781246829.720011711,1
25,0.500000,1781246829.739708900,1781246829.740647316,1781246829.853309870,1781246829.853317976,1
26,0.520000,1781246829.871461391,1781246829.872932673,1781246829.987599134,1781246829.987606287,1
27,0.540000,1781246830.006148100,1781246830.007635355,1781246830.125910044,1781246830.125917435,1
