macro_frame,sim_time_mjc,sim_time_xpbd,t1_utc,t1w_utc,t2_utc,t3_utc,t_force_utc,t4_utc,t_step_utc,t1_next_utc,dt_t1_t1w,dt_t1w_t2,dt_t2_t3,dt_t3_tforce,dt_tforce_t4,dt_t4_tstep,dt_tstep_t1next,dt_t1_t1next,cycle_order_ok,paired,note
0,0.000000,0.000000,1781246826.361612082,1781246826.452471256,1781246826.452934742,1781246826.533833504,1781246826.533843517,1781246826.534609318,1781246826.534631014,1781246826.537840843,0.090859,0.000463,0.080899,0.000010,0.000766,0.000022,0.003210,0.176229,1,1,
1,0.020000,0.020000,1781246826.537840843,1781246826.552057505,1781246826.552538395,1781246826.654287338,1781246826.654294491,1781246826.655306816,1781246826.655326366,1781246826.658068895,0.014217,0.000481,0.101749,0.000007,0.001012,0.000020,0.002743,0.120228,1,1,
2,0.040000,0.040000,1781246826.658068895,1781246826.668575764,1781246826.668926239,1781246826.787860632,1781246826.787869215,1781246826.788253069,1781246826.788273096,1781246826.790948391,0.010507,0.000350,0.118934,0.000009,0.000384,0.000020,0.002675,0.132879,1,1,
3,0.060000,0.060000,1781246826.790948391,1781246826.802127361,1781246826.802501202,1781246826.915943384,1781246826.915950298,1781246826.916497469,1781246826.916515112,1781246826.919137716,0.011179,0.000374,0.113442,0.000007,0.000547,0.000018,0.002623,0.128189,1,1,
4,0.080000,0.080000,1781246826.919137716,1781246826.937012672,1781246826.937439919,1781246827.052337408,1781246827.052345514,1781246827.054135084,1781246827.054153204,1781246827.056332588,0.017875,0.000427,0.114897,0.000008,0.001790,0.000018,0.002179,0.137195,1,1,
5,0.100000,0.100000,1781246827.056332588,1781246827.070154905,1781246827.070585489,1781246827.184934139,1781246827.184941769,1781246827.185606956,1781246827.185625792,1781246827.188224077,0.013822,0.000431,0.114349,0.000008,0.000665,0.000019,0.002598,0.131891,1,1,
6,0.120000,0.120000,1781246827.188224077,1781246827.204118013,1781246827.204663992,1781246827.318122149,1781246827.318129063,1781246827.319300652,1781246827.319319248,1781246827.321439028,0.015894,0.000546,0.113458,0.000007,0.001172,0.000019,0.002120,0.133215,1,1,
7,0.140000,0.140000,1781246827.321439028,1781246827.337491035,1781246827.338085413,1781246827.453069687,1781246827.453077793,1781246827.453877449,1781246827.453896761,1781246827.457410574,0.016052,0.000594,0.114984,0.000008,0.000800,0.000019,0.003514,0.135972,1,1,
8,0.160000,0.160000,1781246827.457410574,1781246827.469280005,1781246827.469776392,1781246827.583023071,1781246827.583030701,1781246827.584115028,1781246827.584133863,1781246827.587584972,0.011869,0.000496,0.113247,0.000008,0.001084,0.000019,0.003451,0.130174,1,1,
9,0.180000,0.180000,1781246827.587584972,1781246827.604091883,1781246827.604628801,1781246827.718773365,1781246827.718780279,1781246827.720464706,1781246827.720476389,1781246827.722471476,0.016507,0.000537,0.114145,0.000007,0.001684,0.000012,0.001995,0.134887,1,1,
10,0.200000,0.200000,1781246827.722471476,1781246827.737553835,1781246827.738167524,1781246827.853198051,1781246827.853205681,1781246827.855878353,1781246827.855894566,1781246827.857896090,0.015082,0.000614,0.115031,0.000008,0.002673,0.000016,0.002002,0.135425,1,1,
