macro_frame,sim_time,t1_utc,t4_utc,t_step_utc,seq_ok
0,0.000000,1781246826.361612082,1781246826.534609318,1781246826.534631014,1
1,0.020000,1781246826.537840843,1781246826.655306816,1781246826.655326366,1
2,0.040000,1781246826.658068895,1781246826.788253069,1781246826.788273096,1
3,0.060000,1781246826.790948391,1781246826.916497469,1781246826.916515112,1
4,0.080000,1781246826.919137716,1781246827.054135084,1781246827.054153204,1
5,0.100000,1781246827.056332588,1781246827.185606956,1781246827.185625792,1
6,0.120000,1781246827.188224077,1781246827.319300652,1781246827.319319248,1
7,0.140000,1781246827.321439028,1781246827.453877449,1781246827.453896761,1
8,0.160000,1781246827.457410574,1781246827.584115028,1781246827.584133863,1
9,0.180000,1781246827.587584972,1781246827.720464706,1781246827.720476389,1
10,0.200000,1781246827.722471476,1781246827.855878353,1781246827.855894566,1
11,0.220000,1781246827.857896090,1781246827.986728907,1781246827.986748457,1
12,0.240000,1781246827.989279032,1781246828.121681929,1781246828.121702433,1
13,0.260000,1781246828.123743773,1781246828.258719206,1781246828.258737087,1
14,0.280000,1781246828.261713743,1781246828.397058725,1781246828.397072315,1
15,0.300000,1781246828.399015665,1781246828.519424915,1781246828.519444466,1
16,0.320000,1781246828.523012877,1781246828.654826164,1781246828.654844522,1
17,0.340000,1781246828.658342838,1781246828.788084984,1781246828.788103342,1
18,0.360000,1781246828.790874720,1781246828.920133114,1781246828.920144796,1
19,0.380000,1781246828.922218323,1781246829.055962086,1781246829.055984735,1
20,0.400000,1781246829.059531689,1781246829.190215588,1781246829.190229416,1
21,0.420000,1781246829.192147732,1781246829.322151184,1781246829.322170019,1
22,0.440000,1781246829.324244261,1781246829.456567764,1781246829.456583261,1
23,0.460000,1781246829.458607197,1781246829.590614796,1781246829.590632677,1
24,0.480000,1781246829.592649698,1781246829.722409964,1781246829.722429037,1
25,0.500000,1781246829.725954533,1781246829.855775833,1781246829.855793953,1
26,0.520000,1781246829.858299971,1781246829.988032103,1781246829.988051414,1
27,0.540000,1781246829.991600990,1781246830.126806736,1781246830.126826763,1
28,0.560000,1781246830.129055262,1781246830.256747723,1781246830.256766558,1
29,0.580000,1781246830.260285139,1781246830.396547556,1781246830.396559715,1
30,0.600000,1781246830.398420572,1781246830.522392988,1781246830.522412539,1
31,0.620000,1781246830.525125265,1781246830.656088114,1781246830.656099558,1
32,0.640000,1781246830.658147097,1781246830.792223930,1781246830.792243958,1
33,0.660000,1781246830.795732021,1781246830.923950672,1781246830.923969746,1
34,0.680000,1781246830.926219702,1781246831.061927795,1781246831.061946869,1
35,0.700000,1781246831.065588236,1781246831.189537764,1781246831.189555645,1
36,0.720000,1781246831.193094969,1781246831.322970629,1781246831.322990656,1
37,0.740000,1781246831.325392485,1781246831.457409382,1781246831.457427502,1
38,0.760000,1781246831.460572958,1781246831.591674089,1781246831.591687202,1
39,0.780000,1781246831.593666077,1781246831.726165056,1781246831.726182938,1
40,0.800000,1781246831.729638815,1781246831.857534170,1781246831.857553482,1
41,0.820000,1781246831.859827757,1781246831.990926743,1781246831.990945339,1
42,0.840000,1781246831.994484901,1781246832.128301620,1781246832.128321648,1
43,0.860000,1781246832.131933928,1781246832.262138128,1781246832.262150288,1
44,0.880000,1781246832.264150620,1781246832.390863657,1781246832.390883923,1
45,0.900000,1781246832.394377470,1781246832.525228977,1781246832.525248051,1
46,0.920000,1781246832.528114796,1781246832.657578707,1781246832.657598734,1
47,0.940000,1781246832.660073042,1781246832.791390419,1781246832.791408539,1
48,0.960000,1781246832.793694735,1781246832.927883625,1781246832.927896023,1
49,0.980000,1781246832.929855824,1781246833.060235739,1781246833.060255289,1
50,1.000000,1781246833.064002037,1781246833.191213369,1781246833.191232681,1
51,1.020000,1781246833.193879604,1781246833.325568199,1781246833.325586081,1
52,1.040000,1781246833.329109907,1781246833.458387375,1781246833.458400726,1
53,1.060000,1781246833.461518526,1781246833.594539165,1781246833.594558477,1
54,1.080000,1781246833.598254919,1781246833.727206707,1781246833.727224588,1
55,1.100000,1781246833.729595900,1781246833.859760046,1781246833.859786510,1
56,1.120000,1781246833.862302542,1781246833.994289398,1781246833.994307041,1
57,1.140000,1781246833.997757196,1781246834.126670122,1781246834.126691818,1
58,1.160000,1781246834.130303860,1781246834.261867046,1781246834.261885405,1
59,1.180000,1781246834.265376806,1781246834.397786856,1781246834.397809744,1
