macro_frame,sim_time,logical_name,object_id,data_type,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz
1,0.020000,gripper_r_finger1,gripper_r_finger1_body_q,POSITION,0,0,0,0.687073767,-0.726587653,0,0,,,,,,
1,0.020000,gripper_r_finger1,gripper_r_finger1_body_p,POSITION,0.460000008,0,0.685600996,1,0,0,0,,,,,,
1,0.020000,gripper_r_finger1,gripper_r_finger1_body_v,VELOCITY,,,,,,,,0,0.128285736,-0.247355416,0,0,0
1,0.020000,gripper_r_finger1,gripper_r_finger1_body_w,VELOCITY,,,,,,,,0,0,0,-98.3678436,0,0
1,0.020000,gripper_r_finger2,gripper_r_finger2_body_q,POSITION,0,0,0,0.687073767,0.726587653,0,0,,,,,,
1,0.020000,gripper_r_finger2,gripper_r_finger2_body_p,POSITION,0.460000008,0,0.685600996,1,0,0,0,,,,,,
1,0.020000,gripper_r_finger2,gripper_r_finger2_body_v,VELOCITY,,,,,,,,0,-0.128285736,-0.247355416,0,0,0
1,0.020000,gripper_r_finger2,gripper_r_finger2_body_w,VELOCITY,,,,,,,,0,0,0,98.3678436,0,0
2,0.040000,base,base_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
2,0.040000,base,base_body_p,POSITION,0,-0,0.150000006,1,0,0,0,,,,,,
2,0.040000,base,base_body_v,VELOCITY,,,,,,,,0,0,0,0,0,0
2,0.040000,base,base_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
2,0.040000,gripper_l_palm,gripper_l_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
2,0.040000,gripper_l_palm,gripper_l_palm_body_p,POSITION,-0.460000008,0,0.706266463,1,0,0,0,,,,,,
2,0.040000,gripper_l_palm,gripper_l_palm_body_v,VELOCITY,,,,,,,,0,0,0.135813475,0,0,0
2,0.040000,gripper_l_palm,gripper_l_palm_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
2,0.040000,gripper_l_finger1,gripper_l_finger1_body_q,POSITION,0,0,0,0.192503542,-0.981296301,0,0,,,,,,
2,0.040000,gripper_l_finger1,gripper_l_finger1_body_p,POSITION,-0.460000008,0,0.686266482,1,0,0,0,,,,,,
2,0.040000,gripper_l_finger1,gripper_l_finger1_body_v,VELOCITY,,,,,,,,0,0.393805295,0.135813475,0,0,0
2,0.040000,gripper_l_finger1,gripper_l_finger1_body_w,VELOCITY,,,,,,,,0,0,0,-21.2495899,0,0
2,0.040000,gripper_l_finger2,gripper_l_finger2_body_q,POSITION,0,0,0,0.192503542,0.981296301,0,0,,,,,,
2,0.040000,gripper_l_finger2,gripper_l_finger2_body_p,POSITION,-0.460000008,0,0.686266482,1,0,0,0,,,,,,
2,0.040000,gripper_l_finger2,gripper_l_finger2_body_v,VELOCITY,,,,,,,,0,-0.393805295,0.135813475,0,0,0
2,0.040000,gripper_l_finger2,gripper_l_finger2_body_w,VELOCITY,,,,,,,,0,0,0,21.2495899,0,0
2,0.040000,gripper_r_palm,gripper_r_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
2,0.040000,gripper_r_palm,gripper_r_palm_body_p,POSITION,0.460000008,0,0.706266463,1,0,0,0,,,,,,
2,0.040000,gripper_r_palm,gripper_r_palm_body_v,VELOCITY,,,,,,,,0,0,0.135813475,0,0,0
2,0.040000,gripper_r_palm,gripper_r_palm_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
2,0.040000,gripper_r_finger1,gripper_r_finger1_body_q,POSITION,0,0,0,0.192503542,-0.981296301,0,0,,,,,,
2,0.040000,gripper_r_finger1,gripper_r_finger1_body_p,POSITION,0.460000008,0,0.686266482,1,0,0,0,,,,,,
2,0.040000,gripper_r_finger1,gripper_r_finger1_body_v,VELOCITY,,,,,,,,0,0.393805295,0.135813475,0,0,0
2,0.040000,gripper_r_finger1,gripper_r_finger1_body_w,VELOCITY,,,,,,,,0,0,0,-21.2495899,0,0
2,0.040000,gripper_r_finger2,gripper_r_finger2_body_q,POSITION,0,0,0,0.192503542,0.981296301,0,0,,,,,,
2,0.040000,gripper_r_finger2,gripper_r_finger2_body_p,POSITION,0.460000008,0,0.686266482,1,0,0,0,,,,,,
2,0.040000,gripper_r_finger2,gripper_r_finger2_body_v,VELOCITY,,,,,,,,0,-0.393805295,0.135813475,0,0,0
2,0.040000,gripper_r_finger2,gripper_r_finger2_body_w,VELOCITY,,,,,,,,0,0,0,21.2495899,0,0
3,0.060000,base,base_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
3,0.060000,base,base_body_p,POSITION,0,-0,0.150000006,1,0,0,0,,,,,,
3,0.060000,base,base_body_v,VELOCITY,,,,,,,,0,0,0,0,0,0
3,0.060000,base,base_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
3,0.060000,gripper_l_palm,gripper_l_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
3,0.060000,gripper_l_palm,gripper_l_palm_body_p,POSITION,-0.460000008,0,0.708096147,1,0,0,0,,,,,,
3,0.060000,gripper_l_palm,gripper_l_palm_body_v,VELOCITY,,,,,,,,0,0,0.051946871,0,0,0
3,0.060000,gripper_l_palm,gripper_l_palm_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
3,0.060000,gripper_l_finger1,gripper_l_finger1_body_q,POSITION,0,0,0,0.133096248,-0.991103113,0,0,,,,,,
3,0.060000,gripper_l_finger1,gripper_l_finger1_body_p,POSITION,-0.460000008,0,0.688096106,1,0,0,0,,,,,,
3,0.060000,gripper_l_finger1,gripper_l_finger1_body_v,VELOCITY,,,,,,,,0,-0.03774653,0.051946871,0,0,0
3,0.060000,gripper_l_finger1,gripper_l_finger1_body_w,VELOCITY,,,,,,,,0,0,0,1.95593774,0,0
3,0.060000,gripper_l_finger2,gripper_l_finger2_body_q,POSITION,0,0,0,0.133096248,0.991103113,0,0,,,,,,
3,0.060000,gripper_l_finger2,gripper_l_finger2_body_p,POSITION,-0.460000008,0,0.688096106,1,0,0,0,,,,,,
3,0.060000,gripper_l_finger2,gripper_l_finger2_body_v,VELOCITY,,,,,,,,0,0.03774653,0.051946871,0,0,0
3,0.060000,gripper_l_finger2,gripper_l_finger2_body_w,VELOCITY,,,,,,,,0,0,0,-1.95593774,0,0
3,0.060000,gripper_r_palm,gripper_r_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
